DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,AL,2018,2870324,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,AL0,2018,2870324,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,AL01,2018,819793,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,AL02,2018,1162544,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,AL03,2018,887987,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,ALX,2018,0,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,ALXX,2018,0,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,AT,2018,8822267,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,AT1,2018,3852119,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,AT11,2018,292675,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,AT12,2018,1670668,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,AT13,2018,1888776,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,AT2,2018,1801112,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,AT21,2018,560898,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,AT22,2018,1240214,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,AT3,2018,3169036,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,AT31,2018,1473576,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,AT32,2018,552579,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,AT33,2018,751140,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,AT34,2018,391741,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BE,2018,11398589,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BE1,2018,1205492,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BE10,2018,1205492,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BE2,2018,6559294,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BE21,2018,1849523,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BE22,2018,872739,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BE23,2018,1506232,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BE24,2018,1138546,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BE25,2018,1192254,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BE3,2018,3633803,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BE31,2018,401508,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BE32,2018,1343756,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BE33,2018,1108371,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BE34,2018,285010,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BE35,2018,495158,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BG,2018,7050034,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BG3,2018,3524208,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BG31,2018,755956,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BG32,2018,794998,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BG33,2018,933705,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BG34,2018,1039549,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BG4,2018,3525826,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BG41,2018,2108394,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,BG42,2018,1417432,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,CH,2018,8484130,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,CH0,2018,8484130,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,CH01,2018,1629841,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,CH02,2018,1868886,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,CH03,2018,1151919,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,CH04,2018,1504346,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,CH05,2018,1169358,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,CH06,2018,806071,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,CH07,2018,353709,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,CY,2018,864236,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,CY0,2018,864236,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,CY00,2018,864236,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,CZ,2018,10610055,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,CZ0,2018,10610055,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,CZ01,2018,1294513,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,CZ02,2018,1352795,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,CZ03,2018,1221012,
ESTAT:DEMO_R_D2JAN(1.0),13/04/23 23:00:00,A,NR,T,TOTAL,CZ04,2018,1116766,
