carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,0.0,0.0,0.0,0.0,0.0,359.4851280249497,1205.959834787549,1205.959834787549,1205.959834787549,1205.959834787549,1205.959834787549,1205.959834787549,1205.959834787549,1205.959834787549,1205.959834787549,1205.959834787549,2130.8741306610173,2130.8741306610173,2111.302932861017,2091.741901917017,2219.7154408109145,2198.051571883048,2180.5832120669143,2159.567184700288,2141.9108233755337,5342.962594992317,5549.113131491772
electricity,1494.808277234271,1176.323937485591,1093.7883424796066,467.6794082490386,460.67756396734933,462.8339311754569,498.1813682330476,526.2718093075569,502.46960522654115,450.3643140653703,1619.4003032057758,404.9865352837496,402.2770841674279,400.8738794968034,399.475711147751,392.9735544729277,5401.963805564977,390.5943727932512,389.41817999161077,388.55025064885933,387.08442300846235,385.83600943195347,384.6464185916291,383.4568277513046,382.26723691098016,425.6602407660057,424.47064992568124
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,134236.3397688976,134038.93760572752,131567.11149730615,130278.28338747646,128991.50679566189,127298.99505162025,110341.16927136695,109021.57836695065,107765.84538170822,106494.46993669707,102939.2819912348,102629.10053561059,101336.80410710197,100045.20586356665,98750.42408788846,97459.35806571608,95484.53810794094,93460.27893196819,92184.83459753529,91006.3351353894,11741.558220943476,10402.67674081846,5783.246754077114,4416.594298753127,3251.9926223364882,0.0,0.0
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,663.4738129819681,663.4738129819681,663.4738129819681,663.4738129819681,663.4738129819681,715.5742367081602,7228.622272365429,7228.622272365429,7228.622272365429,7228.622272365429,7228.622272365429,7228.622272365429,7228.622272365429,7228.622272365429,7228.622272365429,7228.622272365429,7335.011110027749,7335.011110027749,7335.011110027749,7292.45147151164,41593.90893299771,41651.32821169275,43130.65149565217,43183.840697422405,43134.88014511571,43042.33370443468,42458.61914994626
