technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,4068.777193582659,3997.967358178867,3927.1575227750727,3856.347687371278,3785.537851967483,3714.7280165636885,3643.918181159894,3573.1083457561,3502.298510352305,3431.488674948511,3360.678839544716,3289.869004140922,3219.0591687371275,3148.2493333333327
BF_BOF,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23099831605532536,3.6145900067934025,7.993515655588811,3669.9594828511335,27670.641184775883
DRI,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,natural_gas,131324.2950369143,128986.10143639178,120784.52218617755,109764.45852681613,95720.27497306047,82774.87968962114,80617.55006441702,78454.6842816915,77598.47505846116,75315.05525824794,73052.53658126648,70790.1985659477,62651.72951911667,59248.77448231259
SMR_CCS,natural_gas,0.0,0.0,4863.50163,12203.744976702204,22421.80486507737,29844.778051034406,29723.262648111977,29601.74724518955,27683.22177103441,27683.22177103441,27683.22177103441,27683.221771034405,29643.700053940738,30117.168633214893
