technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,14181.865435979991,13935.055274237948,13688.245112495897,13441.434950753845,13194.624789011792,12947.814627269741,12701.00446552769,12454.19430378564,12207.384142043587,11960.573980301537,11713.763818559484,11466.953656817434,11220.143495075383,10973.333333333332
ASU,oxygen,14150.665332020835,13904.398152634625,13658.130973248406,13411.863793862187,13165.596614475966,12919.329435089749,12673.06225570353,12426.79507631731,12180.527896931093,11934.260717544874,11687.993538158655,11441.726358772436,11195.459179386218,10949.192
BF_BOF,steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15844120674874707,2.4791529397524155,5.482596707630045,2517.118986866347,18978.491896279756
DRI,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,carbon_methanol,22119.95806523832,21726.11818681043,20344.66330039758,18488.469471580065,16122.899938674813,13942.407740128303,13579.03216800741,13214.724098421511,13070.506213165767,12685.892305953443,12304.798935206009,11923.735994687813,10552.911243787457,9979.725431589959
SMR,electricity,4176.248082716995,4101.891113669809,3841.0724311150634,3490.6230362343163,3044.003508421805,2632.3265813362236,2563.7212733197994,2494.9399097819814,2467.7115730456967,2395.09646736401,2323.1460389668946,2251.2013557970595,1992.3896428270723,1884.1721614841842
SMR,hydrogen,101119.80829823231,99319.3974254191,93004.1750875318,84518.71758436601,73704.685433942,63736.72109772938,62075.57562517674,60410.167307069765,59750.885545900645,57992.650541501454,56250.50941808461,54508.50740428714,48241.87997159981,45621.601972982666
SMR_CCS,carbon,0.0,0.0,674.0819999999999,1691.4407452116707,3107.665261964986,4136.490374363743,4119.648322676643,4102.806270989543,3836.898374363743,3836.898374363743,3836.898374363743,3836.898374363743,4108.6209360971225,4174.243746807331
SMR_CCS,carbon_methanol,0.0,0.0,819.196875,2055.570350083628,3776.676533638003,5026.984829955938,5006.51705880842,4986.049287660902,4662.8973299559375,4662.8973299559375,4662.8973299559375,4662.8973299559375,4993.115720951364,5072.865664522798
SMR_CCS,electricity,0.0,0.0,59.9184,150.35028846325963,276.23691217466535,367.68803327677716,366.1909620157016,364.693890754626,341.05763327677715,341.05763327677715,341.05763327677715,341.05763327677715,365.21074987529977,371.0438886050961
SMR_CCS,hydrogen,0.0,0.0,3744.9,9396.893028953727,17264.807010916586,22980.502079798574,22886.93512598135,22793.368172164126,21316.102079798573,21316.102079798573,21316.102079798573,21316.102079798573,22825.671867206234,23190.243037818505
anaerobic_digestion,biomethane,3131.8768126167893,12464.423177789015,20797.62512750068,27245.969447266452,27348.712248000673,27451.4644254588,35481.79833968094,43509.05432718742,51637.255161466426,59590.03322468155,67550.7891644688,76778.57101273962,87095.6097031463,89699.65135451882
biomass_to_coal_conversion,coal_for_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_SMR,natural_gas,2947.3703690299353,11456.016221824242,19651.483423528323,25485.418859815636,24307.540793318338,23373.854642920134,31161.078386697707,36265.76175860572,40040.724916959654,41763.258264595956,46592.777651560544,55576.719240267594,56927.25575368604,59248.77448231259
biomethane_SMR_CCS,natural_gas,0.0,0.0,0.0,193.02609121200268,1652.5430676224496,2825.793899963032,3110.4122439781745,6091.8722559817015,10311.667672185236,16626.56313489385,19902.38933806707,20334.703511623604,29597.264277779777,30117.168633214893
biomethane_haber_bosch,natural_gas,184.50644358685383,1008.4069559647728,1146.1417039723578,1567.5244962388106,1388.628387059884,1251.8158825756295,1210.3077090050654,1151.420312600004,1284.8625723215357,1200.211825191746,1055.6221748411967,867.1482608484217,571.0896716804704,333.70823899133353
carbon_conversion,carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_evaporation,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquefication,carbon_liquid,0.0,0.0,640.3779,1606.8687079510873,2952.281998866736,3929.665855645556,3913.6659065428107,3897.6659574400655,3750.2271262932427,3750.2271262932427,3750.2271262932427,3752.493974442394,5079.824811069137,5576.202487047674
cement_plant,cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_oxy_combustion,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_haber_bosch,ammonia,0.0,687.9935812788865,1606.2188416804174,2524.4441020819468,3472.3815355691027,4420.318969056259,5368.256402543417,6316.193836030574,7264.131269517731,8212.068703004888,9160.006136492046,10107.943569979203,11055.88100346636,12003.818436953517
electrolysis,hydrogen,175.57834496141368,231.0622464447635,214.2932616538558,213.1848516503559,177.40357652588514,149.5063058886943,141.73493149130135,138.5837813258362,154.09721861158445,150.3181913947953,151.99184527727962,152.7480275173696,209.81510733747277,206.29201871474004
electrolysis,oxygen,1.09543329421426,1.4415973555688795,1.3369756594584064,1.3300602894465703,1.1068209139449974,0.9327698424395637,0.8842842375742291,0.8646242116918921,0.9614125469176753,0.9378351961121277,0.9482771226849476,0.9529949436808689,1.3090364546784927,1.2870559047612629
gasification,carbon_methanol,0.0,1.5790463178811707,185.0476936671052,416.906207838543,679.6310838024832,1227.1200335279777,1227.1200335279775,1227.1200335279777,1227.1200335279775,1227.0367718773791,1221.6466401819857,1214.9265734806338,1058.0359490409057,842.128311491293
gasification,hydrogen,0.0,7.218497453171065,845.9323139067665,1905.8569501190539,3106.884954525637,5609.691581842183,5609.691581842183,5609.691581842183,5609.691581842183,5609.310957153733,5584.67035511765,5553.950050197183,4836.7357670441415,3849.729423960196
gasification_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.7091269975651,110.7091269975651,110.7091269975651,113.09528294404043,1238.5630755546,1695.4430816639056
gasification_CCS,carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.88476068637578,78.88476068637578,78.88476068637578,80.58499395442622,882.5266214253054,1208.0722283842977
gasification_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.6160488520036,360.6160488520036,360.6160488520036,368.3885437916627,4034.4074122299676,5522.615901185361
h2_to_ng,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haber_bosch,ammonia,17231.91425999999,16244.029838208293,15025.91373729394,13807.797636379591,12559.969362379614,11312.141088379636,10064.312814379658,8816.48454037968,7568.656266379703,6320.827992379725,5072.999718379748,3825.17144437977,2577.3431703797924,1329.514896379815
hydrogen_compressor_low,hydrogen_low,14949.333710805236,19695.548046619915,22318.62494521056,19713.82422984987,15870.608470511273,12726.18688819751,12542.111172800043,12429.153814266954,12656.099339550434,12489.76337225741,11783.457767029468,11259.123738218685,13323.314320819938,14025.988577635642
hydrogen_decompressor,hydrogen,14949.333710805236,19695.548046619915,22318.624945210555,19713.824229849866,15870.608470511273,12726.186888197512,12542.111172800041,12429.15381426705,12656.099339550437,12489.76337225741,11783.457767029471,11259.123738218685,13323.314320819936,14025.988577635642
hydrogen_for_cement_conversion,coal_for_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanol_synthesis,methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pv_ground,electricity,5897.047895912482,6010.14825262737,6868.043018306061,7176.566710864872,7517.5488241102585,7793.554861870814,7793.084709974141,7797.1091209069655,7855.7473044012,7860.5839700558,7869.236157838398,7876.967003698079,8773.260424084841,25211.276419539063
refinery,oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_BF_BOF,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
