technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,electricity,4068.7771935814203,4068.7771935814203,3997.967358180299,3962.5624404759114,3927.157522775868,3891.752605072929,3856.347687372058,3820.9427696664293,3785.5378519692813,3750.132934266135,3714.728016565471,3679.3230988602563,3643.9181811593853,3608.513263457728,3573.108345756133,3537.70342805247,3502.2985103533365,3466.8935926505005,3431.488674949526,3396.083757245449,3360.6788395467497,3325.273921844534,3289.869004141698,3254.4640864363596,3219.059168737867,3183.654251033997,3148.2493333340567
BF_BOF,coal,100260.75845278287,101413.23675508684,102848.05690236583,104155.62817794173,105497.87119180005,106893.56765868189,108290.49402963821,109733.50825268838,111353.66219957022,113102.34111446982,114940.15341443653,116790.33406430797,118642.93986725746,120495.5456701311,122348.15147308195,124200.75727602256,135260.17947528182,132788.42035142521,130365.15308612537,131604.43374102793,133457.03954395826,135309.64534692894,137162.25114978824,139014.856952735,140867.46275567217,141000.66276647474,141179.99999996787
BF_BOF,iron_ore,176099.02446193915,178123.2491723961,180643.38199518103,182940.01359458998,185297.54299072575,187748.95857999256,190202.5343853902,192737.05936690138,195582.7143761682,198654.11195746623,201882.0643304847,205131.7406001307,208385.67643351632,211639.61226676873,214893.54810015677,218147.4839335268,237572.36651427706,233230.94343775968,228974.6919589638,231151.37721180543,234405.31304515747,237659.2488785803,240913.18471180752,244167.12054518837,247421.0563785524,247655.01024368,247969.99999994357
BF_BOF,limestone,34705.647156732535,35104.581953683904,35601.25046620356,36053.87129236445,36518.493874084634,37001.619574159115,37485.17101025938,37984.6759336229,38545.49845369738,39150.810385778015,39786.97618192034,40427.42332995276,41068.70995405066,41709.99657812231,42351.28320222068,42992.5698263155,46820.83135682833,45965.2224293395,45126.39914519725,45555.380910355816,46196.66753444709,46837.954158552326,47479.240782619,48120.527406715955,48761.8140308096,48807.92172685664,48869.999999988875
BF_BOF,scrap,16067.429239228024,16252.121274853658,16482.060401020164,16691.607079798356,16906.710126891034,17130.37943248107,17354.245838083047,17585.498117418007,17845.138173008047,18125.37517860093,18419.896380518676,18716.399689792943,19013.291645393823,19310.18360098255,19607.075556583644,19903.967512183102,21676.310813346445,21280.195569138657,20891.851456109835,21090.454125164728,21387.34608076254,21684.238036366816,21981.12999195324,22278.021947553683,22574.91390315259,22596.260058729928,22624.99999999485
DAC,electricity,0.0001734435858969849,0.0,0.0,0.0,0.0,284.8137075367066,9118.45941408489,25511.76579245136,30301.909829742035,65941.9680050038,66525.81774566049,67432.74004787898,67929.71977335021,68156.77289960295,68409.15565211617,70022.49256439046,70685.30498238749,70716.9165313748,70532.51423780838,70251.7201911809,66005.1729624749,65799.00119910606,65816.06442634006,66095.35138494603,66698.22200394307,61564.84095992585,120767.16851963475
DRI,iron_ore,70110.02595437158,67952.82297826416,65765.78017935822,63567.59806861142,61304.517576,58941.383184,56575.946664,54124.24313875777,51340.97038675777,48317.12525875777,45126.440717674486,41912.60516275777,38694.230218757766,35475.85527475777,32257.48033075777,29039.10538675777,8587.458726489707,13463.407876253665,18248.590213770538,16178.234136535562,12959.859192535563,9741.484248535562,6523.109304535563,3304.7343605355627,86.35941653556256,86.35941653556256,0.0
DRI,natural_gas,131576.35007875215,127527.90065783821,123423.45047359008,119298.09500547624,115050.94394400001,110616.02049600001,106176.77661600002,101575.6343836961,96352.2320956961,90677.3446636961,84689.34764823843,78657.9028396961,72617.9389036961,66577.9749676961,60538.01103169609,54498.04709569609,16116.189664782056,25266.94354858565,34247.354236802246,30361.891461717427,24321.927525717427,18281.963589717427,12241.999653717427,6202.035717717426,162.07178171742567,162.07178171742567,0.0
EAF,direct_reduced_iron,48020.56572217231,46543.02943716723,45045.054917368645,43539.45073192563,41989.3956,40370.8104,38750.6484,37071.39941010806,35165.04821010806,33093.921410108065,30908.521039503074,28707.263810108063,26502.89741010806,24298.53101010806,22094.164610108062,19889.798210108063,5881.821045540896,9221.51224400936,12499.034392993519,11080.98228529833,8876.615885298332,6672.249485298331,4467.883085298331,2263.5166852983307,59.15028529833054,59.15028529833054,0.0
EAF,electricity,40337.27520662474,39096.14472722047,37837.846130589656,36573.13861481753,35271.092304,33911.480736,32550.544656,31139.975504490772,29538.64049649077,27798.893984490773,25963.15767318258,24114.101600490772,22262.43382449077,20410.766048490772,18559.09827249077,16707.43049649077,4940.729678254353,7746.070284967862,10499.188890114556,9308.025119650598,7456.357343650598,5604.689567650597,3753.0217916505976,1901.3540156505976,49.68623965059764,49.68623965059764,0.0
