technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,electricity,4068.7771935814203,4068.7771935814203,3997.967358180299,3962.5624404759114,3927.157522775868,3891.752605072929,3856.347687372058,3820.9427696664293,3785.5378519692813,3750.132934266135,3714.728016565471,3679.3230988602563,3643.9181811593853,3608.513263457728,3573.108345756133,3537.70342805247,3502.2985103533365,3466.8935926505005,3431.488674949526,3396.083757245449,3360.6788395467497,3325.273921844534,3289.869004141698,3254.4640864363596,3219.059168737867,3183.654251033997,3148.2493333340567
BF_BOF,coal,103383.90771143581,104168.04606733916,105343.83298515696,106699.33225221136,108028.01794630683,109423.71441318867,110819.41088014499,112215.10734707945,113619.41314196128,115029.25350486088,116480.56380462274,118023.10038270616,119608.81701765565,121254.18399652929,122948.74713548014,124706.03537842074,139847.9998908037,137376.24076694713,134904.48164309052,132811.10068927513,133680.80524508748,136004.62735875734,139964.9107197342,140725.5590150524,140913.59997820485,141046.79998900744,141179.99999996787
BF_BOF,iron_ore,181584.55585213727,182961.82450289058,185026.98870469877,187407.8015199097,189741.51870056457,192192.9342898314,194644.34987922903,197095.76546858827,199562.3025698551,202038.56064315312,204587.6569388887,207296.9840055224,210082.152966908,212972.09240416042,215948.44048154846,219034.9595749185,245630.46134666807,241289.03827015072,236947.61519363336,233270.7794157781,234798.33741765365,238879.92241217635,245835.804725687,247171.81519310488,247502.0922694111,247736.04613453872,247969.99999994357
BF_BOF,limestone,35786.73728472778,36058.16979254048,36465.172956400485,36934.38424115009,37394.31390449083,37877.43960456531,38360.56530466558,38843.69100475827,39329.796856832756,39817.81852091339,40320.19516313865,40854.15013247521,41403.05204457311,41972.60215264476,42559.18170074313,43167.47378483795,48408.92303912436,47553.31411163554,46697.70518414672,45973.07331551831,46274.12489253028,47078.52485495446,48449.39217221569,48712.693505210445,48777.78460784014,48823.892303887194,48869.999999988875
BF_BOF,scrap,16567.93392811471,16693.597126176148,16882.024516852078,17099.25196349541,17312.182363190197,17535.851668780237,17759.52097438221,17983.19027998068,18208.23928557072,18434.175241163604,18666.757019971592,18913.95839466445,19168.07965026533,19431.760255854053,19703.32486145515,19984.941567054608,22411.538444039055,22015.423199831268,21619.30795562348,21283.830238665883,21423.205968764018,21795.613358775216,22430.27415380356,22552.17291907891,22582.307688814883,22603.653844392218,22624.99999999485
DAC,electricity,24218.749605146808,51319.08202216039,54002.88112535121,100817.16247062103,100955.07807525454,101060.85483918143,101060.85259871373,101068.93518958712,101113.95328932031,101526.19687202956,108945.91561609681,111654.02320678938,113472.64838774345,116033.94425175231,118855.08916040565,121644.47261974911,139193.2943523196,129716.72885379902,130363.47078093048,132068.6096842042,121487.97149796074,121855.20703061679,123968.55437600802,127044.03755779898,129381.94409314197,131619.40769097154,183034.71145747651
DRI,iron_ore,64264.13118817505,62796.385034817475,61094.19930644151,58806.30582702981,56568.60185602576,54205.46746402576,51842.33307202576,49479.19868002576,47099.94939202576,44710.34052802576,42243.1084488644,39605.119489858596,36886.306321858596,34055.8399458586,31133.288449858595,28093.328425858595,0.0,4875.9491497639565,9751.898299451173,13919.601130842082,12541.015700678325,8440.620482805467,1277.1054941238688,102.6510131209005,0.0,0.0,0.0
DRI,natural_gas,120605.28729835594,117850.74999684925,114656.23705455461,110362.51915483679,106162.99252432233,101728.06907632232,97293.14562832232,92858.22218032232,88393.05570832232,83908.44729232232,79278.16243143045,74327.41602891272,69224.9858369127,63913.014692912715,58428.22626891271,52723.09581291271,0.0,9150.75388380359,18301.507767463165,26123.08705377213,23535.878780725077,15840.616522525328,2396.7596259584934,192.64642188442969,0.0,0.0,0.0
EAF,direct_reduced_iron,44016.5282110788,43011.22262658731,41845.341990713365,40278.29166234919,38745.61770960668,37127.03250960669,35508.44730960669,33889.862109606685,32260.239309606684,30623.520909606686,28933.635923879727,27126.794171136025,25264.593371136023,23325.917771136024,21324.170171136026,19242.005771136024,0.0,3339.6911984684634,6679.382396884366,9533.973377289098,8589.736781286525,5781.246906031141,874.7297904958006,70.30891309650718,0.0,0.0,0.0
EAF,electricity,36973.88369730619,36129.42700633334,35150.08727219922,33833.76499637332,32546.318876069614,31186.707308069614,29827.095740069613,28467.484172069617,27098.601020069615,25723.757564069616,24304.254176058967,22786.50710375426,21222.25843175426,19593.77092775426,17912.30294375426,16163.284847754261,0.0,2805.3406067135093,5610.681213382867,8008.537636922842,7215.37889628068,4856.247401066159,734.7730240164724,59.05948700106604,0.0,0.0,0.0
