technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,nitrogen,14181.865435975675,14181.865435975675,13935.055274242939,13811.650193363233,13688.24511249867,13564.840031624011,13441.434950756562,13318.029869872533,13194.62478901806,13071.219708142682,12947.814627275953,12824.409546393365,12701.004465525917,12577.599384655728,12454.194303785756,12330.789222908576,12207.384142047182,12083.979061172884,11960.573980305075,11837.168899426451,11713.763818566573,11590.358737694438,11466.95365682014,11343.54857593712,11220.143495077962,11096.73841420006,10973.333333335855
ASU,oxygen,14150.665332016528,14150.665332016528,13904.398152639606,13781.264562937835,13658.130973251173,13534.997383554439,13411.863793864899,13288.730204158814,13165.596614482221,13042.463024784767,12919.329435095948,12796.1958453913,12673.06225570176,12549.928666009486,12426.795076317429,12303.661486618175,12180.527896934678,12057.394307238304,11934.260717548405,11811.127127847714,11687.993538165727,11564.85994847151,11441.726358775137,11318.59276907006,11195.45917938879,11072.325589688819,10949.192000002517
BF_BOF,steel,128539.43391382419,130016.97019882927,131856.4832081613,133532.85663838685,135253.68101512827,137043.03545984856,138833.96670466437,140683.98493934405,142761.10538406437,145003.00142880745,147359.1710441494,149731.19751834354,152106.3331631506,154481.4688078604,156856.60445266915,159231.74009746482,173410.48650677156,170241.56455310926,167134.81164887868,168723.63300131782,171098.76864610033,173473.90429093453,175849.03993562591,178224.17558042947,180599.3112252207,180770.08046983942,180999.9999999588
DAC,carbon_liquid,0.00011895993545746565,0.0,0.0,0.0,0.0,195.34547842023773,6254.087389632985,17497.78175065251,20783.20290105764,45227.687246230314,45628.132884540806,46250.164641892305,46591.02865113183,46746.75781865772,46919.85984370107,48026.40093579592,48481.004789017476,48502.68623551084,48376.21003964909,48183.62153030239,45271.03769717071,45129.63045206177,45141.33362574764,45332.88846704117,45746.37997526959,42225.54249651979,82830.70543184826
DRI,direct_reduced_iron,48020.56572217231,46543.02943716723,45045.054917368645,43539.45073192563,41989.3956,40370.8104,38750.6484,37071.39941010806,35165.04821010806,33093.921410108065,30908.521039503074,28707.263810108063,26502.89741010806,24298.53101010806,22094.164610108062,19889.798210108063,5881.821045540896,9221.51224400936,12499.034392993519,11080.98228529833,8876.615885298332,6672.249485298331,4467.883085298331,2263.5166852983307,59.15028529833054,59.15028529833054,0.0
EAF,steel,48020.56572217231,46543.02943716723,45045.054917368645,43539.45073192563,41989.3956,40370.8104,38750.6484,37071.39941010806,35165.04821010806,33093.921410108065,30908.521039503074,28707.263810108063,26502.89741010806,24298.53101010806,22094.164610108062,19889.798210108063,5881.821045540896,9221.51224400936,12499.034392993519,11080.98228529833,8876.615885298332,6672.249485298331,4467.883085298331,2263.5166852983307,59.15028529833054,59.15028529833054,0.0
SMR,electricity,12525.396352467393,11918.526908263193,11179.997680714518,10263.245703036093,9322.613959926673,8304.67160159764,7134.554980732232,6086.189050811846,5026.586763893521,3887.603205342837,2658.613874355908,2494.594082691295,2307.9711227140406,2124.2451360355344,1874.0670389604152,1666.6474539504798,1301.751591256894,1482.1214096241356,1615.7532914284093,1624.9753787404675,1660.352542759624,1674.6344048572178,1691.0527028831132,1722.066814987801,1786.2364106879775,682.2319202719336,1054.7109174190693
SMR,hydrogen,303278.36204521527,288584.1866407553,270702.12301972194,248504.73857230245,225729.1515720744,201081.63684255787,172749.51527196687,147365.3523198994,121709.1226124339,94130.82821653357,64373.21729675322,60401.793769765005,55883.078031816956,51434.50692579986,45376.92588281877,40354.65990194866,31519.40898927104,35886.7169400517,39122.35572465882,39345.65081696047,40202.24074478508,40548.04854375829,40945.586026225494,41696.53305055208,43250.276287844485,16518.93269423568,25537.79461063122
SMR_CCS,carbon,7437.419411778356,9807.404254312727,13488.370771227132,17380.168904928294,21156.78133709033,24445.21691783882,26746.702899426404,29608.32929503136,32187.127498489626,35510.47284478126,37534.23282767188,37630.89829267852,37704.164010350614,37749.618338837965,37747.12942668991,37770.462229213794,37526.47862944513,37592.533101415895,37856.218023615475,38263.385665420705,38320.03871273351,38401.151642221965,38583.32299586245,38681.80105425997,38667.400604627255,43990.06552789973,45308.54595851664
SMR_CCS,electricity,661.1039477136317,871.7692670500202,1198.966290775745,1544.9039026602927,1880.6027855191408,2172.908170474562,2377.4847021712358,2631.8514928916766,2861.0779998657445,3156.486475091668,3336.3762513486117,3344.9687371269792,3351.4812453644995,3355.5216301189307,3355.3003934835483,3357.3744203745596,3335.686989284012,3341.5584979036353,3364.997157654709,3401.1898369262854,3406.22566335409,3413.4357015308415,3429.6287107433295,3438.38231593422,3437.102275966867,3910.2280469244206,4027.4263074237015
