carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76804.00599904348,77619.23668509093,78391.01827520528,79151.58392510412,79912.14957499893,80672.71522489373,81433.28087479564,82106.7645363591,82780.24819792381,83453.73185949892,84127.21552106501,84800.69918263059,85474.18284418406,86084.69501932994,86675.59604016715,87266.49706100601,87857.39808185109,88548.5434833502,89239.68888483188,89930.83428636251,90621.97968784507,91313.1250893363,92004.27049085118,92695.41589233986,93386.56129384694,93884.07929070407,94377.89441858434
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,100260.75845278287,101413.23675508684,102848.05690236583,104155.62817794173,105497.87119180005,106893.56765868189,108290.49402963821,109733.50825268838,111353.66219957022,113102.34111446982,114940.15341443653,116790.33406430797,118642.93986725746,120495.5456701311,122348.15147308195,124200.75727602256,135260.17947528182,132788.42035142521,130365.15308612537,131604.43374102793,133457.03954395826,135309.64534692894,137162.25114978824,139014.856952735,140867.46275567217,141000.66276647474,141179.99999996787
coal_for_cement,38271.85078164616,37456.620095598715,36684.83850548436,35924.27285558553,35163.70720569072,34403.14155579591,33642.575905894,32969.09224433053,32295.608582765843,31622.124921190723,30948.64125962463,30275.157598059057,29601.673936505576,28991.161761359694,28400.2607405225,27809.359719683638,27218.458698838556,26527.313297339446,25836.16789585777,25145.022494327124,24453.87709284457,23762.731691353343,23071.586289838466,22380.44088834978,21689.2954868427,21191.777489985576,20697.962362105303
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,20990.77758225144,23306.346270639948,27733.2826847535,38198.599284943084,46990.76610540185,63192.03425735928,93067.20258289666,102699.87982410556,115493.98516746765,124701.93380128399,127189.25513308475,127282.12600845951,127322.14765367494,127217.49651717358,127045.9908164691,126947.272385021,125724.81402898511,126471.83125654446,126049.8614377075,125629.44886530595,123415.7349022673,125335.30141447288,126379.66253029199,127780.01347245804,129328.3871383193,124676.9617542406,92216.55040170826
electricity,6388.475444653147,5305.411699920203,5947.335843887891,1682.662149398954,1138.5686411752008,845.4730474486582,786.8969761984328,707.8358595476457,697.5357374712473,748.2357669575858,1792.4976911231993,882.4868016535306,881.5654568847136,827.932203128011,773.7368282974838,846.5308632695435,1374.0973571709058,512.7418770989148,616.9998668148945,617.7510562933711,504.5495286410153,503.9805468372208,503.63819822274957,503.29584960827833,502.9535009937195,544.0388652660647,807.9627274754916
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,246209.05041631073,246076.07215066027,246409.16217453926,246507.6116632014,246602.06056672573,246690.34176399256,246778.4810493902,246861.30250565914,246923.68476292596,246971.237216224,247008.50504815916,247044.34576288846,247079.90665227408,247115.4675415265,247151.02843091454,247186.58932028458,246159.82524076675,246694.35131401336,247223.28217273435,247329.61134834102,247365.17223769304,247400.73312711588,247436.2940163431,247471.85490572394,247507.41579508796,247741.36966021557,247969.99999994357
limestone,34705.647156732535,35104.581953683904,35601.25046620356,36053.87129236445,36518.493874084634,37001.619574159115,37485.17101025938,37984.6759336229,38545.49845369738,39150.810385778015,39786.97618192034,40427.42332995276,41068.70995405066,41709.99657812231,42351.28320222068,42992.5698263155,46820.83135682833,45965.2224293395,45126.39914519725,45555.380910355816,46196.66753444709,46837.954158552326,47479.240782619,48120.527406715955,48761.8140308096,48807.92172685664,48869.999999988875
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,453728.2479134043,421381.07450189587,389957.3623644012,363707.20855609374,340852.81558969355,315615.75086196046,267671.1317912672,245775.75153336086,219470.78501877483,186303.05812345352,147905.89322682933,134186.22116114342,111923.07303669758,98853.30629089252,83637.17426145049,70176.62772253824,18049.603307982055,33856.460633186136,49617.954484666494,49663.477022211824,26185.82280882679,19953.948811033893,13722.074813240402,7490.200815447508,1258.3268176540148,1073.7502165879341,0.0
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,16067.429239228024,16252.121274853658,16482.060401020164,16691.607079798356,16906.710126891034,17130.37943248107,17354.245838083047,17585.498117418007,17845.138173008047,18125.37517860093,18419.896380518676,18716.399689792943,19013.291645393823,19310.18360098255,19607.075556583644,19903.967512183102,21676.310813346445,21280.195569138657,20891.851456109835,21090.454125164728,21387.34608076254,21684.238036366816,21981.12999195324,22278.021947553683,22574.91390315259,22596.260058729928,22624.99999999485
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,56381.338878307055,67762.98758500784,81026.07114591941,90255.43079837874,97267.61552474702,102645.7365120059,112718.26135376429,114816.39481603674,117520.34538225862,124262.09670475133,127834.10254641534,129172.90178586163,133840.09816780963,134462.56067999342,134959.29942361882,135358.33521085326,135515.62158218015,135230.22254812697,134871.44361975932,134501.0103784446,142679.2966243513,143147.77916569074,143962.48479064062,144714.20203127703,145565.12433161045,147183.75982454672,156549.97067346374
