carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,35322.47053618553,35909.022462476954,36495.57438876855,37082.12631506312,37626.29349289436,38124.90615402739,38623.518815165495,39166.23414724015,39708.949479308074,40251.6648113985,40794.380143471935,41337.095475543356,41879.81080762152,42422.526139707305,42965.24147178408,43507.95680386495,44050.67213592759,44676.64154434718,45302.610952771574,45928.58036122384,46554.54976965481,47180.5191780913,47797.409597061785,48393.53304436543,48989.656491633614,49585.779938953114,50181.90338625012
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,106625.51053413321,107581.42803328826,109079.45519640768,110477.61147133804,111870.84813029435,113266.5445971762,114662.24106413251,116057.93753106697,117453.63399794881,118853.02017684841,120301.8724546714,121694.49105640709,123097.43353049597,124508.98533250969,125961.25738346054,127430.74809040115,139847.9998908037,137376.24076694713,136184.35142479773,138927.29046328188,139404.36842981103,140375.63574546162,140647.19995632092,140780.39996726767,140913.59997820485,141046.79998900744,141179.99999996787
coal_for_cement,79753.38624450412,79166.83431821268,78580.2823919211,77993.73046562652,77449.56328779529,76950.95062666225,76452.33796552414,75909.62263344949,75366.90730138157,74824.19196929113,74281.47663721771,73738.76130514628,73196.04597306812,72653.33064098233,72110.61530890556,71567.89997682469,71025.18464476205,70399.21523634245,69773.24582791806,69147.27641946581,68521.30701103482,67895.33760259835,67278.44718362785,66682.32373632421,66086.20028905603,65490.076841736525,64893.95339443952
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
