technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,electricity,4068.7771935814203,4068.7771935814203,3997.967358180299,3962.5624404759114,3927.157522775868,3891.752605072929,3856.347687372058,3820.9427696664293,3785.5378519692813,3750.132934266135,3714.728016565471,3679.3230988602563,3643.9181811593853,3608.513263457728,3573.108345756133,3537.70342805247,3502.2985103533365,3466.8935926505005,3431.488674949526,3396.083757245449,3360.6788395467497,3325.273921844534,3289.869004141698,3254.4640864363596,3219.059168737867,3183.654251033997,3148.2493333340567
BF_BOF,coal,137716.79971607728,137716.79971607728,137983.19973791338,138116.39974884375,138249.59975980004,138382.7997706819,138515.9997816382,138649.19979257265,138782.3998034545,138915.5998143541,139048.79982524892,139181.99983619226,139315.19984714175,139448.3998580154,139581.59986896624,139714.79987990684,139847.9998908037,139981.19990175252,140114.39991266033,140247.5999235606,140380.79993449096,140513.99994546163,140647.19995632092,140780.39996726767,140913.59997820485,141046.79998900744,141179.99999996787
BF_BOF,iron_ore,241887.19950131522,241887.19950131522,242355.1072319761,242589.06109732811,242823.01496272575,243056.96882799256,243290.9226933902,243524.8765587494,243758.83042401625,243992.78428931427,244226.7381546039,244460.69201997874,244694.64588536436,244928.5997506168,245162.55361600482,245396.50748137487,245630.46134666807,245864.41521205253,246098.36907736494,246332.32294266415,246566.2768080162,246800.23067343904,247034.18453866625,247268.1384040471,247502.0922694111,247736.04613453872,247969.99999994357
BF_BOF,limestone,47671.19990171906,47671.19990171906,47763.41529389309,47809.52298998437,47855.63068608464,47901.738382159114,47947.84607825938,47993.95377435208,48040.06147042656,48086.16916650719,48132.27686258617,48178.38455868194,48224.49225477984,48270.59995085148,48316.70764694986,48362.81534304468,48408.92303912436,48455.030735222026,48501.138431305495,48547.24612738637,48593.35382347764,48639.461519582874,48685.56921564955,48731.6769117465,48777.78460784014,48823.892303887194,48869.999999988875
BF_BOF,scrap,22069.999954499563,22069.999954499563,22112.692265691247,22134.03842128906,22155.384576891032,22176.73073248107,22198.076888083044,22219.423043681516,22240.769199271555,22262.11535486444,22283.46151045656,22304.80766605645,22326.15382165733,22347.499977246054,22368.846132847153,22390.19228844661,22411.538444039055,22432.884599639827,22454.230755234024,22475.57691082702,22496.92306642483,22518.269222029106,22539.615377615533,22560.961533215974,22582.307688814883,22603.653844392218,22624.99999999485
DAC,electricity,162924.3781781253,162924.3781781253,167678.63903386338,169271.89715480758,171535.81951709677,173905.3288074877,176193.6184543072,179759.69075416308,183160.97208576096,185344.96771476886,190107.13202668246,192757.85045282758,195748.88607057222,198553.7461299518,201331.323636256,204040.61710970197,205073.6730103492,210805.67174226814,213183.82292540467,215561.97410853376,217940.03654700387,220319.94822538696,222698.07415711868,225076.96698248308,227456.89527377574,229832.58647309843,211740.64802590053
DRI,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,natural_gas,1497.359461248442,1497.359461248442,948.276497581715,882.1543221631123,826.4008090027821,711.3938460661773,647.4082692941814,581.7004692661773,516.8537808661772,404.41340730777677,271.096351192234,157.49733105228697,117.84374950594118,41.8311497748429,0.0,0.0,3717.5857718552343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,natural_gas,8420.911642987701,8420.911642987701,8849.654896398737,10765.71431270592,11299.40465553085,11607.565845617286,12208.31224972129,12208.31224972129,12208.31224972129,12208.312249721288,12208.31224972129,12208.31224972129,11493.086185205151,11300.370049772127,11355.555343407677,11233.853965501243,14567.380337954348,7505.043281137449,7803.965551697519,8102.887822257589,8401.81009281766,8700.732363450537,8999.654634010607,9303.955671819254,9602.877942452133,9901.8002130122,56675.63327429642
anaerobic_digestion,wet_biomass,4312.26591069979,4312.26591069979,4259.944611474821,5064.260325068359,5272.0576998699335,5356.037294750136,5589.410167257547,5560.841729961371,5532.647686778819,5483.760861163098,5425.797271505182,5376.406689528736,5048.200117013689,4931.362237539031,4937.168352206791,4884.255027120631,7949.937565223011,3263.0427177729407,3393.0081425670473,3522.9735673611544,3652.9389921552615,3782.904416981025,3912.8698417751316,4045.173846993575,4175.139271819337,4305.1046966134445,24641.4318349986
biomass_to_coal_conversion,biomass_cement,7927.231533981904,1943.3627244721001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76804.00599904348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31798.17851081011
biomethane_SMR,biomethane,1497.359461248442,1497.359461248442,948.276497581715,882.1543221631123,826.4008090027821,711.3938460661773,647.4082692941814,581.7004692661773,516.8537808661772,404.41340730777677,271.096351192234,157.49733105228697,117.84374950594118,41.8311497748429,0.0,0.0,3717.5857718552343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_SMR_CCS,biomethane,8420.911642987701,8420.911642987701,8849.654896398737,10765.71431270592,11299.40465553085,11607.565845617286,12208.31224972129,12208.31224972129,12208.31224972129,12208.312249721288,12208.31224972129,12208.31224972129,11493.086185205151,11300.370049772127,11355.555343407677,11233.853965501243,14567.380337954348,7505.043281137449,7803.965551697519,8102.887822257589,8401.81009281766,8700.732363450537,8999.654634010607,9303.955671819254,9602.877942452133,9901.8002130122,56675.63327429642
