technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,electricity,4068.7771935814203,4068.7771935814203,3997.967358180299,3962.5624404759114,3927.157522775868,3891.752605072929,3856.347687372058,3820.9427696664293,3785.5378519692813,3750.132934266135,3714.728016565471,3679.3230988602563,3643.9181811593853,3608.513263457728,3573.108345756133,3537.70342805247,3502.2985103533365,3466.8935926505005,3431.488674949526,3396.083757245449,3360.6788395467497,3325.273921844534,3289.869004141698,3254.4640864363596,3219.059168737867,3183.654251033997,3148.2493333340567
BF_BOF,coal,137716.79971607728,137716.79971607728,137983.19973791338,138116.39974884375,138249.59975980004,138382.7997706819,138515.9997816382,138649.19979257265,138782.3998034545,138915.5998143541,139048.79982524892,139181.99983619226,139315.19984714175,139448.3998580154,139581.59986896624,139714.79987990684,139847.9998908037,139981.19990175252,140114.39991266033,140247.5999235606,140380.79993449096,140513.99994546163,140647.19995632092,140780.39996726767,140913.59997820485,141046.79998900744,141179.99999996787
BF_BOF,iron_ore,241887.19950131522,241887.19950131522,242355.1072319761,242589.06109732811,242823.01496272575,243056.96882799256,243290.9226933902,243524.8765587494,243758.83042401625,243992.78428931427,244226.7381546039,244460.69201997874,244694.64588536436,244928.5997506168,245162.55361600482,245396.50748137487,245630.46134666807,245864.41521205253,246098.36907736494,246332.32294266415,246566.2768080162,246800.23067343904,247034.18453866625,247268.1384040471,247502.0922694111,247736.04613453872,247969.99999994357
BF_BOF,limestone,47671.19990171906,47671.19990171906,47763.41529389309,47809.52298998437,47855.63068608464,47901.738382159114,47947.84607825938,47993.95377435208,48040.06147042656,48086.16916650719,48132.27686258617,48178.38455868194,48224.49225477984,48270.59995085148,48316.70764694986,48362.81534304468,48408.92303912436,48455.030735222026,48501.138431305495,48547.24612738637,48593.35382347764,48639.461519582874,48685.56921564955,48731.6769117465,48777.78460784014,48823.892303887194,48869.999999988875
BF_BOF,scrap,22069.999954499563,22069.999954499563,22112.692265691247,22134.03842128906,22155.384576891032,22176.73073248107,22198.076888083044,22219.423043681516,22240.769199271555,22262.11535486444,22283.46151045656,22304.80766605645,22326.15382165733,22347.499977246054,22368.846132847153,22390.19228844661,22411.538444039055,22432.884599639827,22454.230755234024,22475.57691082702,22496.92306642483,22518.269222029106,22539.615377615533,22560.961533215974,22582.307688814883,22603.653844392218,22624.99999999485
DAC,electricity,166573.2342200601,166573.23334122388,171447.53610818138,173265.408428945,175620.43636223732,177982.27053143986,180482.6792552971,183980.1783862754,187331.65890862318,189566.7581139786,193384.0718287296,195831.33696894755,198445.1043243159,201053.59397068617,203671.52495038477,206049.6761335028,207584.36137187984,210805.97849973832,213184.1296828749,215562.28086600394,217940.34330447405,220320.25498285715,222698.38091458887,225076.96698248308,227456.89527377576,229832.58647309843,227878.95035119777
DRI,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,natural_gas,1458.9008822727872,1458.9008822727872,1035.596877087696,657.3696954823794,605.1026308832173,521.6256081019814,469.8867423743316,368.8171538716476,300.3183706334091,196.85472809866212,87.74572599697399,0.0,0.0,0.0,0.0,0.0,2098.314853497655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,natural_gas,3274.7201266808397,3274.7201266808397,3602.691271606169,5269.30347927815,5588.863156229165,5889.359216217472,5889.359216217473,5889.359216217472,5706.591293018118,5889.359216217472,5565.116418653297,5864.03868923521,6161.387170403446,6460.309440985359,6610.427976254738,6909.35024683665,9001.806140910037,7507.194788036881,7806.1170585969485,8105.039329157019,8403.96159971709,8702.883870349968,9001.806140910037,9303.955671819254,9602.877942452133,9901.8002130122,19787.257574170464
anaerobic_digestion,wet_biomass,2058.0837422728578,2058.0837422728578,2016.6349212891187,2576.798962922383,2693.0124449207215,2787.3679819176123,2764.8729578765447,2720.9299221873475,2611.6841835624114,2646.164098709769,2457.751403251045,2549.5667413056844,2678.8479139480105,2808.8133387516145,2874.0818755160344,3004.0473003196385,4826.110605948576,3263.978149942675,3393.9435747367816,3523.9089995308887,3653.8744243249957,3783.839849150759,3913.805273944866,4045.173846993575,4175.139271819337,4305.1046966134445,8603.103848097835
biomass_to_coal_conversion,biomass_cement,438.7261886373086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61467.562505167014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9177.378567195565
biomethane_SMR,biomethane,1458.9008822727872,1458.9008822727872,1035.596877087696,657.3696954823794,605.1026308832173,521.6256081019814,469.8867423743316,368.8171538716476,300.3183706334091,196.85472809866212,87.74572599697399,0.0,0.0,0.0,0.0,0.0,2098.314853497655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_SMR_CCS,biomethane,3274.7201266808397,3274.7201266808397,3602.691271606169,5269.30347927815,5588.863156229165,5889.359216217472,5889.359216217473,5889.359216217472,5706.591293018118,5889.359216217472,5565.116418653297,5864.03868923521,6161.387170403446,6460.309440985359,6610.427976254738,6909.35024683665,9001.806140910037,7507.194788036881,7806.1170585969485,8105.039329157019,8403.96159971709,8702.883870349968,9001.806140910037,9303.955671819254,9602.877942452133,9901.8002130122,19787.257574170464
