technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,nitrogen,14181.865435975675,14181.865435975675,13935.055274242939,13811.650193363233,13688.24511249867,13564.840031624011,13441.434950756562,13318.029869872533,13194.62478901806,13071.219708142682,12947.814627275953,12824.409546393365,12701.004465525917,12577.599384655728,12454.194303785756,12330.789222908576,12207.384142047182,12083.979061172884,11960.573980305075,11837.168899426451,11713.763818566573,11590.358737694438,11466.95365682014,11343.54857593712,11220.143495077962,11096.73841420006,10973.333333335855
ASU,oxygen,14150.665332016528,14150.665332016528,13904.398152639606,13781.264562937835,13658.130973251173,13534.997383554439,13411.863793864899,13288.730204158814,13165.596614482221,13042.463024784767,12919.329435095948,12796.1958453913,12673.06225570176,12549.928666009486,12426.795076317429,12303.661486618175,12180.527896934678,12057.394307238304,11934.260717548405,11811.127127847714,11687.993538165727,11564.85994847151,11441.726358775137,11318.59276907006,11195.45917938879,11072.325589688819,10949.192000002517
BF_BOF,steel,176559.9996359965,176559.9996359965,176901.53812552997,177072.30737031248,177243.07661512826,177413.84585984857,177584.61510466435,177755.38434945213,177926.15359417244,178096.92283891552,178267.69208365248,178438.4613284516,178609.23057325865,178779.99981796843,178950.76906277722,179121.5383075729,179292.30755231244,179463.0767971186,179633.8460418722,179804.61528661617,179975.38453139865,180146.15377623285,180316.92302092427,180487.6922657278,180658.46151051906,180829.23075513775,180999.9999999588
DAC,carbon_liquid,111745.11534850845,111745.11534850845,115005.92526328079,116098.69489355801,117651.45371542989,119276.6315552042,120846.10319225461,123291.96896719004,125624.80938666733,127122.74877556165,130388.97944216905,132207.03048890783,134258.49524730604,136182.2675788421,138087.3275968834,139945.5535731838,140654.09671491716,144585.5087395529,146216.61380343256,147847.71886730712,149478.76306378865,151111.07560040258,152742.16334507454,154373.77707989237,156006.10101082013,157635.51884300305,145226.78191076854
DRI,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,electricity,47.617575844737544,47.617575844737544,30.156171055767178,28.053417652526793,26.280398407495884,22.623058321808827,20.58825096007523,18.498675121808827,16.436483521808828,12.860763626558239,8.621143685407922,5.008577633371411,3.7475528255912613,1.3302737242635037,0.0,0.0,118.22306335383168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,hydrogen,1152.9679381292385,1152.9679381292385,730.1736333115539,679.2595073251039,636.3292592614016,547.7738092447656,498.5048658613856,447.90980924476577,397.97780924476575,311.39863502562315,208.74439916241937,121.27306618332715,90.73977785935257,32.21001753664657,0.0,0.0,2862.5439068724377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,carbon,1167.1395208576162,1167.1395208576162,1226.5633952042601,1492.1294958705366,1566.0990513556274,1608.810235012791,1692.0737698851406,1692.0737698851406,1692.0737698851406,1692.0737698851406,1692.0737698851406,1692.0737698851406,1592.9433382127722,1566.2328551312721,1573.8815444778486,1557.013716632189,2019.0409338814065,1040.2000389656896,1081.630707095983,1123.0613752262768,1164.4920433565708,1205.9227114969563,1247.3533796272498,1289.529545643694,1330.960213784079,1372.390881914373,7855.250627068111
SMR_CCS,electricity,103.74573518734366,103.74573518734366,109.0278573514898,132.63373296626992,139.20880456494467,143.0053542233592,150.40655732312362,150.40655732312362,150.40655732312362,150.40655732312362,150.40655732312362,150.40655732312362,141.59496339669087,139.22069823389086,139.90058173136433,138.4012192561946,179.47030523390282,92.46222568583907,96.14495174186517,99.8276777978913,103.51040385391741,107.19312991084054,110.87585596686665,114.6248485016617,118.30757455858482,121.99030061461094,698.2445001838322
