technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,3048.7368380965263,3048.72831726027,3048.7368380965263,3048.729540094236,3048.7368380965263,3048.7368380965263,3048.7368380965263,3048.7368380965263,3048.7368380965263,3048.7368380965263,18221.83189391353,18222.08814859925,18222.600469044923,19047.4802451464,19064.11783629708,19065.541012210455,19066.782660918423,19067.29082756173,19067.293655082998,19142.15651829335,19188.514467090514
ASU,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,3042.029617052714,3042.021114962298,3042.029617052714,3042.022335106029,3042.029617052714,3042.029617052714,3042.029617052714,3042.029617052714,3042.029617052714,3042.029617052714,18181.74386374692,18181.999554672333,18182.51074801302,19005.575788607075,19022.176777057226,19023.596821983592,19024.8357390644,19025.342787741094,19025.345609041815,19100.0437739531,19146.299735262914
DAC,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00321090455609084,0.00321090455609084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1959.8089957871416,2003.3329991941368,22980.553053428812,27792.06462405769,30911.138905114458,34425.23397710437,37349.191418706716,37461.76193466658,37474.98411023198,50368.656648616314,50335.89319669737
SMR,electricity,549.9286704650369,286.4479244166174,254.719351877294,207.96296231642026,239.0241968748945,249.8275311626006,686.0365173964541,342.94644244052495,316.33407066018117,227.1509976874085,26.982124828200778,26.982124828200778,26.982124828200778,26.982124828200778,26.982124828200778,26.982124828200778,26.982124828200778,26.90665550601398,26.03120407135215,26.755716861605137,26.67226831892124,25.08563078393437,22.25915788305119,21.110496191137056,20.76381141678675,20.68325278284234,20.607783460620297
SMR,hydrogen,13315.464175908884,6935.785094833351,6167.538786375157,5035.4228163782145,5787.510820215362,6049.0927642276165,16611.05368998678,8303.787952555083,7659.420597098818,5500.024157080108,653.320213757888,653.320213757888,653.320213757888,653.320213757888,653.320213757888,653.320213757888,653.320213757888,651.4928693950116,630.2954980956937,647.8381806684052,645.817634840708,607.4002611122123,538.9626606065664,511.150028841091,502.75572437740317,500.8051521269332,498.9778077632033
SMR_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,1308.542038687463,1308.542038687463,1308.542038687463,1308.542038687463,1389.4392505562942,1389.4392505562942,1394.9817025562943,1394.9817025562943,1394.9817025562943,1823.8947341271044,2030.5769632749134,2030.5769632749134,2030.5769632749134,2030.5769632749134,2224.6191761371642,2224.5024536571177,2221.7144000177336,2175.950731028936,2184.82789283456,2106.844108547878,1996.3737233196023
SMR_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,116.31484788333005,116.31484788333005,116.31484788333005,116.31484788333005,123.5057111605595,123.5057111605595,123.9983735605595,123.9983735605595,123.9983735605595,162.12397636685373,180.4957300688812,180.4957300688812,180.4957300688812,180.4957300688812,197.74392676774795,197.73355143618824,197.48572444602078,193.41784275812765,194.20692380751646,187.2750318709225,177.45544207285354
SMR_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,7269.677992708128,7269.677992708128,7269.677992708128,7269.677992708128,7719.106947534969,7719.106947534969,7749.898347534969,7749.898347534969,7749.898347534969,10132.748522928357,11280.983129305074,11280.983129305074,11280.983129305074,11280.983129305074,12358.995422984246,12358.346964761764,12342.857777876297,12088.615172382977,12137.932737969779,11704.689491932657,11090.965129553346
anaerobic_digestion,biomethane,0.0,0.0,0.0,0.0,0.0,386.18993070871426,10077.231485229398,10077.231485229398,10077.231485229398,10077.231485229398,10077.231485229398,10077.231485229398,10077.231485229398,10077.231485229398,10077.231485229398,10077.231485229398,10077.231485229398,10077.231485229398,10077.231485229398,10077.231485229398,16826.62460624878,16826.62460624878,16720.064787274732,16356.195550456387,16411.715761801042,15848.902722115014,15051.858892693002
biomass_to_coal_conversion,coal_for_cement,76804.00599904348,77619.23668509093,78391.01827520528,79151.58392510412,79912.14957499893,80672.71522489373,81433.28087479564,82106.7645363591,82780.24819792381,83453.73185949892,84127.21552106501,84800.69918263059,85474.18284418406,86084.69501932994,86675.59604016715,87266.49706100601,87857.39808185109,88548.5434833502,89239.68888483188,89930.83428636251,90621.97968784507,91313.1250893363,91919.76726389768,92632.98022726177,92796.44537778155,93716.6896903631,94377.89441858434
