carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
biomass_cement,76804.00599904348,77619.23668509093,78391.01827520528,79151.58392510412,79912.14957499893,80672.71522489373,81433.28087479564,82106.7645363591,82780.24819792381,83453.73185949892,84127.21552106501,84800.69918263059,85474.18284418406,86084.69501932994,86675.59604016715,87266.49706100601,87857.39808185109,88548.5434833502,89239.68888483188,89930.83428636251,90621.97968784507,91313.1250893363,91919.76726389768,92632.98022726177,92796.44537778155,93716.6896903631,94377.89441858434
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_for_cement,24957.7920714224,30522.240466450487,30518.70518479433,30890.255504892433,29377.601851160478,28355.454257253416,9520.297727281586,17145.208088315467,17119.235720394692,18602.652219874493,22332.477493914583,21658.99630184155,20954.776920116852,19082.1114815019,17695.79750136213,13532.497428631968,11581.790438007689,10933.772799821183,10345.780599513491,9800.392556161883,7243.120105808633,6782.125895151801,6649.440114150996,6533.878291653563,6418.316469156129,6302.754646657032,6187.192824157847
dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,367.62410346964737,367.62410346964737,367.62410346964737,367.62410346964737,367.62410346964737,367.62410346964737,367.62410346964737,367.62410346964737,367.62410346964737,367.62410346964737,367.62410346964737,367.62410346964737,367.62410346964737,367.62410346964737,5949.164599653355,5949.164599653355,5639.612829466195,5259.2594627840235,5143.15515905202,4548.410328849631,4661.405916528414
electricity,1191.017865273062,715.1508430309902,641.0773674590554,289.7772692478308,143.41564874666017,131.1344104789541,114.61174775456206,114.61174775456206,114.61174775456206,114.61174775456206,114.61174775456206,114.61174775456206,114.61174775456206,114.61174775456206,114.61174775456206,108.80828380377018,114.61174775456206,114.61174775456206,114.61174775456206,114.61174775456206,114.61174775456206,114.61174775456206,217.8203518037702,217.8203518037702,217.8203518037702,217.8203518037702,217.8203518037702
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,17292.793325252867,9007.504102660072,8009.782621865415,6539.503611630387,7516.240302213691,7469.766842193691,20936.674751086477,10148.028737883933,9311.18885335288,6506.780696700582,796.0396691416329,796.0396691416329,836.0284603216328,836.0284603216328,836.0284603216328,3930.6359831050277,5421.8482664064695,5419.475094282402,5391.946068175977,5414.728750033158,62.726111948486505,11.991315993750966,9.555416182962308,7.11951637331131,4.746344249243648,2.373172125176006,0.0
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0072819466849349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,0.0,0.0,0.0,0.0,0.0,167.90765807353478,4381.3787051480385,4381.3787051480385,4381.3787051480385,4381.3787051480385,4381.3787051480385,4381.3787051480385,4381.3787051480385,4381.3787051480385,4381.3787051480385,4381.3787051480385,4381.3787051480385,4381.3787051480385,4381.3787051480385,4381.3787051480385,7315.879846304845,7315.879846304845,7269.549768211308,7111.346701427427,7135.485778915857,6890.785925521165,6544.247209365064
