technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,0.0,0.0,-0.0002898550871744205,280.5244743821437,744.1340090758107,1265.1669558383628,1787.6386202978695,2319.1671714131826,2495.4976509754392,2499.702230450173,2651.860345627873,3243.0432134338716,3554.066600170885,3604.461281150138
BF_BOF,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.60521405382289,5279.880754336053,13043.575499902501,19034.24566418078,19547.19511777281,53035.2312943936,71406.99530729577
DRI,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,natural_gas,19437.29038006126,16739.384747616354,23293.589420823384,21750.549357928703,14988.946194577009,4507.0730978931715,4507.0730978931715,4502.935054263855,3600.5162203813725,2972.405888639209,2251.100630795815,1776.451198673822,1502.5730409733949,1209.8221918127724
SMR_CCS,natural_gas,0.0,0.0,2126.238969247163,8435.472108211781,13936.726427847081,19535.116258372756,19535.116258372756,19535.116258372756,19520.280701818356,19239.695863745317,18474.706114187222,17461.759527469065,16280.187386807294,15591.856233572156
anaerobic_digestion,wet_biomass,984.4367421529059,1631.693918684461,7581.224412663583,9971.341761661672,9971.34176166167,9971.34176166167,9971.341761661672,9971.34176166167,9964.84399362774,9590.719732919173,8965.466614824843,8339.647842977209,7647.359098339523,7305.033745788859
biomass_to_coal_conversion,biomass_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185196,89165.89413770662,90613.20947038956,92004.2704908486,93386.5612938475,94377.89441859114
biomethane_DRI,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_SMR,biomethane,2264.218092260237,3752.918530485443,16078.786530680944,15580.633349285472,11127.476943144437,3829.7191793279817,3829.719179327982,3829.719179327982,3398.9979991976525,2819.0918746952134,2145.9908240915447,1719.545599209276,1450.4137857576625,1209.8221918127724
biomethane_SMR_CCS,biomethane,0.0,0.0,1358.1342399699229,7353.590307878314,11806.74671401935,19104.504477835802,19104.504477835802,19104.504477835802,19520.280701818356,19239.695863745317,18474.706114187222,17461.759527469065,16138.617674612002,15591.856233572156
biomethane_haber_bosch,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_conversion,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_evaporation,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquefication,carbon,0.0,0.0,294.6970158346726,3873.073119623224,8933.290891006542,14770.333899690488,19552.141487128763,24416.840247955566,26028.60299502875,26028.195391225203,27314.761561500378,32585.038865620776,35267.84629553844,35622.156532166795
carbon_liquefication,electricity,0.0,0.0,22.385185322801732,294.1986639715149,678.572776080857,1121.9545630204893,1485.180667362301,1854.7031852347047,1977.1326835023838,1977.1017219174664,2074.829288211569,2475.1595522325542,2678.9456046091,2705.8590101833897
carbon_storage,carbon_liquid,0.0,0.0,279.96216504293886,3679.4194428370633,8486.626346456214,14031.81720470604,18574.534412772326,23211.502497597445,28348.490235082558,33672.99652694686,39004.06166187582,44362.64228432383,69879.78408665562,82817.04000000001
