technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,0.0,0.0,0.0,369.99068186169774,880.9779452576045,1394.4442981792554,1980.532983624062,2568.4097456792592,2587.842730485708,2645.8086824082206,3064.229155979664,3447.8637127451343,3712.636498717259,3819.4221201821415
BF_BOF,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7919.009890034987,15502.295718125057,18557.544106260746,22106.79161629133,60221.10672239698,68029.87419071142
DRI,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,natural_gas,19638.131693816213,18909.387504177943,24284.4883035172,22694.467075599383,15991.621766374792,5223.509211302481,5229.08209861285,5175.569800264365,4585.27793060288,3999.1744301476083,3348.196277847399,2956.1761143991253,2765.0432766276767,2473.1419855861523
SMR_CCS,natural_gas,0.0,0.0,2665.3204691242154,8325.638014734155,13821.336123642344,20849.241630518947,20886.799241924477,20912.719248716625,20929.198063796135,20724.066746372937,20315.216959560872,19648.3045095714,18778.765603300606,18146.526212329547
