technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,0.0,0.0,0.0,0.0,0.0,103.53585596113469,144.8640392214769,232.24486230860322,378.69805253789985,534.0988383018209,627.0247778628163,752.8509268624756,1144.8222916622813,1461.46388976818
BF_BOF,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,144.79485343221353,517.2272931453308,1665.2268622183994,3482.8159929705885,6404.478455836949,9077.666968246376,28119.895859308137,67812.6186946204
DRI,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,natural_gas,17383.97239177056,8369.667403349269,8673.90031325236,11352.51569255231,6873.671723201327,1176.1066750146263,1176.1066750146263,1176.108580746391,1110.0064936177898,514.4535158971648,161.1523344639864,74.96189816271935,20.097905107957953,0.0
SMR_CCS,natural_gas,0.0,0.0,0.0,453.6147661644637,2120.8730384156875,3143.024358811751,3130.8907999959874,3113.92098020268,3102.5005283501123,2959.7655676692184,2606.3047041959435,2405.3803846176143,1902.9420723026499,1513.002749832576
anaerobic_digestion,wet_biomass,193.67783897325708,287.0473825273354,560.8134888632374,889.3027745501184,1355.089702568976,1396.9128102418213,1396.9128102418213,1396.9128102418213,1396.9128102418213,1396.9128102418213,1203.234971268564,1078.4032177072331,836.0993213785839,657.8233355722075
biomass_to_coal_conversion,biomass_cement,76804.00599905284,76202.18774521574,75534.4885150154,74761.36679630257,73547.49514561715,71919.04883788523,69466.47668385958,66506.45397107165,62797.80298055849,58706.83874458956,54473.40646852163,49712.23669915301,44994.51191299501,40045.43613594508
biomethane_DRI,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_SMR,biomethane,445.4617024087057,660.2129410905179,1289.8787636580278,1841.2566946573597,1483.6530139101928,736.3179651280584,736.3179651280584,736.3198708598233,712.544722178501,322.51531842249545,161.1523344639864,74.96189816271935,20.097905107957953,0.0
biomethane_SMR_CCS,biomethane,0.0,0.0,0.0,204.15195925983642,1633.0720023485492,2476.600775940577,2476.6007759405766,2476.598872946312,2500.3740188901343,2890.40342264614,2606.3047041959435,2405.380384617614,1902.9420723026499,1513.002749832576
biomethane_haber_bosch,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_conversion,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_evaporation,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquefication,carbon,0.0,0.0,0.0,62.871069461464124,293.95329707771134,1510.8878491043743,1887.705656817436,2687.268793346358,4024.731941831966,5423.880177367257,6224.668822241733,7348.247360077739,10866.04148980202,13709.988788279716
carbon_liquefication,electricity,0.0,0.0,0.0,4.7756864362928155,22.328692446022956,114.76704101796827,143.39012169185244,204.12495594273614,305.71863830155615,411.9979382728168,472.8258437374821,558.1728694715051,825.3845115653615,1041.4107483577272
carbon_storage,carbon_liquid,0.0,0.0,0.0,59.72751598839092,279.2556322238258,1435.3434566491796,1892.6309730384385,2907.6565627405166,4965.626251611701,7541.448852292151,10306.081784309992,13206.944023792907,29609.362089734514,59535.20175944214
carbon_storage,electricity,0.0,0.0,0.0,2.2523246279222215,10.53072989116047,54.12680175024057,71.37111399327952,109.64772898094489,187.25376594827728,284.388036219937,388.6423440863298,498.03385913723054,1116.5690444038885,2245.072458348563
cement_plant,coal_for_cement,115075.85678066837,109478.05847358718,103880.26016650598,98282.46185942477,92684.66355234357,87086.86524526235,81489.06693818115,75891.26863109994,70293.47032401874,64695.672016937526,59097.87370985632,53500.07540277511,47902.277095693906,42304.47878861263
cement_plant,electricity,20050.44712336292,19075.104752657782,18099.762381952645,17124.420011247505,16149.077640542364,15173.735269837225,14198.392899132084,13223.050528426946,12247.708157721805,11272.365787016666,10297.023416311527,9321.681045606387,8346.338674901246,7370.996304196095
cement_plant_oxy_combustion,electricity,0.0,0.0,0.0,0.0,0.0,173.0285483253966,241.915461083085,387.8640159322268,631.570395952202,889.8158963503141,1044.4755596068849,1254.0352147076264,1906.9478659073727,2434.3825814637926
cement_plant_oxy_combustion,oxygen,0.0,0.0,0.0,0.0,0.0,361.26839760247645,505.0982154481995,809.8259673310231,1318.6634640760265,1857.8573660061504,2180.7731464319572,2618.3152834554835,3981.5395002461632,5082.776818440886
e_haber_bosch,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_haber_bosch,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_haber_bosch,nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,electricity,1.8427547164842792,1.8427547164842792,77.0544690318842,502.15334359494454,1003.7394469141398,1522.3693614870235,2087.3164536725426,2311.106235891016,1646.3545649214273,1013.77433357301,409.3550655386071,139.7354061721107,76.0154329168367,29.979823719380935
gasification,dry_biomass,0.0,0.0,0.0,0.0,54.168880413440384,54.168880413440384,54.168880413440384,54.168880413440384,54.168880413440384,54.168880413440384,53.847661716194175,0.0,0.0,0.0
gasification,electricity,0.0,0.0,0.0,0.0,3.123383891406755,3.123383891406755,3.123383891406755,3.123383891406755,3.123383891406755,3.123383891406755,3.104862384280525,0.0,0.0,0.0
gasification_CCS,dry_biomass,0.0,0.0,0.0,0.0,0.0,654.3957063853987,654.3957063853987,654.3957063853989,654.3957063853987,654.3957063853987,654.3957063853987,654.3957063853987,654.3957063853987,654.3957063853987
gasification_CCS,electricity,0.0,0.0,0.0,0.0,0.0,62.07610085992064,62.07610085992064,62.07610085992064,62.07610085992064,62.07610085992064,62.07610085992064,62.07610085992064,62.07610085992064,62.07610085992064
h2_to_ng,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haber_bosch,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haber_bosch,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haber_bosch,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haber_bosch,nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_compressor_low,electricity,6.539980281936412,6.539980281936412,6.539980281936412,13.04865853860204,15.127511895622975,11.326096631764136,17.217230261980408,20.11854165729017,19.763832823205274,15.445251653097994,11.803732803597415,8.866635796528179,7.9750855897551,7.531306244455267
hydrogen_compressor_low,hydrogen,359.22115137517363,359.22115137517363,359.22115137517363,716.7229780622895,830.9095139722687,622.1093786400245,945.6913642610434,1105.0500745518054,1085.567001164741,848.360521426892,648.3430079972215,487.0172358853224,438.04710478716356,413.6716601370574
hydrogen_decompressor,hydrogen_low,357.42504561829776,357.42504561829776,357.42504561829776,713.1393631719783,826.7549664024065,618.9988317468244,940.9629074397383,1099.5248241790464,1080.1391661589173,844.1187188197574,645.1012929572354,484.58214970589574,435.85686926322774,411.60330183637205
hydrogen_for_cement_conversion,hydrogen,13385.055384597132,6444.033602490957,6726.428674537767,9408.524068951914,7597.629863732561,4736.250988676153,5086.856368115792,5216.219714238952,4731.18365952995,3759.0360628142016,2828.8013440634395,2402.5871907882947,1932.928054302517,1587.8581606753305
methanol_synthesis,carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanol_synthesis,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanol_synthesis,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refinery,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_BF_BOF,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_EAF,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
