technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,0.0,0.0,-0.0009869949248724088,977.7779054318122,2593.7051786756847,4409.783764040173,6230.877051302047,8083.538434853049,8698.144478826905,8712.799687870942,9243.152128364842,11303.740723018025,12387.823632523128,12563.476058383194
ASU,oxygen,0.0,0.0,-0.0010067235360376897,975.6267721398622,2587.999005382598,4400.08222002071,6217.169103247255,8065.754632361441,8679.008560973487,8693.631528557626,9222.81719368244,11278.872493427387,12360.570420531578,12535.83641105475
BF_BOF,steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.504262039659048,3621.3173898052487,8946.210905282922,13055.038178450464,13406.855361984095,36375.3301058941,48975.99129444155
DRI,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,carbon_methanol,3273.9718723634405,2819.542937969568,3923.5178915878305,3663.611821087937,2524.7031493522145,759.1608840872652,759.1608840872652,758.4638816664498,606.4625573330449,500.6651175327843,379.1701416698118,299.22129799791986,253.0898996788559,203.77962921309302
SMR,electricity,618.1258895022177,532.3297066886545,740.7601779317824,691.6899118214026,476.66395459769814,143.3295749156757,143.3295749156757,143.19798085862573,114.50013082447886,94.52557419018969,71.58732274726047,56.49298106200728,47.78337305936799,38.47359399543197
SMR,hydrogen,14966.72855937573,12889.339145003738,17936.081790115797,16747.939753544855,11541.500111324409,3470.4497558274984,3470.4497558274984,3467.2634590466278,2772.400262093919,2288.7548230070142,1733.3492190619968,1367.8687908476338,1156.9823985319126,931.5640192598539
SMR_CCS,carbon,0.0,0.0,294.6970158346726,1169.157603355756,1931.63221453182,2707.569820980285,2707.569820980285,2707.569820980285,2705.5136107856347,2666.624513339614,2560.596828023177,2420.202290709503,2256.436228247719,2161.033435006536
SMR_CCS,carbon_methanol,0.0,0.0,358.13873452130355,1420.8512540781758,2347.469705160198,3290.4494352190964,3290.4494352190964,3290.4494352190964,3287.950568663098,3240.6895127391144,3111.836422944833,2941.218061626132,2742.196805162159,2626.255910598221
SMR_CCS,electricity,0.0,0.0,26.195290296415344,103.92512029828944,171.70064129171735,240.67287297602536,240.67287297602536,240.67287297602533,240.49009873650087,237.0332900746324,227.6086069353935,215.1290925075114,200.57210917757504,192.09186088946987
