technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,0.0,0.0,0.0,1289.6154822645444,3070.6794885242402,4860.384471472634,6903.21709175344,8952.282139000556,9020.016488273643,9222.058844225237,10680.478061971642,12017.649748153133,12940.524568550922,13312.729592827262
ASU,oxygen,0.0,0.0,0.0,1286.7783282035623,3063.923993649487,4849.691603735395,6888.030014151583,8932.587118294754,9000.172451999442,9201.770314767942,10656.981010235304,11991.210918707196,12912.05541450011,13283.441587723042
BF_BOF,steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5431.4196776646,10632.575938357379,12728.08237740792,15162.408515974852,41303.914075718094,46659.72166715461
DRI,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,carbon_methanol,3307.8011149782833,3185.0531427881147,4090.422589046267,3822.6031206493917,2693.591484865239,879.8357126144742,880.7743967594986,871.7609099929389,772.3335237694463,673.6116166896046,563.9623745122958,497.93141220051484,465.737442644417,416.5702697674373
SMR,electricity,624.5128505078999,601.3380333583962,772.2717848119353,721.7074691786053,508.5500723425572,166.11298254161278,166.29020610819336,164.5884598066669,145.81656928767148,127.17787323099735,106.47609630792147,94.00945062345723,87.93122917126593,78.64846693209218
