carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76804.00599905284,78646.08367715118,80422.28037888628,82198.47708062141,83800.50980570161,85402.54253078184,87004.57525586203,88606.60798094224,90090.74950819007,91752.20923948122,93413.66897077234,95075.12870206349,96736.58843335464,98398.04816464576
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_for_cement,23155.24761947109,22526.654677716106,14967.488268760293,9979.041100612581,9632.994084577871,10487.596425853093,9489.86236077514,8557.273193147046,8228.342954316135,8020.726562923916,7813.11017153169,7605.493780139475,7420.810800624604,7250.205642187754
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,0.0,0.0,368.2730482269554,1528.1907592854789,2040.564875548176,3608.8755695922246,3630.1796332089493,3651.4836968256727,3584.0389669779142,3284.6367749703663,3305.887740692276,3327.16526511865,3349.436882262748,3095.977581001727
electricity,1217.1307231599937,655.576103966685,101.92090970212821,104.24383992884127,107.26519586713282,109.50945893849932,110.07215517046258,110.69217090303147,111.31218663560036,111.93220236816927,114.21789640909604,114.7805926410593,115.34328887302257,217.6505819049858
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,17948.470989676916,16117.304063599233,6617.438457585422,5793.206005053335,4563.579321659117,809.3507532016467,840.2782530755741,800.4829626772665,225.34916562862995,146.9283397637729,108.72971745582186,70.30416383927079,66.88353989699388,0.0
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,734.6306809456834,1213.9420382948113,8840.107965580044,10968.151184298127,10977.9248139507,10984.02109053011,10989.32671036662,10994.632330203132,10995.206562612786,10685.289295165108,10241.105300804926,9797.409241335869,9337.737599338803,8965.019339089786
