carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76804.00599905284,76202.18774521574,75534.4885150154,74761.36679630257,73547.49514561715,71919.04883788523,69466.47668385958,66506.45397107165,62797.80298055849,58706.83874458956,54473.40646852163,49712.23669915301,44994.51191299501,40045.43613594508
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_for_cement,24886.79539701839,26831.83712588049,21619.34297695281,14112.570994170293,11539.53854299385,10431.565418700975,6935.733886205767,4168.5949457893375,2764.483683930297,2229.7972095337727,1795.6658972712526,1385.2515128338139,974.8371283963754,671.1844919922215
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,0.0,0.0,0.0,0.0,54.168880413440384,708.5645867988392,708.5645867988392,708.5645867988392,708.5645867988392,708.5645867988392,708.243368101593,654.3957063853987,654.3957063853987,654.3957063853987
electricity,3462.0880213361065,2334.4592324461737,1101.0929750120647,481.93488937418,231.54046899084773,126.53116812008624,84.63615584435368,68.802907002646,64.53132208810439,62.903907765085556,59.579378033271254,56.61489591179743,53.428787270024536,48.94736650991593
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,16938.510689361854,7709.454462258751,7384.021549594331,9760.721804799578,5877.8197453582725,1106.2122927577418,1094.0787339419785,1077.1108016304354,999.5882808992671,261.30034249774815,0.0,0.0,0.0,0.0
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,193.67783897325708,287.0473825273354,560.8134888632374,889.3027745501184,1355.089702568976,1396.9128102418213,1396.9128102418213,1396.9128102418213,1396.9128102418213,1396.9128102418213,1203.234971268564,1078.4032177072331,836.0993213785839,657.8233355722075
