technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,electricity,4068.777193582659,4068.777193582659,3997.967358178867,3962.562440476969,3927.1575227750727,3891.752605073175,3856.347687371278,3820.9427696693806,3785.537851967483,3750.1329342655863,3714.7280165636885,3679.3230988617916,3643.918181159894,3608.5132634579973,3573.1083457561,3537.7034280542025,3502.298510352305,3466.893592650408,3431.488674948511,3397.1459358572074,3493.881216515944,3790.492103904488,3820.3391186904887,3784.6701893549016,3759.470237238114,3851.837404231437,6132.202269471118
BF_BOF,coal,96401.75980125544,93929.91980635107,91458.0798114471,88986.23981654312,86514.39982163915,84042.55982673517,81570.7198318312,79098.87983692723,76627.03984202325,74155.19984711928,71683.35985221529,69211.51985731132,66739.67986240734,64267.83986750337,61795.999872599394,59324.15987769542,56852.31988279144,54380.479887887464,51908.63989298349,49436.79989807952,46964.959903175535,44493.11990827156,42022.6643690028,39552.208829734045,37080.36883483007,34608.5288399261,15133.8835672783
BF_BOF,iron_ore,169321.03965092302,164979.47453166792,160637.90941241352,156296.34429315908,151954.77917390465,147613.21405465025,143271.64893539582,138930.0838161414,134588.51869688698,130246.95357763256,125905.38845837815,121563.82333912373,117222.25821986931,112880.6931006149,108539.12798136048,104197.56286210606,99855.99774285163,95514.43262359721,91172.8675043428,86831.30238508838,82489.73726583396,78148.17214657954,73809.03869940236,69469.90525222519,65128.34013297076,60786.775013716346,26581.308316886247
BF_BOF,limestone,33369.83993120381,32514.203009890756,31658.56608857784,30802.92916726493,29947.292245952012,29091.6553246391,28236.018403326187,27380.38148201327,26524.744560700357,25669.10763938744,24813.470718074528,23957.83379676161,23102.196875448695,22246.55995413578,21390.923032822866,20535.28611150995,19679.649190197037,18824.012268884122,17968.375347571207,17112.738426258293,16257.101504945378,15401.464583632463,14546.30689696251,13691.149210292555,12835.51228897964,11979.875367666726,5238.6520040578735
BF_BOF,scrap,15448.99996814991,15052.871763838311,14656.743559526778,14260.615355215243,13864.48715090371,13468.358946592174,13072.23074228064,12676.102537969105,12279.974333657572,11883.846129346037,11487.717925034502,11091.589720722968,10695.461516411433,10299.333312099898,9903.205107788364,9507.07690347683,9110.948699165294,8714.82049485376,8318.692290542225,7922.564086230691,7526.435881919157,7130.307677607621,6734.401341186346,6338.495004765071,5942.366800453537,5546.238596142002,2425.301853730497
BF_BOF_CCS,electricity,65.14491571871412,65.14491571871412,65.14491571871412,908.1305828449429,3008.2842863400742,6255.044351758774,11614.842784053286,13333.12757787632,15096.04179092119,16382.97615105317,17680.718724756338,20364.449442108737,20496.768964968116,20502.148114169293,20526.839411147677,20477.72850018086,20516.029302171377,20243.241798612777,19935.912594752397,19560.65157782411,18980.319790930313,18149.718792528307,17186.63276326982,16203.37367446116,15190.733716138595,14178.09375781603,6199.905841972833
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.583439809399458,4684.998952727771,20344.940749133577,23357.513368950415,23357.513368950415,23237.952104774533,26132.403569237817
DRI,iron_ore,31749.766509835496,30426.859571925685,30626.66496693369,30343.488251280454,33479.13939139945,40650.56537857159,41141.09714731961,40170.34258384987,37807.38125538812,35444.41992692636,33729.37462392653,32099.181936403955,37323.33980788648,46193.87734956496,54411.75160036998,67990.2569050217,89348.70087480736,99848.90811338511,107018.66003731641,106485.03338152613,105951.40672573588,105417.7800699456,104884.00725823887,104350.23444653215,103816.60779074187,103282.9811349516,104544.3275532513
DRI,natural_gas,59585.178244485796,57102.46248429889,57477.439732464605,56945.9984989784,62830.713652352395,76289.4172173193,77210.00423538065,75388.17717791005,70953.57852038593,66518.9798628618,63300.333198327884,60240.93048338825,70045.17196822532,86692.61913548493,102115.20505822862,127598.15336969825,167681.80849107684,187387.6768703255,200843.23870016917,199841.77497628878,198840.31125240846,197838.84752852804,196837.10951203734,195835.37149554666,194833.90777166624,193832.4440477859,196199.62842185522
EAF,direct_reduced_iron,52967.999890800704,56137.02552529348,59647.589649324225,62987.38452858578,66327.1794078473,69666.97428710878,73006.76916637033,76346.56404563185,79686.35892489333,83026.15380415486,86365.9486834164,89705.74356267788,93045.53844193942,96385.33332120096,99725.12820046247,103064.92307972397,106404.7179589855,109744.51283824701,113084.30771750852,116424.10259677004,119763.89747603156,123103.69235529307,126441.71229143252,129779.73222757198,133119.52710683347,136459.321986095,161597.58517015597
