technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,nitrogen,14181.865435979991,14181.865435979991,13935.055274237948,13811.65019336692,13688.245112495897,13564.84003162487,13441.434950753845,13318.02986988282,13194.624789011792,13071.219708140768,12947.814627269741,12824.409546398718,12701.00446552769,12577.599384656665,12454.19430378564,12330.789222914613,12207.384142043587,12083.979061172562,11960.573980301537,11840.871160185457,12178.045392827422,13211.89300768382,13315.925823250222,13191.600520581742,13103.765204733754,13425.714200876393,21374.005819000064
ASU,oxygen,14150.665332020835,14150.665332020835,13904.398152634625,13781.264562941513,13658.130973248406,13534.997383555296,13411.863793862187,13288.730204169078,13165.596614475966,13042.463024782859,12919.329435089749,12796.19584539664,12673.06225570353,12549.92866601042,12426.79507631731,12303.661486624202,12180.527896931093,12057.394307237983,11934.260717544874,11814.82124363305,12151.253671063201,13182.826843066918,13286.630786439073,13162.578999436462,13074.936921283339,13396.177629634467,21326.983006198265
BF_BOF,steel,123591.99974519928,120422.97411070649,117253.94847621422,114084.92284172194,110915.89720722967,107746.8715727374,104577.84593824513,101408.82030375284,98239.79466926058,95070.7690347683,91901.74340027601,88732.71776578375,85563.69213129146,82394.66649679918,79225.64086230691,76056.61522781463,72887.58959332235,69718.56395883008,66549.5383243378,63380.51268984553,60211.48705535325,57042.46142086097,53875.21072949077,50707.96003812057,47538.93440362829,44369.90876913602,19402.414829843976
BF_BOF_CCS,carbon,194.694906511399,194.694906511399,194.694906511399,2714.078251180343,8990.688243694185,18694.09549240518,34712.620394660145,39847.96048379055,45116.68198123488,48962.86954887379,52841.359010030894,60862.072451012355,61257.528287412184,61273.60464485741,61347.39812058481,61200.62313263855,61315.090562377096,60499.82605682241,59581.328735063944,58459.807465104925,56725.40284199137,54243.032852744494,51364.71238275499,48426.10183640514,45399.68235546502,42373.262874524895,18529.306162500994
BF_BOF_CCS,coal,34.9866747000984,34.9866747000984,34.9866747000984,487.71986173710764,1615.6266773918449,3359.328959985211,6237.857884920428,7160.678498937162,8107.4677520279065,8798.627657932619,9495.592214102551,10936.91441944692,11007.97783324797,11010.866754680877,11024.127442269091,10997.751976935147,11018.321774059164,10871.818742410986,10706.764773690991,10505.227401479355,10193.554890705847,9747.473003638186,9230.238815181072,8702.170500002003,8158.322919277063,7614.4753385521235,3329.7163174014286
DAC,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.37410137818893,3213.3051863451,13954.006000777492,16020.242365535267,16020.242365535267,15938.238754989392,17923.459238160365
DRI,direct_reduced_iron,21746.415417695545,20840.314775291565,20977.167785571022,20783.211131014014,22930.917391369487,27842.852999021638,28178.83366254768,27513.93335319834,25895.466613279532,24276.999949949564,23102.31138625105,21985.741052331476,25563.931375264714,31639.642020249972,37268.323013952046,46568.669113028554,61197.74032521052,68389.66309135966,73300.45208035372,72934.95437090831,72569.45666146293,72203.95895201754,71838.36113578004,71472.76331954257,71107.26561009717,70741.76790065177,71605.70380359679
EAF,steel,52967.999890800704,56137.02552529348,59647.589649324225,62987.38452858578,66327.1794078473,69666.97428710878,73006.76916637033,76346.56404563185,79686.35892489333,83026.15380415486,86365.9486834164,89705.74356267788,93045.53844193942,96385.33332120096,99725.12820046247,103064.92307972397,106404.7179589855,109744.51283824701,113084.30771750852,116424.10259677004,119763.89747603156,123103.69235529307,126441.71229143252,129779.73222757198,133119.52710683347,136459.321986095,161597.58517015597
SMR,carbon_methanol,78768.76266435428,77933.71462356487,79202.92461686536,79342.35334051153,79979.76932395172,80125.4118254026,79549.42989074723,77648.50039341855,75155.28206088432,72007.40146844383,68187.49336942597,68048.07418356907,67751.65497046913,67409.42795911156,67044.92185294989,66681.78080791894,66329.2002380476,66335.28844035094,66142.76571543136,65923.86766666868,65653.92777419723,64977.346391573315,63040.07462827758,55901.23373957946,44418.01771160144,31332.393860109398,22326.36278777148
SMR,electricity,14871.542391030089,14713.88532092905,14953.512167664183,14979.836310688579,15100.180448362087,15127.677752636013,15018.932363373078,14660.036874277424,14189.317253094961,13594.997397242196,12873.798748147623,12847.476405857842,12791.512458424573,12726.899998680265,12658.08124583694,12589.520216535098,12522.953004943389,12524.102457538256,12487.75416707344,12446.426215467047,12395.46156376844,12267.722998729043,11901.966089818807,10554.152930032604,8386.121743950353,5915.555960788654,4215.217294331255
SMR,hydrogen,360085.77217990527,356268.40970772516,362070.51253424166,362707.9009851956,365621.80262377934,366287.5969161262,363654.5366434159,354964.57322705624,343567.00370689976,329176.6924271718,311714.25540309015,311076.9105534586,309721.85129357316,308157.38495593856,306491.07132777094,304830.99797905807,303219.2010882176,303247.03287017567,302366.92898482905,301366.25219048536,300132.2412534731,297039.29779004946,288183.1983006975,255548.4970952204,203053.79525303515,143233.80050335723,102063.37274409819
SMR_CCS,carbon,374.48999999999995,374.48999999999995,397.36752093067764,678.7564176950344,705.9688826473082,758.1500765605726,1156.1415603785933,1736.3580221322234,2558.816929723197,3628.2653786287906,4960.693449514398,4977.416096001824,5013.70154554231,5100.464495030096,5189.576802648646,5294.257810330289,5255.291460118639,5581.810326805076,5842.875838394906,6030.849776267931,6077.9064937254625,6100.455626468281,6111.068848156509,6188.716830324642,6190.404420054563,7026.681861417033,7128.443873249871
SMR_CCS,carbon_methanol,455.10937499999994,455.10937499999994,482.91191779769855,824.8775909488265,857.9482948838815,921.362940264585,1405.0331462934294,2110.157318563466,3109.6733520941634,4409.350286528044,6028.620511562636,6048.94317222444,6093.0400727076685,6198.481157154632,6306.7773643299515,6433.993866720838,6386.638927227514,6783.450049936725,7100.717164716032,7329.1577142145,7386.344697235806,7413.748157166314,7426.646169634647,7521.010036852863,7523.060927149642,8539.37031769431,8663.03942929672
SMR_CCS,electricity,33.288,33.288,35.32155741606024,60.333903795114175,62.75278956864962,67.39111791649535,102.76813870031943,154.3429353006421,227.45039375317307,322.5124781003369,440.9505288457243,442.4369863112733,445.66235960376093,453.374621780453,461.29571579099076,470.60069425158133,467.13701867721244,496.160917938229,519.3667411906583,536.0755356682606,540.258354997819,542.2627223527361,543.2061198361342,550.1081626955237,550.2581706715167,624.5939432370697,633.6394553999886
SMR_CCS,hydrogen,2080.5,2080.5,2207.597338503765,3770.8689871946362,3922.049348040601,4211.944869780959,6423.008668769964,9646.43345629013,14215.649609573316,20157.02988127106,27559.408052857765,27652.31164445458,27853.897475235055,28335.913861278314,28830.98223693692,29412.54339072383,29196.063667325776,31010.05737113931,32460.421324416144,33504.72097926628,33766.147187363684,33891.420147046,33950.38248975838,34381.76016847023,34391.13566696979,39037.12145231685,39602.465962499286
anaerobic_digestion,biomethane,2245.6813760918085,2492.769869964056,2876.962386635897,3356.524160895634,3889.7944574054445,4689.584648781562,7164.95967268501,13709.731880538522,40980.66537098262,72044.30658567554,94509.23688663091,101501.5207175095,127701.90797507745,139561.01974001632,152528.89851265377,165721.69795515097,199022.59789128345,227606.4293434334,252707.20163385372,280025.5676515907,289754.38612419186,330836.1335724772,347931.98548543255,365847.1152897751,370781.6842100552,371697.78432424134,372327.6765969172
biomass_to_coal_conversion,coal_for_cement,76804.00599905284,77619.23668508868,78391.01827520735,79151.58392510298,79912.14957499862,80672.71522489427,81433.28087478991,82106.7645363581,82780.24819792628,83453.73185949448,84127.21552106267,84800.69918263085,85474.18284419904,86084.695019322,86675.59604016533,87266.49706100865,87857.39808185198,88548.54348335142,89239.68888485085,89930.83428635029,90621.97968784973,91313.12508934917,92004.2704908486,92695.41589234806,93386.5612938475,93884.0792907116,94377.89441859114
biomethane_DRI,natural_gas,0.0,0.0,26.95818749192547,133.83438873276415,273.34762339765615,401.86729023598696,1109.3036439181235,3381.32361583004,9134.693798747905,11575.065948139276,19133.625286633258,18092.631848556568,23626.07540798766,31221.34471417486,39423.23343787407,44988.757068405874,69521.30992756912,89698.59150320772,95600.9273434892,107166.473922847,109834.87128845732,125935.92108316872,128229.54574392118,150070.09011308572,170253.2375950457,173730.0145168826,187874.35034138503
biomethane_SMR,natural_gas,2110.1118776716594,2357.2003715439073,2643.3530212591836,2997.756466579929,3310.371852003264,3922.5634753112677,5631.425934772046,9712.358386507312,31046.293548948233,58981.338889141385,73253.86388237975,81070.12410199399,96973.57308900601,99347.50731294493,103792.59174347002,111208.05410485737,120406.53330753343,127306.5697203785,145760.33086667644,152329.0942509247,156756.5071583961,181503.37889429042,198233.62216938034,184996.0298764734,169749.99796813028,154366.27840606894,132549.70218276032
biomethane_SMR_CCS,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.9479137981594,1140.292669968205,1140.292669968205,6074.227253813357,8023.37439456869,8403.518918924441,8403.518918924441,8125.42501543964,9632.676334436788,10655.987847995011,19629.426935527248,22353.6372558684,22523.863189446427,20607.858961639922,29985.225525444752,30180.088369545283,43085.64802360448,51431.72254549781
biomethane_haber_bosch,natural_gas,135.5694984201488,135.5694984201488,206.65117788478784,224.9333055829405,306.0749820045248,365.15388323430716,424.2300939948412,616.049878201169,799.6780232864882,875.9538345967209,981.4550476497052,1198.472096990722,1028.0322242704233,968.7933183278323,909.5544123852411,1121.3678629633007,969.3296407412804,968.5917854103998,689.9555756930964,900.5725422917252,809.3704214700822,872.9704055716547,860.9586104910808,795.7697747712053,598.3602773339408,515.8433776852924,471.90152727409446
