carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76804.00599905284,77619.23668508868,78391.01827520735,79151.58392510298,79912.14957499862,80672.71522489427,81433.28087478991,82106.7645363581,82780.24819792628,83453.73185949448,84127.21552106267,84800.69918263085,85474.18284419904,86084.695019322,86675.59604016533,87266.49706100865,87857.39808185198,88548.54348335142,89239.68888485085,89930.83428635029,90621.97968784973,91313.12508934917,92004.2704908486,92695.41589234806,93386.5612938475,93884.0792907116,94377.89441859114
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,66005.00561308411,65478.62419189276,64433.1955499742,63053.463631868435,59265.72752810965,52816.66624041268,48618.984969027224,47365.563985163746,46793.81340749617,46477.69217701467,45827.37050254065,44389.68368885575,40848.13278064315,35526.591326480164,30525.480048111425,22846.972744687755,11178.263595108096,5180.117124364926,888.5605857883326,537.9396075485729,297.45376787068284,191.37730448694953,156.7624014824845,132.98162519997342,124.67085547351692,116.36008574706166,50.88283289126669
coal_for_cement,32991.490528623566,35643.64917742743,35636.74762841188,35924.27285556538,35140.4648520752,34354.768826080515,33642.57590587845,32968.7419319314,32293.50670846887,31566.355666055522,30940.240132162417,27703.076300294513,24601.222557434055,21477.413402880862,17917.196832804668,14595.610123710421,11289.208915724266,9482.551706165683,7454.538192971498,7152.508775803071,6896.852790686981,6766.877581367349,6649.4401141394355,6533.878291640867,6418.316469142297,6302.754646643728,6187.192824145158
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,272.1795529098912,601.0177488652836,1667.3283905847127,2368.6753906774675,3442.0395109999718,8122.420477285538,15191.81984864021,18883.637626078606,24499.276968465827,32921.94616509858,43396.945965541716,43414.51453891668,43877.216546863616,44434.429811977665,45798.153883700084,46905.378598478,50001.837011546566,53961.96370339494,60136.772896874805,64928.95495919818,71241.89585758142,80038.4032236634,90880.47754045221,144457.82105946334,215443.6951832875,259350.02408002538,270790.9771303163
electricity,4200.957031009806,4130.359018327693,3681.7203015037503,2248.0152142480897,1908.560150598675,1020.8970752323281,1261.0113848581798,1388.4175319233636,1606.2968260194398,1777.3837503119817,2797.011140819446,2822.273424057647,2991.7197886052354,3270.959598574638,3705.96050009603,4162.223311914753,4497.658162073722,4672.049690468452,4846.931654920425,5036.581736381097,5323.347954597135,5548.936466438336,5786.828408675462,6044.941828608945,6295.944339371436,6555.085308342218,8955.285833717524
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,143629.62437851564,141645.74962296998,140202.6059719392,138500.5367983414,136938.9673996383,135543.25176177293,133872.97882726009,132611.65302977935,131293.11325565507,129974.57348153087,128682.66039338452,127394.23439902483,126387.49404407645,125530.60490845113,124646.8939937488,123983.48298536894,123639.79548377542,122849.87907541993,121923.09464043511,120679.73300354395,119436.3713666528,118193.00972976163,116949.89945321564,115706.78917666964,114463.42753977847,113220.0659028873,108889.69237854317
limestone,28446.31006415442,27906.152911551588,27281.825939371443,26676.703817599377,25790.5821460378,24572.75295280062,23904.038352858584,23395.629478852246,23001.64855813292,22607.667637413608,22160.43334473851,21706.224864489937,20688.645105419037,19371.362907701892,18107.724268138725,16403.485815930624,14059.800350149873,12608.572697893062,11431.081098894858,10886.743903709388,10342.406708523918,9798.069513338449,9254.037196583173,8710.004879827895,8165.667684642425,7621.3304894569565,3332.7139904926403
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,532010.0450276969,524178.16175236774,531722.3690133586,533423.713225289,542610.1300230803,556364.5477064939,554116.0628284977,538500.9246569597,497778.2648024932,451158.2530412073,412260.5324550428,401352.63485847495,383309.3279544254,386542.7404156745,387327.2061674072,397872.03090981074,401433.1725218946,394699.00834190595,383457.67148972675,354726.54537327366,342484.9875238914,296396.5173958458,266527.9240044895,203038.44310818778,128393.52982019758,54542.98987535716,83.5064820017706
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,87699.99999999997,88749.99999999997,89799.99999999997,90849.99999999997,91899.99999999997,92949.99999999997,93999.99999999997,94714.99999999997,95429.99999999997,96144.99999999997,96859.99999999997,97574.99999999997,98289.99999999996,99004.99999999997,99719.99999999997,100434.99999999997,101149.99999999997,101864.99999999997,102579.99999999997,103294.99999999997,104009.99999999997,104724.99999999996,105439.99999999996,106154.99999999997,106869.99999999997,107584.99999999996,108299.99999999997
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,976.3773486971963,1083.8064840629722,1250.8457064615552,1459.3495746742037,1691.2048341907393,2038.9376135972475,3115.1811664899888,5960.717227020538,17817.573689995825,31323.42361732001,41090.72601356939,44130.83117755878,55522.23554940418,60678.34016256429,66316.5144953316,72052.47983694055,86531.04511117222,98958.72334993798,109872.03712636692,121749.5163035586,125979.41199907615,143840.93415464164,151273.86864935636,159063.0087856884,161208.4606608478,161606.76266849364,161880.62723080767
