technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,electricity,4068.777193582659,4068.777193582659,3997.967358178867,3962.562440476969,3927.1575227750727,3891.752605073175,3856.347687371278,3820.9427696693806,3785.537851967483,3750.1329342655863,3714.7280165636885,3679.3230988617916,3643.918181159894,3608.5132634579973,3573.1083457561,3537.7034280542025,3502.298510352305,3466.893592650408,3431.488674948511,3459.593378061599,3434.7806658283234,3399.5375137000397,3429.456404763622,3393.8956579820924,3358.8029517992372,3326.5096274015477,3299.297378422952
BF_BOF,coal,96401.75980125504,93932.26843644655,91462.92627992507,88993.50951926007,86524.09275859507,84054.67599793007,81585.25923726507,79115.84247660008,76646.42571593508,74177.00895527008,71764.87680675155,69821.921670265,68195.22939252446,66607.73431555976,65170.773633730554,63894.99931346765,63280.455423653766,63368.03324022935,63488.84180839579,63663.21787456241,63718.84334202176,63497.38877451489,62933.62727398903,62130.55421397987,60897.93480857877,59474.660391060985,57186.97096801099
BF_BOF,iron_ore,169321.03965092232,164983.59968965614,160646.4217993556,156309.1128735722,151971.80394778878,147634.4950220054,143297.186096222,138959.87717043862,134622.5682446552,130285.2593188718,126048.56567339697,122635.93934392698,119778.80034328013,116990.50770809855,114466.61522847546,112225.83212750088,111146.44093641751,111300.26351168488,111512.45291987466,111818.72883096218,111916.42997252541,111527.46489882744,110537.26841713458,109126.74265788773,106961.75729199093,104461.90350737635,100443.78234125007
BF_BOF,limestone,33369.83993120367,32515.0159972315,31660.243712281757,30805.445602820797,29950.647493359837,29095.849383898872,28241.051274437912,27386.253164976948,26531.455055515988,25676.656946055027,24841.688551453964,24169.126732014807,23606.04094356616,23056.52341692453,22559.1139501375,22117.499762354186,21904.773031264765,21935.08842931016,21976.90677982931,22037.267725810067,22056.522695315223,21979.865345024384,21784.717133303897,21506.730304839188,21080.05435681573,20587.38244305957,19795.489950465344
BF_BOF,scrap,15448.999968149847,15053.248146866435,14657.52023716748,14261.780371676294,13866.040506185107,13470.300640693922,13074.560775202735,12678.82090971155,12283.081044220364,11887.341178729179,11500.781539543517,11189.410524080928,10928.722659058407,10674.31639672432,10444.034236174768,10239.583223312124,10141.098625585539,10155.133532088035,10174.493879550606,10202.438761949103,10211.353099682974,10175.863585659437,10085.517191344396,9956.819585573698,9759.284424451725,9531.195575490541,9164.578680770992
BF_BOF_CCS,electricity,5.70071471294018,5.70071471294018,0.0,4028.118089273801,5819.993789206095,7643.686871943697,9212.174699684,9513.984018424495,9882.984947968234,10195.82039574442,11002.659917294777,11994.343180855316,12331.385596606879,12758.900952391781,14836.561058148976,15531.03187228797,17208.199264053732,18216.793806897334,19703.172049168727,19906.464827870237,20076.847340685144,20034.22942553086,20027.661962895505,20095.965944693897,20110.1561955855,20345.939809220927,20795.074117135282
DAC,electricity,0.0,3.808695652115883e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009347552317205516,0.0,0.003271643311165945,170.92763661484025,307.352752526979,520.1167319354947,662.6018762735926,718.6977499729725,771.8796326711677,831.3499580077929,884.5273597705935,3102.469832186656,3155.651714884851,7714.847820346317,26522.022602322606,26575.320127973984,26643.285556933064,26702.522053864654
DRI,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.59882557581352,2551.2637224139294,3947.8426934969507,5673.493698180843,7425.300938305674,8986.354084859298,10283.412902052738,10497.494956555644,9557.658855093398,8563.396747019166,7511.0132545903,6593.896803252897,6160.200279566698,6287.14107245967,6806.031246429468,8028.441236089248,9563.109915465813,12754.269772076424
DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.32930279296517,4787.988081790526,7408.9650549189355,10647.515570558571,13935.153815724349,16864.801501722246,19299.00777508528,19700.778206138675,17936.97620750405,16071.032251255148,14096.011176422893,12374.847425282836,11560.923812337502,11799.155163383217,12772.962750148457,15067.074648551057,17947.20627970982,23936.095325677674
EAF,direct_reduced_iron,52967.999890801206,56134.0144610685,59641.37622819861,62978.06439689739,66314.7525655961,69651.4407342948,72988.12890299356,76324.81707169229,79661.50524039098,82998.19340908974,86261.43976734427,88923.1771358142,91179.44930076363,93385.46864420558,95398.49517337124,97204.87252104162,98163.51854762353,98222.00854037282,98237.89500544147,98185.10519102274,98284.55973392102,98739.24509087855,99632.78549016813,100833.13558110296,102584.18611484797,104579.66615130666,107683.37055383202
EAF,electricity,44493.11990827301,47152.57214729754,50098.75603168683,52901.5740933938,55704.39215510073,58507.21021680763,61310.02827851459,64112.84634022152,66915.66440192841,69718.48246363537,72459.60940456919,74695.46879408392,76590.73741264145,78443.79366113269,80134.73594563184,81652.09291767496,82457.35558000377,82506.48717391316,82519.83180457083,82475.4883604591,82559.03017649366,82940.96587633798,83691.53981174123,84699.8338881265,86170.71633647228,87846.9195670976,90454.0312652189
