technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,nitrogen,14181.865435979991,14181.865435979991,13935.055274237948,13811.65019336692,13688.245112495897,13564.84003162487,13441.434950753845,13318.02986988282,13194.624789011792,13071.219708140768,12947.814627269741,12824.409546398718,12701.00446552769,12577.599384656665,12454.19430378564,12330.789222914613,12207.384142043587,12083.979061172562,11960.573980301537,12058.533907499475,11972.048329830337,11849.207088532728,11953.490431382439,11829.542202795721,11707.22534611097,11594.665832699713,11499.816585649885
ASU,oxygen,14150.665332020835,14150.665332020835,13904.398152634625,13781.264562941513,13658.130973248406,13534.997383555296,13411.863793862187,13288.730204169078,13165.596614475966,13042.463024782859,12919.329435089749,12796.19584539664,12673.06225570353,12549.92866601042,12426.79507631731,12303.661486624202,12180.527896931093,12057.394307237983,11934.260717544874,12032.005132902977,11945.70982350471,11823.138832937957,11927.192752433397,11803.517209949572,11681.469450349527,11569.157567867775,11474.516989161457
BF_BOF,steel,123591.99974519877,120425.98517493148,117260.16189733984,114094.24297341035,110928.32404948086,107762.40512555138,104596.48620162188,101430.5672776924,98264.64835376291,95098.72942983343,92006.25231634814,89515.28419264742,87429.78127246725,85394.53117379456,83552.27388939814,81916.66578649699,81128.78900468431,81241.06825670428,81395.95103640485,81619.51009559282,81690.82479746379,81406.9086852755,80684.13753075516,79654.55668458958,78074.2753956138,76249.56460392433,73316.62944616794
BF_BOF_CCS,carbon,17.037402011178063,17.037402011178063,0.0,12038.607559096836,17393.884606115047,22844.252456496404,27531.90286815301,28433.903223025984,29536.715325667163,30471.6688456199,32883.02425969748,35846.81105185879,36854.11374030662,38131.802979657245,44341.18666511947,46416.7121108427,51429.164621975055,54443.496135377565,58885.750296379934,59493.31986811189,60002.53239893946,59875.162658490306,59855.53485623283,60059.67108396263,60102.080680171835,60806.753763362,62149.05593883826
BF_BOF_CCS,coal,3.061621141408698,3.061621141408698,0.0,2163.337778369701,3125.6810637188737,4105.112166432404,4947.482945407096,5109.572409177769,5307.747744022389,5475.758891557896,5909.079459467636,6441.672054990137,6622.6837767790075,6852.284821114175,7968.11124372197,8341.083166318434,9241.821302302616,9783.496255527349,10581.769328259474,10690.949580299706,10782.45507208942,10759.566729730708,10756.03961366504,10792.722893788085,10800.34389822688,10926.97365127615,11168.185352209235
DAC,carbon_liquid,0.0,5.394721407624755e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002243925453474585,117.23355733402104,210.80435753068613,356.7330123014367,454.45944874732004,492.9339848922994,529.4098989514182,570.1988738050707,606.6717145202974,2127.8942607590234,2164.370174818142,5291.390823282797,18190.687655913996,18227.242886127562,18273.85840667563,18314.487005394138
DRI,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.60193532589966,1747.4409057629655,2704.001844860925,3885.954587795098,5085.822560483339,6155.037044424178,7043.433494556671,7190.065038736742,6546.34168157082,5865.3402376843605,5144.529626431712,4516.367673460889,4219.31525997719,4306.26100853402,4661.665237280458,5498.932353485787,6550.075284565626,8735.801213750976
EAF,steel,52967.999890801206,56134.0144610685,59641.37622819861,62978.06439689739,66314.7525655961,69651.4407342948,72988.12890299356,76324.81707169229,79661.50524039098,82998.19340908974,86261.43976734427,88923.1771358142,91179.44930076363,93385.46864420558,95398.49517337124,97204.87252104162,98163.51854762353,98222.00854037282,98237.89500544147,98185.10519102274,98284.55973392102,98739.24509087855,99632.78549016813,100833.13558110296,102584.18611484797,104579.66615130666,107683.37055383202
SMR,carbon_methanol,59634.28594835758,57321.90221132291,57689.92558224254,56771.64694784866,56805.25632774938,56778.44727080146,55769.45652020859,54248.87886358986,52695.987654723045,50698.005092938634,48162.24529938595,48005.94217909756,47661.93351705535,47337.6386837765,47014.76774488855,46733.23708447785,46651.31958839635,46961.628513521944,47166.56690494302,47181.96978708037,47714.20531641001,48006.92119922921,48088.353655026825,48132.58758358709,47504.792050594086,46555.34600038021,45549.137311298306
SMR,electricity,11258.953187049912,10822.375137497766,10891.857949927393,10718.48694375383,10724.832394679084,10719.770844727316,10529.273391015382,10242.188329445766,9949.002469211711,9571.783361546815,9093.031912524068,9063.521883413621,8998.573048020051,8937.346183497004,8876.388150234958,8823.235161549419,8807.769138289232,8866.355463352944,8905.047831653243,8907.955895800775,9008.44196373821,9063.706722414476,9079.081170069065,9087.432535781243,8968.904739152164,8789.649324871785,8599.677124373122
