carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185198,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,65948.31681272782,58747.724206337414,52399.51164516382,49599.461059028356,48746.1515221388,43902.29333891456,32936.08455103046,5565.04972972257,816.270286954543,329.7332109068548,172.5830868087267,123.1828533368716,107.78715241861102,41.22951117081116
coal_for_cement,34050.76943658303,35334.83840497612,34849.976534090325,33642.57590587845,32233.571214352814,30168.337133179783,23348.68209548958,14650.316896165255,7991.904289045356,7173.547621507344,6893.101501228292,6649.4401141394355,6418.316469142297,6187.192824145158
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,332.90973872947063,1858.5749018953202,6678.415739503073,18338.19160489081,31163.870918609933,39363.672868194844,40331.754389945505,43942.43753733757,51945.20192502377,59950.331520682696,72626.8184133525,91579.41875236222,231738.04278937556,261245.4778422294
electricity,4623.709154408868,4081.8092169109486,1465.6086257426816,1804.1911107654303,2243.9030786017365,3250.2914552180328,3743.3837330416786,4518.964071083881,4851.835762500563,5359.708949301249,5773.521079907951,6192.615552449362,6715.610102652662,9336.500889781688
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,141757.56890447185,138859.73298496695,135544.61760077017,132064.62181944202,129521.73318289673,127318.96201742181,125615.8518244898,125333.52060146193,123232.87994863566,120812.35242315583,118392.29054271545,115972.22866227505,113551.70113679521,108368.40932467704
limestone,26707.570923545438,24697.40305751446,23521.794120867376,22675.945978482923,21912.283546532643,20468.386172441853,18025.166853265135,12740.389594280125,11092.231194891901,10083.84654081082,9076.02667402167,8068.206807232518,7059.822153151437,2700.442583331863
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,524167.415229021,546390.6376942983,548964.7838886298,520981.6100460455,437768.31976096873,397451.8609958189,396384.0709297629,428396.6970666983,380069.92766176746,347947.88719754905,304089.79336533335,264336.7364827149,124716.14547247147,84.02289171137167
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,87699.99999999997,89799.99999999997,91899.99999999997,93999.99999999997,95429.99999999997,96859.99999999997,98289.99999999996,99719.99999999997,101149.99999999997,102579.99999999997,104009.99999999996,105439.99999999996,106869.99999999997,108299.99999999996
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,975.4603087241524,1438.8671862469002,2220.69424011126,11084.150956984322,35615.77093504036,50339.05625887862,63003.97592849306,89771.63993405527,112815.75314635586,126141.80858955385,142730.54682425124,153200.35127328144,161100.21698562763,161686.8817455774
