technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,14181.865435979991,13935.055274237948,13688.245112495897,13441.434950753845,13194.624789011792,12947.814627269741,12701.00446552769,12454.19430378564,12207.384142043587,11975.383023321323,13015.919067774645,13677.305387350787,13414.571481911953,21980.72139486733
ASU,oxygen,14150.665332020835,13904.398152634625,13658.130973248406,13411.863793862187,13165.596614475966,12919.329435089749,12673.06225570353,12426.79507631731,12180.527896931093,11949.037180670017,12987.284045825541,13647.215315498615,13385.059424651747,21932.36380779862
BF_BOF,steel,120422.97411070649,114084.92284172194,107746.8715727374,101408.82030375284,95070.7690347683,88732.71776578375,82394.66649679918,76056.61522781463,69718.56395883008,63380.51268984553,57042.46142086097,50707.96003812057,44369.90876913601,17548.535279531752
BF_BOF_CCS,carbon,67.71996748222567,67.71996748222567,19909.392756800036,35935.94166809325,44575.96454073344,53638.57823277011,61483.22251698626,61512.44932264053,60761.041999386995,58583.3955809847,54254.18142624137,48426.10183640514,42373.26287452489,16758.851191952825
BF_BOF_CCS,coal,12.169278156555954,12.169278156555954,3577.7178783969666,6457.688717756357,8010.300827969799,9638.852508428788,11048.53508630243,11053.787143278503,10918.759247289843,10527.43618590295,9749.476402295573,8702.170500002003,7614.475338552123,3011.565559193922
DAC,carbon_liquid,0.0,0.0,0.0,0.0,0.0,-0.0030687333656330513,0.0,0.0,0.38678285785430916,16.136566499459608,27.15450761236257,15701.931079121801,15905.439124977967,17558.75124570223
DRI,direct_reduced_iron,21930.675412187888,21545.50236898705,29742.349698327922,27498.523043449186,24276.999949949564,22721.27744491,24453.79617273895,56132.908576052025,74210.18054502987,73479.18512613907,72748.1897072483,72016.99407477333,71285.99865588253,71710.26261023441
EAF,steel,56137.02552529348,62816.6152838165,69496.20504233957,76175.79480086261,82855.3845593856,89534.97431790868,96214.5640764317,102894.15383495473,109573.74359347777,116253.3333520008,122932.92311052384,129608.96298280272,136288.55274132575,163451.4647204682
SMR,carbon_methanol,78488.59170928955,78994.60787262123,79927.5570703183,78849.20726972698,73934.76540041679,69763.05018980957,69196.15149022531,68575.21580418211,67613.59462416804,67204.35853891016,66442.53190200588,63640.43026263764,39027.72031628075,17685.81860706689
SMR,electricity,14818.646114713867,14914.181966350889,15090.322774876096,14886.730332524454,13958.88370759869,13171.263875836048,13064.23340135454,12947.000743829583,12765.446665042926,12688.182901734674,12544.350025069754,12015.31324317442,7368.433595713806,3339.0825530142292
SMR,hydrogen,358804.99067103793,361118.20741769706,365383.1180357408,360453.5189473233,337987.4989733339,318916.8008677009,316325.2639553157,313486.70081911824,309090.71854683326,307219.9247102834,303737.28865586384,290927.68116160895,178412.43573156913,80849.45648944864
SMR_CCS,carbon,374.48999999999995,658.1325493271164,728.4583594069447,1677.0782427699012,3456.665837225078,4963.712262116693,5032.8727323578105,5389.711559590903,5497.2628720654675,6400.556338014596,6700.82979691839,6985.150627212098,10783.872252971125,10844.509349173957
SMR_CCS,carbon_methanol,455.10937499999994,799.8138620294817,885.2792562237175,2038.115920032866,4200.809177183255,6032.289207433481,6116.3383900181725,6549.996687002834,6680.701407024007,7778.45388300385,8143.369544866098,8488.898331681368,13105.400307430187,13179.091222954461
SMR_CCS,electricity,33.288,58.500671051299236,64.7518541695062,149.0736215795468,307.2591855311181,441.218867743706,447.3664650984721,479.0854719636358,488.64558862804165,568.9383411568531,595.6293152816347,620.9022779744088,958.5664224863223,963.9563865932406
SMR_CCS,hydrogen,2080.5,3656.2919407062027,4046.9908855941376,9317.101348721673,19203.699095694876,27576.179233981627,27960.404068654505,29942.84199772724,30540.3492892526,35558.64632230331,37226.83220510217,38806.392373400544,59910.40140539514,60247.27416207754
anaerobic_digestion,biomethane,1560.6097778775966,2529.683726648402,4476.559222519914,10698.29291626825,43631.821575508664,94945.2884211048,134699.32886791963,176413.60963298075,227905.93066930794,281448.62096497306,309395.5720246501,349385.8045005587,370107.68300147913,371816.7607060684
biomass_to_coal_conversion,coal_for_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185198,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane_DRI,natural_gas,0.0,53.850138650949525,612.6043496383601,2631.750184101011,8764.198409209794,16619.851898609475,24220.18423500926,57075.9203448504,88561.85857078031,100613.81457672281,109349.40535534224,125556.05486067827,166129.22174262995,188243.51032309918
