technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,4068.777193582659,3997.967358178867,3927.1575227750727,3856.347687371278,3785.537851967483,3714.7280165636885,3643.918181159894,3573.1083457561,3502.298510352305,3435.7586329631,3703.716667928065,3916.48294900282,3841.094527736499,6313.478533742796
BF_BOF,coal,94399.56940538279,89431.1710156258,84462.77262586882,79494.37423611182,74525.97584635484,69557.57745659785,64589.17906684086,59620.78067708386,54652.38228732687,49683.98389756989,44715.585507812895,39749.9698738827,34781.57148412571,13679.826998752866
BF_BOF,iron_ore,165804.3719043262,157077.82601462482,148351.28012492345,139624.73423522204,130898.18834552067,122171.6424558193,113445.0965661179,104718.55067641653,95992.00478671516,87265.45889701378,78538.9130073124,69817.25477848628,61090.7088887849,24027.388446527468
BF_BOF,limestone,32676.7740249402,30956.94381310124,29237.113601262285,27517.283389423326,25797.453177584368,24077.622965745406,22357.79275390645,20637.962542067493,18918.132330228535,17198.302118389576,15478.471906550618,13759.604956344012,12039.774744505054,4735.32473033753
BF_BOF,scrap,15128.136122657499,14331.918431991315,13535.70074132513,12739.483050658946,11943.265359992762,11147.047669326577,10350.829978660393,9554.612287994209,8758.394597328024,7962.176906661841,7165.959215995656,6370.187479788894,5573.96978912271,2192.2799677488565
BF_BOF_CCS,electricity,22.77239662515187,22.77239662515187,6259.495965485521,11913.962618882415,14914.91050696269,17937.15610935335,20578.058857459382,20630.805664280713,20384.33422544442,19671.317685498463,18238.95891996325,16284.390542833458,14248.984226605104,5604.221741874982
DAC,electricity,0.0,0.0,0.0898011918891333,0.0,0.0,-0.004477126698810076,0.0,0.0,0.4917297390250911,23.45580481856079,39.57653850642881,22617.28803441098,23190.130244217875,25668.545905867562
DRI,iron_ore,32178.880032303343,30495.205692536903,43640.93673842487,40348.58274927424,35621.64202656103,32877.26870469246,35344.38425230939,81654.42222150958,108318.15906859048,107253.51525947839,106188.87145036632,105123.93386786216,104059.29005875006,104697.83133959843
DRI,natural_gas,60390.50088254189,57230.72849147337,81901.48401594804,75722.68269384344,66851.57476217618,61701.17551428587,66331.2416789916,153241.86088146322,203282.02455338216,201283.9943910759,199285.96422876968,197287.38273831666,195289.35257601042,196487.71087020528
EAF,direct_reduced_iron,55534.910654739986,62246.19066960794,68957.47068447593,75668.75069934389,82380.03071421181,89091.3107290798,95802.59074394775,102513.87075881571,109225.15077368366,115936.4307885516,122647.71080341957,129355.42318261214,136066.7031974801,163461.7602580091
EAF,electricity,46649.32494998159,52286.80016247066,57924.27537495978,63561.75058744886,69199.2257999379,74836.70101242703,80474.17622491611,86111.65143740519,91749.12664989427,97386.60186238334,103024.07707487243,108658.5554733942,114296.03068588328,137307.87861672766
SMR,natural_gas,465981.07052871963,468987.8869882424,475188.8548691219,468794.4795334247,439767.4440529498,415207.2452044319,411894.0367836837,408659.5474042115,402983.09074636264,400546.4194413375,396012.3322813441,379604.27773029305,233103.560125186,106037.62632837848
SMR_CCS,natural_gas,2701.94535,4748.4263433951455,5255.827063121106,11684.087987187013,24427.03999018693,35242.36977202904,35685.72947617181,37856.79214663007,38613.29284733881,45093.756686195185,47535.62919119424,49518.47968294791,76816.63977998131,77240.7411046851
anaerobic_digestion,wet_biomass,629.9690535154047,1051.3030249619756,1946.3184187672082,4649.763156245338,17539.309128382225,41012.87443570686,58559.878072040905,75861.31935915144,99044.64844165833,122282.24122735775,133899.1002902993,152065.26423586186,160915.41841538312,161679.67763018442
biomass_to_coal_conversion,biomass_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185198,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane_DRI,biomethane,0.0,53.85013865094971,724.1749026041039,2751.725586977075,8634.233946915887,15819.761906565274,20943.818539617987,50657.49705210143,83610.67318923151,96389.73663335879,112707.63804709152,126746.83396556735,168543.0821029186,188255.17205260647
biomethane_SMR,biomethane,1313.3680182903822,1978.8583590919623,3322.274375962526,7362.056363644517,30942.94833237515,77185.33510044208,105442.89342413274,114488.95799158532,133497.57659992846,164958.2721877792,172362.20979345104,199857.28844703344,158492.9037933347,106037.62632837848
biomethane_SMR_CCS,biomethane,0.0,0.0,0.0,0.0,0.0,370.1341751930363,6838.155183528953,8310.579564102492,9858.860321616627,19012.011475537227,22099.337604451015,22399.36295913063,42656.87447879692,77240.74110468512
biomethane_haber_bosch,biomethane,135.5694984201488,385.3029677384247,430.1099439532847,580.737475859245,763.4707599063217,954.9460009884725,1463.6605495805877,1025.046810747583,836.9481293869893,890.8220313015786,800.5930413657777,748.7208839884379,414.82262642896745,331.95025669253886
carbon_conversion,carbon,442.54856731964094,726.1911166467573,68.37327575495402,68.28047412528777,1172.0602910266946,1170.3264884797586,1400.0613760771405,1834.3354281249701,1471.2622423264731,1005.6329217883391,612.2132953651834,322.0078311582145,4157.095435794219,17282.31394395303
carbon_evaporation,carbon_liquid,0.0,0.0,0.29231224433332226,0.1995106146671099,0.12329083174612836,0.0,10.02801372749321,331.72693469566155,363.64073625523986,318.8650709798678,102.57178543259286,5.0592069886954345,339.1955763473253,748.2767589085034
carbon_liquefication,carbon,0.0,0.0,19367.777173199138,37157.91809277793,46788.9993371296,57322.02969097193,65056.48845735358,65457.283919129215,65905.42996824151,65747.96887143905,68290.61988715004,69423.26207372143,70790.31205407302,69431.58322765221
carbon_liquefication,electricity,0.0,0.0,1471.1763540762063,2822.5154583274116,3554.0923896483646,4354.181375326228,4941.690863220578,4972.135286497055,5006.176460387625,4994.21571547451,5187.355486627917,5273.390987119879,5377.232103627386,5274.023061972462
carbon_storage,carbon_liquid,0.0,0.0,18399.157594333177,35299.82267752439,44449.42607944137,54455.92513307944,61793.63602075841,61852.692788477085,62246.85499676968,62157.793014513125,64800.661509627724,81459.58298999401,82817.04000000001,82817.04000000001
carbon_storage,electricity,0.0,0.0,693.8322328823041,1331.1563131694447,1676.1878574557343,2053.5329367684258,2330.2380143428,2332.465045053471,2347.3289019281847,2343.9703745772904,2443.6329455280616,3071.8408745526744,3123.0305784000006,3123.0305784000006
cement_plant,coal_for_cement,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837
cement_plant,electricity,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292
cement_plant_oxy_combustion,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.394824034685909,811.3910548176825,1317.5114118463239,1333.8630004535005,6476.991498139153
cement_plant_oxy_combustion,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7913908416519,1694.113191377579,2750.848002756061,2784.9886822655503,13523.388842268561
e_haber_bosch,electricity,432.6283482401992,1189.8821661316179,1947.1359840230277,2704.3898019144362,3486.147036861811,4267.904271809187,5049.661506756563,5831.418741703937,6613.175976651311,7394.933211598686,8176.690446546061,8958.447681493437,9740.20491644081,10497.45873433222
e_haber_bosch,hydrogen,2907.618898813421,7996.988379699224,13086.35786058497,18175.72734147071,23429.779970853862,28683.832600237027,33937.88522962019,39191.937859003345,44445.9904883865,49700.04311776966,54954.09574715281,60208.14837653597,65462.20100591913,70551.57048680488
e_haber_bosch,nitrogen,407.3834446243523,1120.449682753228,1833.5159208820958,2546.582159010962,3282.721980935092,4018.8618028592227,4755.001624783353,5491.141446707483,6227.281268631612,6963.421090555742,7699.560912479872,8435.700734404001,9171.840556328132,9884.906794457
electrolysis,electricity,2511.1400248921227,2580.932633634434,2301.2919480819246,1526.5837559634097,1529.7150808023382,1091.5216667725538,946.4866076335443,803.9002265351743,780.6237003679714,843.352674526853,603.930709624191,5625.884129097603,21502.833710445128,152705.9122913463
gasification,dry_biomass,200.61550608186715,324.754193524665,2878.6688906817308,15535.603105254442,24937.138475489457,32180.223554438453,33038.064582986764,34970.79972580903,38941.93183338718,41114.75044357845,42509.206510181866,44514.30907788138,151887.92994573666,141322.01542042388
gasification,electricity,11.567513215706892,18.725364249360684,165.984380205469,895.7846666183043,1437.8782802532824,1855.5154011797235,1904.9786138122445,2016.4203450308387,2245.3962803056656,2370.6812519392374,2451.085749548585,2566.70019483103,8757.875556422288,8148.643706429053
gasification_CCS,dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.008369092892,3886.4205198124037,6995.77198018701,17042.54364420151,36616.699454884554,73801.3035866045,120432.45148523917
gasification_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3205285332088,368.66658784258027,663.6202572810544,1616.6589234068017,3473.467057224463,7000.805659836623,11424.24519638018
h2_to_ng,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1402.574147936321,1609.2964566173505,1831.3146727241146,2251.3621845447324,5018.360986232126,8148.774815635751
haber_bosch,electricity,10945.943162025016,10183.173823609972,9420.40448519493,8657.635146779885,7876.5302994922995,7095.425452204714,6314.3206049171295,5533.215757629544,4752.110910341959,3971.006063054374,3189.9012157667894,2408.796368479204,1627.691521191619,864.9221827765755
haber_bosch,hydrogen,98312.6454644265,91461.71718636846,84610.78890831041,77759.86063025235,70744.24920369689,63728.63777714142,56713.026350585955,49697.41492403049,42681.803497475026,35666.19207091956,28650.580644364098,21634.96921780863,14619.357791253164,7768.429513195113
haber_bosch,natural_gas,4200.965953621222,3908.2211463701883,3615.4763391191545,3322.731531868121,3022.9497020987264,2723.167872329332,2423.386042559938,2123.604212790544,1823.8223830211493,1524.0405532517552,1224.258723482361,924.4768937129667,624.6950639435723,331.95025669253886
haber_bosch,nitrogen,13774.481991355637,12814.60559148472,11854.7291916138,10894.852791742882,9911.9028080767,8928.952824410519,7946.002840744338,6963.052857078156,5980.102873411975,4997.152889745795,4014.2029060796135,3031.2529224134323,2048.302938747251,1088.4265388763326
hydrogen_compressor_low,electricity,411.06994873336237,430.4724036426119,427.6271439290744,411.6233227689796,414.995297160925,448.48665545057327,429.5254836647867,472.3695704492284,595.7313086432948,627.4941818958877,695.6188115104566,807.2652743788068,1592.359580759544,2616.3616374570547
hydrogen_compressor_low,hydrogen,22578.817353255105,23644.5349688351,23488.253538892364,22609.21249966932,22794.42475892151,24634.00282602292,23592.52354524809,25945.81843618743,32721.70211157282,34466.33977237657,38208.217703529415,44340.6170701311,87463.45055254005,143708.75741277903
hydrogen_decompressor,hydrogen_low,22465.923266488826,23526.312293990923,23370.812271197898,22496.166437170974,22680.4526351269,24510.8328118928,23474.560927521856,25816.089344006497,32558.09360101495,34294.00807351467,38017.176615011755,44118.91398478045,87026.13329977736,142990.21362571514
hydrogen_for_cement_conversion,hydrogen,4221.081345032492,831.2709636317343,9.9864,0.0,1.4118957427285583,329.05932400158906,5273.6481980536955,12421.04700236567,18582.97775323143,18632.383829653125,17557.024302131653,16422.146175680322,15270.979017678577,14510.769537932074
methanol_synthesis,carbon_methanol,13995.886556777119,17442.440740378788,20887.86113354003,24333.281526701277,27778.701919862517,31224.122313023756,34669.542706185,38118.84173847836,41564.612743086574,45010.38374769478,48456.154752303,51903.237645226116,55350.331932442576,58796.266994384525
methanol_synthesis,electricity,999.7061826269372,1245.8886243127706,1491.9900809671453,1738.09153762152,1984.192994275894,2230.2944509302683,2476.3959075846433,2722.7744098913117,2968.90091022047,3215.027410549628,3461.153910878786,3707.3741175161517,3953.595138031613,4199.733356741753
methanol_synthesis,hydrogen,63981.19568812398,79736.87195601732,95487.3651818973,111237.85840777728,126988.35163365722,142738.84485953717,158489.33808541717,174257.56223304395,190009.65825411008,205761.75427517618,221513.8502962423,237271.9435210337,253030.08883402322,268782.9348314722
refinery,hydrogen,193082.3591082,186485.3997703334,179888.4405406667,173291.481311,152592.4197442106,131893.35817742124,111194.29661063188,90495.23504384249,69796.17347705315,61969.60658164251,54143.03968623189,46316.47279082125,38489.90589541062,30663.33899999999
scrap_conversion_BF_BOF,scrap,39077.28201185135,34109.01808506984,39297.881134763884,33227.78183169182,25505.08887549474,19140.31879658843,16345.0616419873,43579.203406278815,57356.97453898177,52142.70412634706,46928.43371371235,41717.08376764151,36502.8133550068,14356.803157528593
scrap_conversion_EAF,scrap,33494.58186549112,41359.06348293882,39066.41812391096,48032.73511764921,57981.64576451247,66572.63353408496,71594.10837935227,46586.18430572695,35034.63086369018,42475.11896699106,49915.60707029195,57352.728752569565,64793.21685587046,91750.91687472252
