carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185198,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,65501.88259656801,64176.89004193393,51970.337517886954,48515.29805125245,47712.323126838266,46007.64074950196,41427.72857530625,16698.273658367274,2542.6626315119697,563.3255400559217,198.76104325288432,134.3114414519741,117.5236866045313,45.873425795092544
coal_for_cement,34050.76943658303,35853.55878146805,35134.43428360815,33642.57590587846,32293.485416014377,30634.06807619711,24330.968946445413,16030.32763443929,8693.707372918941,7211.9717521894845,6896.852790686981,6649.4401141394355,6418.316469142297,6187.19282414516
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,193.33768494186697,324.754193524665,2755.8294510631704,15008.407025502183,24315.476217663494,31505.085019814444,32361.37265380468,34525.464286842114,41823.597107161564,47114.522311746485,58594.817972891215,79905.27468367013,225013.47331557696,261696.34245543092
electricity,4113.04655171999,3396.6975300708655,2014.879084943819,1330.2123567765505,1849.016619047376,2904.522594011845,3254.261244073041,4082.5454930722417,4692.840335798176,5045.183998043581,5492.180068117272,5942.2633568315705,6485.226322328958,9141.123174488253
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,143366.25464406158,139909.3529204635,137062.22192830333,133536.19337173805,130888.91535392428,128306.61176553434,125970.61287294299,125391.72888071001,123959.64672003289,121564.06685303172,119068.36788456432,116573.17666399413,114077.4776955267,108619.18248518504
limestone,28079.067401572087,26945.511777558695,24592.414690669702,23597.112732590802,22800.70969700873,21874.357802579212,20455.39651655243,15522.205429808895,12295.410679953638,10995.611342746488,9896.05020847184,8797.104928626179,7697.54379435153,3004.6088091406696
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,532102.3964731531,532878.1713991439,562070.6636966501,549679.8044060612,494701.70795494766,420783.3053268614,384964.90822689014,426989.8503114586,413853.04946720967,367661.19329003914,337430.4283981364,275626.5520603723,131106.23076255567,83.74756451871953
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,87699.99999999997,89799.99999999997,91899.99999999997,93999.99999999997,95429.99999999997,96859.99999999997,98289.99999999996,99719.99999999997,101149.99999999997,102579.99999999997,104009.99999999997,105439.99999999997,106869.99999999997,108299.99999999997
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,597.7718183340911,999.9399506718936,1927.1525796584401,4631.76448386923,17479.388035524804,40943.29370633749,57449.312983593394,75759.83949363686,98940.8984906199,121700.7715161904,132833.90856630015,152346.20403213563,160915.41841538312,161679.67763018442
