technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,4068.777193582659,3997.967358178867,3927.1575227750727,3856.347687371278,3785.537851967483,3714.7280165636885,3643.918181159894,3573.1083457561,3502.298510352305,3434.647511163567,3629.5928890206155,3871.460991103979,3796.4760172061247,6305.026674394658
BF_BOF,coal,98112.59170059403,93435.55180737027,88244.68781807192,83053.82382877357,77862.95983947522,72672.09585017688,67481.23186087853,62290.36787158018,57099.50388228183,51908.63989298348,46717.775903685135,41529.819271220746,36338.9552819224,14037.249114649505
BF_BOF,iron_ore,172325.96234591515,164111.161507817,154993.87475738273,145876.58800694847,136759.30125651418,127642.01450607991,118524.72775564562,109407.44100521135,100290.15425477707,91172.8675043428,82055.5807539085,72943.40051483644,63826.11376440216,24655.168316756182
BF_BOF,limestone,33962.050973282545,32343.07562562817,30546.238090871047,28749.40055611393,26952.56302135681,25155.725486599687,23358.887951842567,21562.050417085447,19765.212882328327,17968.375347571207,16171.537812814086,14375.706670807182,12578.86913605006,4859.047770455598
BF_BOF,scrap,15723.171746890068,14973.646122976004,14141.776893921782,13309.90766486756,12478.038435813338,11646.169206759114,10814.299977704892,9982.43074865067,9150.561519596447,8318.692290542225,7486.823061488002,6655.419755003324,5823.550525949102,2249.559152988703
BF_BOF_CCS,electricity,23.792056175531346,23.792056175531346,4846.68811288088,11856.682017186044,13977.997214162371,17418.830633938065,20872.50763505502,20882.462587187892,20859.700942904958,20225.773399355756,19016.689979876464,17013.54235818422,14886.998445706831,5750.647043387752
DAC,electricity,0.0,0.0,-0.04457116854294474,0.0,3.8086956465621657e-06,-0.04905210416195429,0.0,0.09363088987165623,0.33582081324951074,0.33582081324951074,16.46702858020019,20282.007969991726,23190.130244217875,25651.315864792276
DRI,iron_ore,31948.202550521957,31860.66266384443,42681.6016453485,42155.235708196946,37216.640923272695,32254.422133503005,34698.23417830334,57361.22363474148,102687.6730258417,107018.66003731641,105977.50175042055,104936.0365361001,103894.87824920421,104660.09840885038
DRI,natural_gas,59957.58560851381,59793.29842392723,80101.08801935267,79113.2505756573,69844.92885600493,60532.271675204276,65118.60386887067,107650.51558848745,192715.22198000428,200843.23870016917,198889.28410695365,196934.7534992564,194980.7989060408,196416.8970138699
EAF,direct_reduced_iron,50774.62566087944,57112.36914173042,64108.86146370272,71105.35378567498,78101.8461076472,85098.3384296195,92094.83075159175,99091.32307356401,106087.81539553628,113084.30771750852,120080.8000394808,127073.5649808967,134070.05730286895,163003.52677609032
EAF,electricity,42650.68555513873,47974.39007905355,53851.443629510286,59728.49717996698,65605.55073042364,71482.60428088038,77359.65783133707,83236.71138179376,89113.76493225046,94990.81848270715,100867.87203316388,106741.79458395322,112618.84813440993,136922.96249191588
SMR,natural_gas,465940.7314564063,469060.68182156514,475307.372962279,470597.69746801705,445321.77022434404,421669.7807773666,418305.31562473695,415585.3591457975,410262.1758152248,408207.7542911159,403882.3290461534,387441.64245804865,240892.57385867278,109993.271732819
SMR_CCS,natural_gas,2701.94535,4657.4991193286405,5255.827063121107,11142.89219977337,20621.809656102396,30550.58020515568,30885.98507665446,32619.687462664802,33398.85756009548,39705.091902083055,42466.929634252774,44735.53097799939,72678.66601237319,73357.12511055733
anaerobic_digestion,wet_biomass,542.73449661476,923.6269936952025,1882.4824711955646,4333.132416349686,10404.963338115349,37834.4543677538,50287.59643026439,68361.57110126922,98449.44247614944,120885.53540297337,132533.407304004,152799.45200069662,160915.41841538312,161694.50703256295
biomass_to_coal_conversion,biomass_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185198,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane_DRI,biomethane,0.0,53.850138650949894,749.3722363797466,2437.31851989678,3749.8273142715116,15079.345049353977,17972.43603575808,39678.80398282635,81836.46290289848,98714.18368997243,109345.48622918247,125454.91696188724,168306.0019023974,188208.03473466806
