carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185198,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,66217.25945987756,64165.8703123908,53908.06132270498,48227.02507366416,47903.633786654995,46883.55692273089,42102.840639727874,28923.530657407737,4274.83227840617,732.8881811642323,222.70498915063573,139.6307064599726,122.178090034414,47.1957510297035
coal_for_cement,34078.52499530501,35855.04200758772,35135.8467224872,33642.57590587846,32295.60858274208,30636.364999294226,24441.51148254505,16479.13311200249,9184.249994741333,7241.55945868744,6896.85279068698,6649.440114139436,6418.316469142297,6187.192824145158
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,193.33768494186697,324.7541935246649,2630.832146947713,13890.17718505957,22677.33574367035,29891.496365485415,30797.84021047613,32277.54228599306,39226.37639334472,45156.401870128495,55858.98764424931,77346.03717501428,220924.11659875698,261769.8111935844
electricity,4030.557669428138,3186.4733792803254,1726.7572634166147,1126.7989537379503,1657.5518461048114,2148.6737015470712,3067.4533851245524,3789.5277176605878,4512.784055888783,4879.577605811795,5354.22533872295,5821.509272162605,6375.941279458707,9046.428005121948
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,143955.81854763586,140620.9251796599,137638.80688183854,134190.36098462026,131498.5906142058,128805.85021625957,126417.46560590633,124860.0069166438,124233.92329318929,121923.09464043511,119391.49289322738,116860.41900274447,114328.8172555367,108690.58855207717
limestone,28791.907000528154,27598.712854885183,25400.237846223103,24134.418036354633,23311.64717287843,22490.818008430633,21061.273980867485,17969.87975508753,13015.735397691516,11431.081098894856,10287.972989005371,9145.50512381929,8002.3970139298035,3091.2182127245082
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,531677.1760621852,535464.3760225833,560106.0567306498,554353.3332164417,515009.5017793877,428572.21290647314,401173.8813240687,400835.94288832427,410529.1816799097,370696.6495243038,339941.1033090883,276318.88727636193,134074.20582201052,83.61606496401997
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,87699.99999999997,89799.99999999997,91899.99999999997,93999.99999999997,95429.99999999997,96859.99999999997,98289.99999999996,99719.99999999997,101149.99999999997,102579.99999999997,104009.99999999997,105439.99999999996,106869.99999999997,108299.99999999997
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,542.73449661476,923.6269936952025,1882.4824711955646,4333.132416349686,10404.963338115349,37834.4543677538,50287.59643026439,68361.57110126922,98449.44247614944,120885.53540297337,132533.407304004,152799.45200069662,160915.41841538312,161694.50703256295
