technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,4068.777193582659,3997.967358178867,3927.1575227750727,3856.347687371278,3785.537851967483,3714.7280165636885,3643.918181159894,3573.1083457561,3502.298510352305,3545.4930699579013,3812.619916114675,3941.4402171119395,3864.3522167830743,6376.00779698695
BF_BOF,coal,89233.4238160336,84536.92782571603,79840.43183539849,75143.93584508091,70447.43985476336,65750.9438644458,61054.447874128244,56357.95188381069,51661.45589349313,46964.95990317557,42268.46391285802,37574.598388247374,32878.10239792981,12589.510371013452
BF_BOF,iron_ore,156730.50080508465,148481.52707850124,140232.55335191783,131983.57962533445,123734.60589875103,115485.63217216764,107236.65844558422,98987.68471900083,90738.71099241743,82489.73726583402,74240.76353925062,65996.40998961398,57747.43626303057,22112.34513883132
BF_BOF,limestone,30888.492859396247,29262.782708901705,27637.072558407166,26011.362407912624,24385.652257418085,22759.942106923547,21134.23195642901,19508.52180593447,17882.81165543993,16257.10150494539,14631.391354450852,13006.591749777936,11380.881599283397,4357.907436120041
BF_BOF,scrap,14300.228175646409,13547.584587454492,12794.940999262575,12042.29741107066,11289.653822878743,10537.010234686826,9784.366646494911,9031.723058302994,8279.079470111079,7526.435881919162,6773.792293727246,6021.570254526822,5268.926666334905,2017.5497389444633
BF_BOF_CCS,electricity,26.907682579470364,26.907682579470364,7364.847276554099,12575.214569720549,15349.094110621942,17875.457566361318,20191.23846873953,20158.79886600752,19796.484990114863,18833.898684666514,17251.10932726683,15393.204990738113,13469.189069925238,5157.551169852245
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41628029259958493,22.20825443765371,38.20806543892232,23214.42702637884,23192.633644952846,25257.138721269108
DRI,iron_ore,29910.0098476906,40435.338126453746,40384.007317096104,36153.308325464786,31899.977934233633,35367.668112552106,45104.2346679234,92541.16620293233,108633.90886727489,107540.56053100967,106447.21219474447,105353.586162238,104260.23782597277,104812.93507437085
DRI,natural_gas,56132.48423470702,75885.49757978306,75789.164417016,67849.35946011885,59867.08187657546,66374.9387865704,84647.67328089736,173673.14753153056,203874.59609337893,201822.69579107297,199770.79548876703,197718.37403050147,195666.4737281955,196703.72746833984
EAF,direct_reduced_iron,62158.17423082871,68520.8614259025,74883.54862097636,81246.23581605018,87608.92301112394,93971.6102061978,100334.2974012716,106696.98459634541,113059.67179141923,119422.35898649303,125785.04618156685,132144.3609847087,138507.04817978252,164859.60208844426
EAF,electricity,52212.86635389611,57557.5235977581,62902.180841620146,68246.83808548214,73591.4953293441,78936.15257320616,84280.80981706815,89625.46706093015,94970.12430479215,100314.78154865414,105659.43879251616,111001.26322715532,116345.92047101732,138482.06575429317
SMR,natural_gas,465942.00228967087,469500.1750079903,473093.28506267257,463761.0025468301,427153.0391132882,401575.86908722157,398171.6402717649,394767.1891271846,388191.0980189912,385367.67145966133,380841.8780250673,363999.3340918523,220592.64306249333,96721.9097607882
SMR_CCS,natural_gas,2701.94535,4323.4621277497945,5584.46265339725,14912.1773278057,33281.12135064869,44459.73700705501,45317.86087534731,47787.749027151585,48684.77942373989,52978.864629346324,54445.12441155976,58548.02910369823,84863.8071942777,86034.7962314621
anaerobic_digestion,wet_biomass,941.3245720046584,1405.2159252643166,2156.8776817081193,7770.3356234096955,31338.56595267169,45736.0563433494,60594.54811307001,86657.08220320453,111054.14758845135,124548.59133831652,140622.88137439522,152528.94188848452,161002.92245431387,161575.98576534964
biomass_to_coal_conversion,biomass_cement,76804.00599905285,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185196,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane_DRI,biomethane,0.0,86.71560785782896,410.38982364420195,2987.91275144279,10330.079763230046,18828.691390603595,27428.36440779317,66304.506087936,96790.27402996921,99324.93788806436,110476.93150316173,125102.88170803076,169365.08709722466,188549.60445280746
biomethane_SMR,biomethane,2029.4900075476014,2873.789851598327,4165.549613789685,14085.45249230187,60912.975096807786,84819.25507064885,103106.2125783126,120966.0044266387,144215.58437968453,163036.49492002476,188530.87385789742,198917.54964299712,162267.31689350258,96721.9097607882
biomethane_SMR_CCS,biomethane,0.0,0.0,0.0,0.0,0.0,396.20015490245635,7630.30344972189,11052.215140853466,13467.010830711464,23181.371165151922,23656.509525260004,26083.46192433006,38194.8995115037,86034.7962314621
