carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76804.00599905285,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185196,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,65740.32257402042,58306.50342383332,52292.54890264651,49539.53650697516,48602.33292314675,43884.66613654206,36102.71894438491,10473.500951974622,908.2256250808148,376.09056642300516,177.04124726207382,126.33254393997535,110.54208145970816,42.328193523055496
coal_for_cement,34051.29545217216,35209.522960832735,35001.84866988003,33642.57590587846,32233.702841507777,30589.898860025103,23957.356269493837,15245.340782920504,8042.5501106845295,7173.547621507342,6893.101501228293,6649.4401141394355,6418.316469142296,6187.192824145159
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,275.7196608774706,1278.2732901417721,5460.789859321664,17818.067322281946,29871.237089533017,37879.46091816899,38793.82646450739,41686.76777578057,49674.31557737966,57354.26804266417,69934.57904784853,88809.5236668418,230899.4701956647,261437.67721428082
electricity,4438.816758542724,3857.1896002789877,1327.9619252263365,1634.4434543705302,2127.744983891878,3259.7376741529865,3664.05419478587,4463.792754241846,4803.4961533745545,5265.89673268939,5692.007076412265,6118.870023261772,6651.73984402493,9282.915314403193
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,142221.44266104125,139319.07772157592,135982.05555931115,132473.27854024057,129901.57146365212,127647.16660225076,125650.38679744056,125202.93706028668,123467.36997228352,121025.52517192661,118583.68037156972,116142.31315586863,113700.46835551171,108427.73859064287
limestone,27081.144174390472,25011.54378175493,23811.257834718355,22954.48160129331,22179.965482903866,20770.844934140492,18846.474272194686,13823.4434749362,11376.64737937632,10342.406708523926,9308.166037671534,8274.504635836507,7240.263964984114,2772.403868472101
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,526589.8539389109,550178.7472002204,552930.8391393682,531798.5825433395,451086.6546892785,409798.15478550893,391066.67235491145,418744.4079989181,385626.6976790836,353520.48354464833,310931.07495893765,267887.55512609053,126490.43741754012,83.94481385076863
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,87699.99999999997,89799.99999999997,91899.99999999997,93999.99999999997,95429.99999999997,96859.99999999997,98289.99999999996,99719.99999999997,101149.99999999997,102579.99999999997,104009.99999999996,105439.99999999996,106869.99999999997,108299.99999999997
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,941.3245720046584,1405.2159252643166,2156.8776817081193,7770.3356234096955,31338.56595267169,45736.0563433494,60594.54811307001,86657.08220320453,111054.14758845135,124548.59133831652,140622.88137439522,152528.94188848452,161002.92245431387,161575.98576534964
