technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.053419277199913e-06,-3.0534192771993105e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29407.243906787422,29085.07772464701,29391.020296406525,29010.587463294472,29332.467075494398,29328.178695079863,29328.098531937994,29328.098215504557,29228.716799135178,29529.551814727718,31014.389548743893
SMR,natural_gas,79685.0153404383,79558.30083985494,116275.60592108735,128557.09241127956,136766.43105807822,134883.88364531114,75611.19113064618,97258.6666305214,116479.04901237022,136739.56341962746,143655.97356639415,146815.8886694909,146913.9051520383,146913.9051520383,146913.9051520383,146913.9051520383,100768.07995416822,120736.6385022744,140806.4461775012,160070.14941030822,166747.68810773458,175578.91232785344,183286.39065776716,191134.59976072932,194120.5293102225,153625.1930249041,167346.55881527142
SMR_CCS,natural_gas,2554.490040761895,2693.3788110402757,6660.390648234448,14847.39825098647,27105.587072722476,48697.29914170031,125013.07474307467,123954.39497781805,125013.07474307467,125208.5671455822,137816.75197788383,154978.7014994849,175039.2601169128,195294.9058987272,215565.94479276414,236172.8001075341,300962.48161909485,300968.8306412132,301151.28972269123,301334.45442770934,301896.66868529056,302118.30217443133,302837.4475278964,304745.1409048184,305934.3691903361,367004.9209006357,369982.6053454807
anaerobic_digestion,wet_biomass,217.51440929026484,217.51440929026484,262.69100143128486,320.8260761887192,382.0605458528748,432.9006588600648,20763.365659199393,20763.365659199393,20763.365659199393,20763.365659199393,20763.365659199393,20763.365659199393,20763.365659199393,20763.365659199393,20763.365659199393,20763.365659199393,20763.365659199393,20755.992359809334,20702.805652033,20649.60771183689,114708.88620185835,116384.72842579526,125914.07938968594,127491.6580941052,133684.52067644,142960.73130616685,156237.36350275978
biomethane_SMR,biomethane,297.56239587546025,297.56239587546025,373.45380425140934,507.16527846235357,648.0054037306631,758.2130274842526,26701.085719518058,28208.187259518934,29767.6777698854,31773.130926930415,33385.24602539016,32719.45970544761,32049.170943972054,31687.182153563415,31548.931834955674,31086.09900500624,23146.353064685893,25668.833925711144,28287.162524730906,30361.606718699084,118585.37592619781,123921.40480147838,141814.20548965814,145422.8863251062,152374.0851197499,121756.634359408,145833.59595787217
biomethane_SMR_CCS,biomethane,202.7237472090073,202.7237472090073,230.73912419811657,230.73912419811657,230.73912419811657,237.4644619588331,21054.94183280586,19547.840292804984,17988.349782438523,15982.896625393505,14370.781526933759,15036.567846876307,15706.856608351865,16068.845398760504,16207.095717368244,16669.928547317682,24609.674487638025,22070.234936263492,19329.576175377188,17132.775984821983,145246.64533020393,143765.07669673968,147789.91473134086,147809.68668677384,155102.1572935166,207055.020514705,213514.4961870282
carbon_conversion,carbon,354.0526737022724,373.30267651285874,923.1310669763615,1330.1983434424474,2308.2729605894247,3719.8982418980263,74.63592390871169,876.5273135779586,989.6885231278685,493.5447953998238,261.33573639996484,1412.2529388131823,3237.8092787507635,5106.530904416167,7525.3936830594475,385.9650187231232,164.10777717815392,267.96109164360973,333.97329358192854,580.2032033326041,925.293472102533,1758.5113026460135,2762.284219805679,3744.6575295854045,5857.776815560959,5210.144016508376,5722.4354787634875
carbon_evaporation,carbon_liquid,0.0,0.0,0.0,198.21153125918113,237.71396908602395,29.189547112577856,0.0,0.3973373997332864,0.11808363197220403,0.17622723181979733,0.25581349227506883,0.0,0.0,0.22865934876139943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquefaction,carbon,0.0,0.0,0.0,925.8646432549139,1686.2791336140592,3058.7437157066247,17497.914748669835,16542.74992786801,16582.980233082653,17106.277378493363,19086.062189006847,20313.537755443846,21268.377620277977,22209.966585533413,22608.935972251787,32656.471006037948,42465.43402108486,42362.46068196499,42321.73690988291,42100.89407775986,45229.896545995085,47070.16817231928,48950.918196769715,50699.49033342181,52510.9606717852,62012.01281109523,62603.2481725169
carbon_liquefaction,electricity,0.0,0.0,0.0,70.32867830164325,128.08976298932396,232.3421726450752,1329.1416043089607,1256.5872845208544,1259.6431785049583,1299.392829670356,1449.7772838769602,1543.0163279035144,1615.5459640363151,1687.0690618371182,1717.374776452246,2480.585537618643,3225.6743682416063,3217.8525134020606,3214.7591356747057,3197.9839141466387,3435.662941633787,3575.4499743693727,3718.3117462266273,3851.1332857267207,3988.7325726288036,4710.432493130794,4755.342731184383
carbon_storage,carbon_liquid,0.0,0.0,0.0,727.6531119957326,1448.5651645280354,3029.554168594047,17497.91474866984,16542.35258837403,16582.862147356427,17106.101151261544,19085.80637551457,20313.537755443842,21268.377620277977,22209.737926184654,22608.935972251787,32656.471006037948,62635.011460582406,62311.07366183263,62480.18704459246,61998.416343393925,65348.18672123129,67185.517071551,69066.21211442265,70814.78403404223,72558.09153538957,82265.47770459847,83875.12029099693
carbon_storage,electricity,0.0,0.0,0.0,27.43979885335908,54.625392354352215,114.2444876976815,659.8463651723396,623.8121161075846,625.3397315768109,645.0710744140728,719.7257584206545,766.0235087577873,802.0305200606825,837.5292171964232,852.582975513615,1231.4755216376911,2361.966282178563,2349.7505877877084,2356.127853451582,2337.9602803093853,2464.2801212576323,2533.565848768189,2604.4868588348786,2670.425505923732,2736.165631799541,3102.2311642404084,3162.9307861734947
electrolysis,electricity,612.1709237514021,598.2845438637974,844.5402104189617,845.2985154728849,835.4529837503461,902.0144349126383,533.2088064902568,606.2239187567205,647.1813988130498,630.5436905939373,1739.5565665442305,1877.5194280665655,2158.090076286325,2336.8515755125113,2521.705553515376,2074.654955844251,1172.198408415386,1755.4144416315476,2006.3702917682501,3227.9562663281154,2177.7387515728324,2491.8303605796773,2823.59482353416,3143.7624284644285,3638.0569475781645,2888.6987904290195,6546.822926667121
gasification,dry_biomass,439.0290922636468,439.0290922636468,490.54926710069185,490.54926710069185,516.2648439409247,1374.3434860854186,4624.041304987758,4477.447177110208,4624.041304987758,4624.041304987758,4624.042525573099,4660.832096770892,4752.579726717716,4806.495943374883,4806.495943374883,4806.495943374883,4806.495943374883,4806.495943374883,4806.495943374883,4806.495943374883,4479.952256175125,4475.329174624459,4480.805157185874,4528.166529619208,4563.276170179984,3137.9848657657653,403.73032863376307
gasification,electricity,25.314468088858053,25.314468088858053,28.285127311280515,28.285127311280515,29.767890437414597,79.24480389729304,266.6227548911039,258.1701205724157,266.6227548911039,266.6227548911039,266.62282527019545,268.744116188042,274.03429511113376,277.1431103812165,277.1431103812165,277.1431103812165,277.1431103812165,277.1431103812165,277.1431103812165,277.1431103812165,258.31456372018516,258.0479963048389,258.3637420908217,261.0946042870521,263.1190302106383,180.9365692331925,23.279137307297393
gasification_CCS,dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,1290.9566823397079,1254.5082613069885,1290.9566823397079,1290.9566823397079,1290.9566823397079,1290.9566823397079,1290.9566823397079,1304.8613449647737,1349.4762837272297,1622.6362223790322,4812.957340624878,4812.957340624878,4812.95511237742,4812.957340624878,22655.570404835726,36540.017914619726,51170.90856423411,64129.47716203855,83882.31366311113,85926.19109695674,89555.58042802267
gasification_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,122.46039580753633,119.00289167336426,122.46039580753633,122.46039580753633,122.46039580753633,122.46039580753633,122.46039580753633,123.77939474214796,128.01157629751765,153.92357990203482,456.5580464477688,456.5580464477688,456.55783507579224,456.5580464477688,2149.1117068261306,3466.1930317668903,4854.082094567437,6083.334370259718,7957.092188267098,8150.974789406894,8495.25934992093
hydrogen_compressor_low,electricity,26.48882936570947,28.261780299541083,65.88287463911439,105.01959072511657,174.78947632883327,175.4736081438549,0.22153476808460698,67.2468725131958,76.338372473362,34.088947200759534,3.5980634177170407,6.744042550004217,8.280247642674615,10.0034100497518,16.693834443470998,8.30298201495464,0.0,3.0036623199847368,9.353181734295434,19.519887483828366,53.504348437307,120.12172644084458,200.38107678027183,279.26861395794754,447.5175294358582,401.97812348395473,404.5215168583469
hydrogen_compressor_low,hydrogen,1454.9505309079132,1552.3333131682457,3618.745174069779,5768.405510552378,9600.652330486284,9638.22960254064,12.16822850074739,3693.6654132261783,4193.033751145886,1872.4018016455857,197.63063922426898,370.4296687907403,454.8087247431954,549.4567752252993,916.941362378941,456.0574544081423,0.0,164.9820015371162,513.7417189001117,1072.1678283987899,2938.830519461002,6597.919721017499,11006.320816229365,15339.372402391931,24580.771692621016,22079.43114819042,22219.131981673454
hydrogen_decompressor,hydrogen_low,1447.6757782533737,1544.5716466024044,3600.6514481994304,5739.563482999615,9552.649068833853,9590.038454527938,12.107387358243274,3675.1970861600466,4172.068582390156,1863.039792637353,196.6424860281477,368.5775204467866,452.5346811194794,546.7094913491718,912.3566555670463,453.7771671361009,0.0,164.1570915294306,511.1730103056112,1066.8069892567958,2924.136366863694,6564.93012241241,10951.289212148216,15262.67554037997,24457.867834157907,21969.033992449462,22108.036321765085
methanol_synthesis,carbon_methanol,13995.886556783598,13995.886556783598,20887.86113353457,24333.281526694806,27778.701919862582,31224.12231302538,34669.54270617485,38118.84173847858,41564.61274307423,45010.38374770017,48456.15475229839,51903.23764523586,55350.33193245779,58796.266994381454,62242.20205632702,65688.13711825406,69135.30786965817,72581.30452363081,76027.30117757947,79473.29783152977,82919.29448545232,86366.5623801338,89812.60975689073,93259.88819370462,96705.9810599455,100153.34398454762,103599.48055181008
methanol_synthesis,electricity,999.7061826274,999.7061826274,1491.9900809667552,1738.0915376210578,1984.192994275899,2230.2944509303843,2476.395907583918,2722.774409891327,2968.9009102195882,3215.0274105500125,3461.1539108784573,3707.3741175168475,3953.5951380327,4199.733356741533,4445.87157545193,4692.009794161005,4938.236276404155,5184.378894545059,5430.521512684249,5676.664130823555,5922.806748960881,6169.040170009558,6415.186411206481,6661.420585264616,6907.570075710393,7153.810284610546,7399.962896557864
methanol_synthesis,hydrogen,63981.1956881536,63981.1956881536,95487.36518187233,111237.8584077477,126988.35163365754,142738.8448595446,158489.33808537075,174257.56223304494,190009.65825405365,205761.7542752008,221513.85029622127,237271.94352107824,253030.0888340928,268782.9348314581,284535.7808289235,300288.6268263043,316047.12168986595,331800.24925088376,347553.3768117919,363306.5043727075,379059.6319334964,394818.5708806117,410571.9303172148,426330.91745693545,442084.48484546517,457843.8582150749,473597.6253797033
