technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,electricity,0.0,0.0,0.0,1.0352211382694869e-08,0.0,0.0,0.0,-4.663626067818216e-07,2.0047962575313805e-05,-6.443189488872241e-06,0.0,0.006592684321981393,0.0,0.0,0.0,0.0,10564.988557197586,6533.135170993772,6560.859547184364,6637.72013031427,7522.45764988468,7522.457649884681,7535.109538337152,7535.109538337153,7535.109538337153,7436.811857094479,7404.477142849524
SMR,natural_gas,79253.92108924866,79116.3910193054,78934.33786373866,77551.83221192656,75364.90675598463,74780.14864364687,63709.85062001034,63721.16112630759,63719.46327399782,63715.953817437556,61423.405492508675,61423.405492508675,61423.405492508675,61423.405492508675,61423.405160090246,61423.40641742255,61423.405492508675,60743.984594453555,60767.18074626418,60832.0095354289,61423.405492508675,61423.405492508675,61423.405492508675,61423.405492508675,61423.405492508675,52959.17543860325,50202.2050482545
SMR_CCS,natural_gas,2991.979573268947,3130.1260580918315,3307.4669764919686,4707.16222324437,6971.1861402897875,7564.881824443516,18380.636548493774,18371.930177228387,18380.636548493774,18420.625339673774,19613.610062137694,19613.610062137697,19613.610062137694,19613.610062137694,19613.61006197212,19615.553398855554,18339.978014943557,18189.81805154022,18190.018111558617,18190.018107971246,18339.978014943557,18339.978014943557,18339.978014943557,18339.978014943557,18339.978014943557,26829.4437738103,28407.151034657883
anaerobic_digestion,wet_biomass,219.34713131173726,219.34713131173726,219.34713131173726,219.34713131173726,232.85278981648,232.85278981648,4972.014942755009,4972.014942755009,4972.014942755009,4972.014942755009,4972.014942755009,4972.014942755009,4972.014942755009,4972.014942755009,4972.014942755009,4972.014942755009,4979.342394756033,4979.342394756033,4979.342394756033,4979.342394756033,33606.93253816049,33678.23553880892,33742.17418963438,34046.40624434735,34088.9158995395,34111.58540460617,34177.15490906863
biomethane_SMR,biomethane,322.66392652765694,322.66392652765694,322.66392652765694,322.66392652765694,351.53507806280476,351.53507806280476,10351.770482977136,10181.928987467485,10167.476236588105,10168.557839755736,10314.527644384894,10318.501465559106,10318.383358885503,10318.501465559106,10318.38335888378,10318.484118716822,10318.501465559106,10260.234834903036,10260.241815475192,10242.197732164712,59194.05351271385,59259.187860152466,59336.2302899926,60035.968214259985,60114.427100944406,51677.10151657206,50202.2050446304
biomethane_SMR_CCS,biomethane,181.83750249791288,181.83750249791288,181.83750249791288,181.83750249791288,184.02955190287904,184.02955190287904,1083.9324995772788,1253.7739950869302,1268.2267459663105,1267.1451427986779,1121.1753381695205,1117.2015169953095,1117.3196236689112,1117.2015169953097,1117.3196236689112,1117.2188638375912,1134.0547577171108,1192.3213883731803,1192.314407801023,1210.358491111504,18102.355103506965,18201.21864154705,18271.23599096416,18271.23599096416,18290.54989785843,26780.015656725172,28405.72289379509
carbon_conversion,carbon,414.68878354385964,433.83590548743337,458.41538135716826,502.6056313826669,548.9667890808021,609.4806564693697,131.78998989066858,295.5467927348,352.6393937328757,332.7493687238801,229.80703379268195,229.80688243744325,229.8076493063676,229.80183888280087,229.80220698995745,207.40515988966575,49.36230419185087,163.80237614808087,159.89527042037318,148.9756609300797,51.10441347465443,51.10441347465443,49.36230419185086,49.36230419185086,49.36230419185086,26.947795830988973,150.89220934900442
carbon_evaporation,carbon_liquid,0.0,0.0,0.0,42.41619375000002,84.8323875,84.8324458777669,0.0,5.77730979350024e-05,2.82596144201034e-07,5.7773097934989414e-05,0.005375292223682476,0.004691862548632353,-0.0004560055338824383,-0.0002883212217181469,0.005223079827919657,-0.00022615684783328918,0.0,-9.496971367216887e-07,-4.972098827127549e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquefaction,carbon,0.0,0.0,0.0,192.22389892093082,502.07296367072775,523.845458769938,2415.7687832893416,2250.8053348344984,2194.919371099059,2220.351914229228,2488.652239589847,2488.6470344288123,2488.646332616028,2488.6465759764014,2488.652087377451,2511.313032877869,3015.89669316163,2880.6444294655053,2884.5792630422816,2895.498872532575,3064.6010849247064,3064.601084924706,3068.7881201495475,3068.788120149547,3068.788120149547,4264.048429596571,4518.733236384401
