technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.094251904801038e-06,-2.094251904800624e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20169.577439497545,19948.612979867634,20158.450134709554,19897.52226563407,20118.290175236216,20115.348899231733,20115.293917652947,20115.293700620412,20047.130863604376,20253.46489350324,21271.872118480038
SMR,electricity,2534.0657069069853,2530.0360550442824,3697.684241580741,4088.2481840192854,4349.313623391569,4289.446673251214,2404.5138936595736,3092.925950443162,3704.1539417963277,4348.459204766778,4568.408183793084,4668.896744475225,4672.01376975374,4672.01376975374,4672.01376975374,4672.01376975374,3204.5289151514194,3839.5496805605094,4477.790272680989,5090.3959117931245,5302.7485322626,5583.590574528643,5828.696338003992,6078.27748526844,6173.233125827513,4885.439648824624,5321.793238677686
SMR,hydrogen,61357.52316966066,61259.952906641214,89532.30609154336,98989.0601457454,105310.25722497745,103860.69426758387,58220.67539127296,74889.24819474969,89688.9574284825,105289.56912268228,110615.21026133375,113048.34732385531,113123.82009088958,113123.82009088958,113123.82009088958,113123.82009088958,77591.4991562087,92967.30461405592,108421.0719777479,123254.13830007563,128395.84823880387,135195.89768834485,141130.66193714266,147173.78898955058,149472.95704182837,118291.51692069306,128856.97914473813
SMR_CCS,carbon,354.0526737022724,373.30267651285874,923.1310669763615,2057.85145543818,3756.83812511746,6749.452410492073,17326.829486219634,17180.096324021906,17326.829486219634,17353.924760302452,19101.420925555623,21480.06950789811,24260.46571266983,27067.901025464613,29877.469825746935,32733.582828487055,41713.441665848215,41714.3216411938,41739.610495175504,41764.99714867766,41842.9201227014,41873.63855501474,41973.312200678636,42237.7187671266,42402.54597232655,50866.93290376101,51279.640380524004
SMR_CCS,electricity,31.471348773535325,33.18246013447633,82.05609484234326,182.9201293722827,333.94116667710756,599.9513253770732,1540.162620997301,1527.1196732463918,1540.162620997301,1542.5710898046627,1697.904082271611,1909.3395118131657,2156.485841126207,2406.035646707966,2655.77509562195,2909.651806976627,3707.86148140873,3707.9397014394485,3710.1875995711557,3712.44419099357,3719.3706775734577,3722.101204890199,3730.961084504768,3754.463890411254,3769.1151975401385,4521.5051470009785,4558.190256046579
SMR_CCS,hydrogen,1966.9592983459577,2073.9037584047705,5128.505927646453,11432.508085767668,20871.322917319223,37496.95783606707,96260.16381233132,95444.97957789949,96260.16381233132,96410.69311279141,106119.00514197568,119333.71948832285,134780.36507038795,150377.22791924785,165985.94347637187,181853.2379360392,231741.34258804563,231746.23133996554,231886.72497319724,232027.7619370981,232460.66734834109,232631.32530563744,233185.06778154802,234653.99315070335,235569.69984625865,282594.07168756117,284886.89100291114
anaerobic_digestion,biomethane,500.28614308446754,500.28614308446754,604.1929284495259,737.9044026604702,878.7445279287797,995.6774894430857,47756.02755232392,47756.02755232392,47756.02755232392,47756.02755232392,47756.02755232392,47756.02755232392,47756.02755232392,47756.02755232392,47756.02755232392,47756.02755232392,47756.02755232392,47739.068861974636,47616.73870010809,47494.38270352106,263832.0212564017,267686.4814982181,289604.120220999,293232.57301188004,307476.2424132665,328811.654874113,359348.09214490035
biomethane_SMR,natural_gas,297.56239587546025,297.56239587546025,373.45380425140934,507.16527846235357,648.0054037306631,758.2130274842526,26701.085719518058,28208.187259518934,29767.6777698854,31773.130926930415,33385.24602539016,32719.45970544761,32049.170943972054,31687.182153563415,31548.931834955674,31086.09900500624,23146.353064685893,25668.833925711144,28287.162524730906,30361.606718699084,118585.37592619781,123921.40480147838,141814.20548965814,145422.8863251062,152374.0851197499,121756.634359408,145833.59595787217
biomethane_SMR_CCS,natural_gas,202.7237472090073,202.7237472090073,230.73912419811657,230.73912419811657,230.73912419811657,237.4644619588331,21054.94183280586,19547.840292804984,17988.349782438523,15982.896625393505,14370.781526933759,15036.567846876307,15706.856608351865,16068.845398760504,16207.095717368244,16669.928547317682,24609.674487638025,22070.234936263492,19329.576175377188,17132.775984821983,145246.64533020393,143765.07669673968,147789.91473134086,147809.68668677384,155102.1572935166,207055.020514705,213514.4961870282
carbon_conversion,carbon_methanol,354.0526737022724,373.30267651285874,923.1310669763615,1330.1983434424474,2308.2729605894247,3719.8982418980263,74.63592390871169,876.5273135779586,989.6885231278685,493.5447953998238,261.33573639996484,1412.2529388131823,3237.8092787507635,5106.530904416167,7525.3936830594475,385.9650187231232,164.10777717815392,267.96109164360973,333.97329358192854,580.2032033326041,925.293472102533,1758.5113026460135,2762.284219805679,3744.6575295854045,5857.776815560959,5210.144016508376,5722.4354787634875
carbon_evaporation,carbon,0.0,0.0,0.0,198.21153125918113,237.71396908602395,29.189547112577856,0.0,0.3973373997332864,0.11808363197220403,0.17622723181979733,0.25581349227506883,0.0,0.0,0.22865934876139943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquefaction,carbon_liquid,0.0,0.0,0.0,925.8646432549139,1686.2791336140592,3058.7437157066247,17497.914748669835,16542.74992786801,16582.980233082653,17106.277378493363,19086.062189006847,20313.537755443846,21268.377620277977,22209.966585533413,22608.935972251787,32656.471006037948,42465.43402108486,42362.46068196499,42321.73690988291,42100.89407775986,45229.896545995085,47070.16817231928,48950.918196769715,50699.49033342181,52510.9606717852,62012.01281109523,62603.2481725169
electrolysis,hydrogen,391.78939120089734,382.9021080728303,540.5057346681355,540.9910499026463,534.6899096002215,577.2892383440885,341.2536361537644,387.98330800430114,414.19609524035184,403.54796198011985,1113.3162025883075,1201.612433962602,1381.1776488232476,1495.585008328007,1613.8915542498405,1327.7791717403206,750.206981385847,1123.4652426441905,1284.0769867316803,2065.892010449994,1393.7528010066126,1594.7714307709934,1807.1006870618621,2012.0079542172346,2328.356446450025,1848.7672258745724,4189.966673066957
electrolysis,oxygen,2.4443740117023984,2.3889262522663883,3.372215278594497,3.37524316034261,3.335930345995782,3.601707558028768,2.129081435963336,2.420627858638835,2.584169438204555,2.517735734793968,6.94597978794845,7.496859975492674,8.617167351008243,9.330954866958436,10.069069406964754,8.28401425248786,4.6805413568663,7.009299648857104,8.011356320218953,12.88910025319751,8.695623725480257,9.949778956580227,11.274501186578958,12.552917626361326,14.526615869401704,11.534458722231456,26.14120207326474
gasification,hydrogen,272.1985816006242,272.1985816006242,304.1411538847367,304.1411538847367,320.0848434130602,852.0946655622906,2866.9113429150957,2776.0228018539324,2866.9113429150957,2866.9113429150957,2866.912099679521,2889.7216794413125,2946.605323775632,2980.0334449593174,2980.0334449593174,2980.0334449593174,2980.0334449593174,2980.0334449593174,2980.0334449593174,2980.0334449593174,2777.5759539804853,2774.7096376864397,2778.1047536647493,2807.468863301636,2829.236883985358,1945.5545078837902,250.31330437954185
gasification_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,245.72118635891275,238.78358002433222,245.72118635891275,245.72118635891275,245.72118635891275,245.72118635891275,245.72118635891275,248.36780513620533,256.85982956430007,308.8531962740176,916.1001324148041,916.1001324148041,916.0997082893348,916.1001324148041,4312.269895396224,6955.0409199505575,9739.890215896752,12206.429095880609,15966.191515019602,16355.223923842594,17046.043270756378
gasification_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,800.3947438401067,777.7966776036881,800.3947438401067,800.3947438401067,800.3947438401067,800.3947438401067,800.3947438401067,809.0156519094637,836.6769692648211,1006.0364699479401,2984.0395192664623,2984.0395192664623,2984.038137750276,2984.0395192664623,14046.481743961638,22654.85641677706,31726.02676187867,39760.355361174625,52007.13848540587,53274.34502880323,55524.57091451589
hydrogen_compressor_low,hydrogen_low,1447.6757782533737,1544.5716466024046,3600.65144819943,5739.563482999615,9552.649068833853,9590.038454527938,12.107387358243653,3675.1970861600475,4172.068582390156,1863.0397926373578,196.64248602814763,368.5775204467866,452.5346811194794,546.7094913491728,912.3566555670463,453.7771671361016,0.0,164.1570915294306,511.1730103056111,1066.8069892567958,2924.136366863697,6564.930122412412,10951.289212148218,15262.675540379973,24457.86783415791,21969.033992449466,22108.036321765085
hydrogen_decompressor,hydrogen,1447.6757782533737,1544.5716466024044,3600.6514481994304,5739.563482999615,9552.649068833853,9590.038454527938,12.107387358243274,3675.1970861600466,4172.068582390156,1863.039792637353,196.6424860281477,368.5775204467866,452.5346811194794,546.7094913491718,912.3566555670463,453.7771671361009,0.0,164.1570915294306,511.1730103056112,1066.8069892567958,2924.136366863694,6564.93012241241,10951.289212148216,15262.67554037997,24457.867834157907,21969.033992449462,22108.036321765085
methanol_synthesis,methanol,9997.061826273999,9997.061826273999,14919.900809667552,17380.915376210574,19841.92994275899,22302.944509303845,24763.95907583918,27227.744098913274,29689.00910219588,32150.274105500124,34611.53910878457,37073.74117516847,39535.951380326995,41997.33356741533,44458.7157545193,46920.097941610045,49382.36276404156,51843.788945450586,54305.21512684248,56766.64130823555,59228.06748960881,61690.40170009557,64151.86411206481,66614.20585264616,69075.70075710393,71538.10284610545,73999.62896557864
pv_ground,electricity,0.0,0.0,0.0,0.0,5.892601273776847,17.807594298260632,642.2040367188702,642.2040367188702,642.2040367188702,642.2040367188702,722.8603811088835,901.8029824312504,1256.1922086547218,1501.8116937441305,1709.9586421658073,2166.087119835906,32842.401401386785,32842.401401386785,33024.78973428521,33474.8331982949,34750.199779629045,36548.872898532805,38529.71574513104,40285.790029122254,42905.88277051245,44366.189508821786,47695.475665233105
syngas_SMR,carbon_methanol,13152.01809684301,13109.37399339456,18776.33851747326,20435.691162078394,20834.80851161297,19227.296327753153,12735.77274184096,15586.495038515095,18715.790179521187,22624.776627399522,24179.105534536284,23607.56424213722,21989.244731712293,20281.443655725434,18154.280440715396,24649.823507136403,16973.14044042065,20314.21436544535,23663.46583518626,26864.763680657703,27931.697093131435,29352.717530527196,30649.82544095029,32001.29823476158,32330.084103421603,25876.26932640161,28181.63072974595
