technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,carbon_liquid,0.0,0.0,0.0,7.1002821554834494e-09,0.0,0.0,0.0,-3.1986461370495313e-07,1.375031726701907e-05,-4.419197180296461e-06,0.0,0.0045217313593836714,0.0,0.0,0.0,0.0,7246.219860903695,4480.88832029751,4499.903667478986,4552.620116813628,5159.435973857806,5159.435973857805,5168.11353795415,5168.113537954151,5168.113537954151,5100.694003494155,5078.5165588817035
SMR,electricity,2520.356464915662,2515.9828667877982,2510.193388598142,2466.2282823997593,2396.681796428864,2378.0858851024996,2026.0389856059346,2026.3986713763793,2026.3446779210828,2026.2330735814053,1953.32767139494,1953.32767139494,1953.32767139494,1953.32767139494,1953.327660823691,1953.3277008081554,1953.32767139494,1931.7213858096036,1932.4590473709948,1934.5206697568442,1953.3276713949401,1953.32767139494,1953.3276713949401,1953.32767139494,1953.32767139494,1684.1564222794443,1596.4819192214609
SMR,hydrogen,61025.58026430174,60919.68200454716,60779.5009345797,59714.97051815397,58031.0362331444,57580.77203638013,49056.63403404199,49065.34313259998,49064.03578501411,49061.33350076042,47296.06952530121,47296.06952530121,47296.06952530121,47296.06952530121,47296.06926933876,47296.070237485605,47296.06952530121,46772.914910644155,46790.775965399385,46840.69418297443,47296.06952530121,47296.06952530121,47296.06952530121,47296.06952530121,47296.06952530121,40778.60586633036,38655.73654289251
SMR_CCS,carbon,414.68878354385964,433.83590548743337,458.41538135716826,652.4133365550061,966.2073652515297,1048.4936693615407,2547.55877318001,2546.352068915923,2547.55877318001,2553.1012251800103,2718.4490730613575,2718.4490730613575,2718.4490730613575,2718.4490730613575,2718.449073038409,2718.7184197997994,2541.9234947946716,2521.1113030547776,2521.1390314010555,2521.1390309038457,2541.9234947946716,2541.9234947946716,2541.9234947946716,2541.9234947946716,2541.9234947946716,3718.564625614733,3937.2350706386533
SMR_CCS,electricity,36.861225203898634,38.563191598882966,40.74803389841496,57.992296582667215,85.88509913346931,93.19943727658139,226.44966872711203,226.34240612585987,226.44966872711203,226.94233112711203,241.63991760545403,241.63991760545403,241.63991760545403,241.63991760545403,241.63991760341415,241.66385953775998,225.94875509285973,224.09878249375802,224.1012472356494,224.10124719145296,225.94875509285973,225.94875509285973,225.94875509285973,225.94875509285973,225.94875509285973,330.53907783242073,349.97645072343585
SMR_CCS,hydrogen,2303.826575243665,2410.1994749301853,2546.752118650935,3624.518536416701,5367.818695841833,5824.964829786337,14153.1042954445,14146.40038286624,14153.1042954445,14183.8956954445,15102.494850340876,15102.494850340876,15102.494850340876,15102.494850340876,15102.494850213385,15103.991221109998,14121.797193303733,14006.173905859876,14006.327952228088,14006.32794946581,14121.797193303732,14121.797193303733,14121.797193303733,14121.797193303732,14121.797193303733,20658.692364526294,21873.52817021474
anaerobic_digestion,biomethane,504.50142902556985,504.50142902556985,504.50142902556985,504.50142902556985,535.5646299656838,535.5646299656838,11435.702982554414,11435.702982554414,11435.702982554414,11435.702982554414,11435.702982554414,11435.702982554414,11435.702982554414,11435.702982554414,11435.702982552692,11435.702982554414,11452.556223276217,11452.556223276217,11452.556223276217,11452.556223276217,77296.40861622083,77460.40650169952,77607.46628095675,78307.20420522414,78404.97699880284,78457.11717329723,78607.92793842549
biomethane_SMR,natural_gas,322.66392652765694,322.66392652765694,322.66392652765694,322.66392652765694,351.53507806280476,351.53507806280476,10351.770482977136,10181.928987467485,10167.476236588105,10168.557839755736,10314.527644384894,10318.501465559106,10318.383358885503,10318.501465559106,10318.38335888378,10318.484118716822,10318.501465559106,10260.234834903036,10260.241815475192,10242.197732164712,59194.05351271385,59259.187860152466,59336.2302899926,60035.968214259985,60114.427100944406,51677.10151657206,50202.2050446304
biomethane_SMR_CCS,natural_gas,181.83750249791288,181.83750249791288,181.83750249791288,181.83750249791288,184.02955190287904,184.02955190287904,1083.9324995772788,1253.7739950869302,1268.2267459663105,1267.1451427986779,1121.1753381695205,1117.2015169953095,1117.3196236689112,1117.2015169953097,1117.3196236689112,1117.2188638375912,1134.0547577171108,1192.3213883731803,1192.314407801023,1210.358491111504,18102.355103506965,18201.21864154705,18271.23599096416,18271.23599096416,18290.54989785843,26780.015656725172,28405.72289379509
carbon_conversion,carbon_methanol,414.68878354385964,433.83590548743337,458.41538135716826,502.6056313826669,548.9667890808021,609.4806564693697,131.78998989066858,295.5467927348,352.6393937328757,332.7493687238801,229.80703379268195,229.80688243744325,229.8076493063676,229.80183888280087,229.80220698995745,207.40515988966575,49.36230419185087,163.80237614808087,159.89527042037318,148.9756609300797,51.10441347465443,51.10441347465443,49.36230419185086,49.36230419185086,49.36230419185086,26.947795830988973,150.89220934900442
carbon_evaporation,carbon,0.0,0.0,0.0,42.41619375000002,84.8323875,84.8324458777669,0.0,5.77730979350024e-05,2.82596144201034e-07,5.7773097934989414e-05,0.005375292223682476,0.004691862548632353,-0.0004560055338824383,-0.0002883212217181469,0.005223079827919657,-0.00022615684783328918,0.0,-9.496971367216887e-07,-4.972098827127549e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquefaction,carbon_liquid,0.0,0.0,0.0,192.22389892093082,502.07296367072775,523.845458769938,2415.7687832893416,2250.8053348344984,2194.919371099059,2220.351914229228,2488.652239589847,2488.6470344288123,2488.646332616028,2488.6465759764014,2488.652087377451,2511.313032877869,3015.89669316163,2880.6444294655053,2884.5792630422816,2895.498872532575,3064.6010849247064,3064.601084924706,3068.7881201495475,3068.788120149547,3068.788120149547,4264.048429596571,4518.733236384401
electrolysis,hydrogen,487.91245638660354,487.8778407386761,492.0499414454627,479.89215175447964,421.7103002572791,415.90048239390296,393.98001030272076,395.6452881454823,391.46574380903326,360.8593249926031,740.9144054608578,740.9144083308007,740.914457955255,740.9144780227489,740.9141563338576,739.4158744253211,16.342399254955968,655.1562594502901,637.1411614203188,587.2170067715035,24.346347144362223,24.346347144362564,16.342399254955968,16.342399254955968,16.342399254955968,16.342449377322517,602.7241216746799
electrolysis,oxygen,3.04408581539602,3.0438698483686,3.069899584678242,2.9940471348375346,2.631050563305164,2.5948031096555604,2.458041284278675,2.468430952291325,2.4423547756245587,2.251401328628851,4.622564975670292,4.622564993575866,4.622565303182836,4.622565428346079,4.622563421358661,4.613215640539579,0.10196022895167028,4.08751990271036,3.975123705924894,3.6636469052474103,0.1518968598336759,0.15189685983367804,0.10196022895167028,0.10196022895167028,0.10196022895167028,0.10196054166511517,3.760395795128328
gasification,hydrogen,172.2847784622709,172.2847784622709,172.2847784622709,172.2847784622709,172.2847784622709,172.28478125283377,379.35451031615275,379.35451031615275,379.35451031615275,381.49149598907945,843.3622317646814,843.3617326193354,843.3622194804166,843.3628654225357,843.3627382118217,843.3624944123642,843.362494577668,843.362494577668,843.362494577668,843.3624918153912,671.0777161153972,671.0777161153972,671.0777161153972,671.0777161153972,671.0777161153972,663.4938849087116,464.00798426151533
gasification_CCS,carbon,0.0,0.0,0.0,-1.4084394255260951e-09,0.0,0.0,0.0,8.802769933731262e-07,-8.630671740889334e-06,0.0,0.0,0.00015194234940681898,-1.1992488646224972e-05,-0.00021685458178856564,0.0,-8.754172440236196e-07,523.3355025588086,523.3355035085058,523.3355025588086,523.3355025588086,573.7820036046883,573.7820036046883,576.2269295467258,576.2269295467258,576.2269295467257,572.4315998128262,732.3903750947507
gasification_CCS,hydrogen,0.0,0.0,0.0,-4.587750571746238e-09,0.0,0.0,0.0,2.867351769945037e-06,-2.8112937266740502e-05,0.0,0.0,0.0004949262195661856,-3.906348093232884e-05,-0.0007063667159236665,0.0,-2.8515219675036474e-06,1704.6759041003536,1704.6759071938297,1704.6759041003536,1704.6759041003536,1868.9967544126655,1868.9967544126655,1876.9606825626247,1876.9606825626252,1876.9606825626247,1864.5980449929195,2385.6364009601
hydrogen_compressor_low,hydrogen_low,1673.2688618945488,1760.833694414505,1869.024911969365,2083.5890292451027,2319.2095908837086,2532.5618902614924,373.55522840241883,1103.9780996800064,1346.1590451341153,1270.4814775670498,327.4196180903735,327.41934960285806,327.4198462740094,327.4195888432248,327.419862754069,327.1831492047609,209.31384847922126,216.47012487085675,216.47012487085675,215.2875478048048,217.27777662918027,217.27777662918075,209.31384847922126,209.31384847922126,209.31384847922126,106.84747442148647,87.06883813990244
hydrogen_decompressor,hydrogen,1673.268861894549,1760.833694414506,1869.024911969365,2083.5890292452423,2319.209590883709,2532.5618902614924,373.5552284024195,1103.978099680007,1346.1590451341153,1270.481477567049,327.4196180903733,327.41934960359373,327.4198462740092,327.41958884396047,327.419862754069,327.18314920549665,209.31384847922084,216.47012487085647,216.47012487085652,215.2875478048044,217.2777766291801,217.2777766291801,209.31384847922092,209.31384847922092,209.31384847922092,106.84747442148509,87.0688381399038
methanol_synthesis,methanol,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999,9997.061826273999
pv_ground,electricity,0.0,0.0,0.0,0.0,0.0,0.0,22.917376656185354,23.59650781446122,23.59650781446122,23.59650781446122,172.5960596909008,172.5960596909008,172.5960596909008,172.5960596909008,172.5960596909008,172.80276108982545,7071.771432155742,7071.771432155742,7071.771432155742,7071.771432155742,7105.6721034524235,7105.6721034524235,7107.693755695448,7107.693755695448,7107.693755695448,7267.343898234786,8306.97713508772
