carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,-0.002155001392790185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,422.32997139147903,422.32997139147903,422.32997139147903,422.32997139147903,422.32997139147903,679.5713667364404,2620.5421081746863,2563.1134516470975,2598.7705160659225,2620.5421081746863,2694.4516952077424,2826.864389966121,2991.8023045264927,3109.2062459162607,3234.172798321748,3479.619794885191,7859.770336685697,7859.770336685697,7859.770336685697,7859.770336685697,13198.845039197287,20197.02490384269,27372.3095445084,34783.48088460378,44588.596350613945,44323.39755948608,47383.51551064538
electricity,0.0,0.0,0.09703890504239877,0.20775210444071884,0.0029826399883803884,0.0,82.22757646959614,23.105321545451076,15.105054273814199,0.049381138704428125,0.0,0.0070236453698294225,0.0,0.0,0.0,0.0,4650.367074102643,3.6952371886145836,2.004372271305373,0.0,0.00210736013068227,0.0,0.0,0.0,0.5197844131204424,4.228687489750759,4.949740780691606
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,81741.39923329682,81742.13572651989,102065.947351326,112171.59168592509,122365.13211773362,132264.3435998378,108297.42898595365,118533.94734781228,128719.04853920266,138967.7983764129,148310.77938067348,158344.70325429883,168385.1648819928,178405.56675874066,188465.6568303435,198718.87969967726,206220.76345368926,215522.59953333496,225693.30562953715,235743.24153641335,84012.92772074213,84241.79394572397,75685.36036441274,72917.82561004162,66298.18337555202,64447.37382987313,33928.61164652033
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,206.85831951980066,206.85831951980066,221.34787141124585,263.89627750758183,306.45591602368984,349.00432212002585,14585.18606317186,14585.18606317186,14585.18606317186,14585.18606317186,14585.18606317186,14585.18606317186,14585.18606317186,14585.18606317186,14585.18606317186,14585.18606317186,14691.574900834179,14691.574900834179,14691.574900834179,14638.37696063807,83373.36608077383,85354.84593090166,90967.26409997356,93918.04717495608,97607.50128728039,103294.18961949214,119184.46642480476
