carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,439.0290922636468,439.0290922636468,490.54926710069185,490.54926710069185,516.2648439409247,1374.3434860854186,5914.997987327466,5731.955438417197,5914.997987327466,5914.997987327466,5914.999207912807,5951.7887791106,6043.536409057424,6111.357288339656,6155.972227102113,6429.132165753916,9619.453283999761,9619.453283999761,9619.451055752303,9619.453283999761,27135.52266101085,41015.347089244184,55651.71372141998,68657.64369165777,88445.58983329112,89064.1759627225,89959.31075665644
electricity,0.0,0.0,0.2189896620369164,0.2911167141520848,0.1254757031028298,0.0,261.967516093378,43.794529190835036,8.240475360051896,0.0011475241546267888,-1.4703323120303723e-05,0.0,0.0013565203515604328,0.0013565203515604328,0.0011475241546267888,0.0013565203515604328,157.89837571204393,12.957972578472035,2.7553854421257276,0.0,0.0013565203515604328,0.0013565203515604328,0.0013565203515604328,0.039006067201139444,0.0013565203515604328,8.945526295087184,4.486267719196139
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,81739.21923811572,81751.39350781075,122331.80364087228,142666.58625960557,162993.27360287192,182585.50529756836,152868.23832139696,173457.03405601555,193736.09620312098,214192.10301288575,233716.69799195405,254038.56261665185,274197.13771662716,294452.78349844157,314723.8223924785,335330.6777072485,353974.53402093914,373966.400281513,394340.9972000843,413910.22113449645,204812.3355366234,210010.73300406671,196519.71796466457,202647.16765366774,192578.6560872921,191818.4590514268,177981.07201585174
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,217.51440929026484,217.51440929026484,262.69100143128486,320.8260761887192,382.0605458528748,432.9006588600648,20763.365659199393,20763.365659199393,20763.365659199393,20763.365659199393,20763.365659199393,20763.365659199393,20763.365659199393,20763.365659199393,20763.365659199393,20763.365659199393,20763.365659199393,20755.992359809334,20702.805652033,20649.60771183689,114708.88620185835,116384.72842579526,125914.07938968594,127491.6580941052,133684.52067644,142960.73130616685,156237.36350275978
