carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001337863505203313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003792597953603123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,277.8781191817967,277.8781191817967,277.8781191817967,277.8781191743971,277.8781191817967,277.87812368269556,611.8608896889228,611.8608943136745,611.8608443455663,615.3076338807863,1360.2589436132546,1360.2589368082256,1360.2588607944756,1360.2588263411317,1360.2597604618472,1360.2593626384826,4109.731133227781,4109.731138217248,4109.731133227781,4109.731128772505,4096.886113514713,4096.886113514713,4109.731133227781,4109.731133227782,4109.731133227781,4077.559473738341,4596.191428923944
electricity,-1.686480046784099e-07,0.0,0.0,5.074480579927556e-10,0.0,2.5952234448600386e-07,0.013084113591874154,2.595702776291954,7.381946079041954,7.3819460790419535,0.0003665091988547985,0.0,-2.1924270760376188e-07,0.0,2.783581121474228e-05,-1.7109131805021888e-07,3129.7743062882787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.858557981426051,5.858557981426051
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,81741.39923349203,81742.01564837166,81737.30341120505,81754.49300614536,81800.52826630873,81809.46583812471,70654.7841859497,70657.38832098157,70664.39683993718,70700.8761745569,69601.31257209195,69601.31257209195,69601.31257209195,69601.31257209195,69601.31223950967,69603.25683372369,68310.82728417602,67481.24642271757,67504.64263454659,67569.47142012393,2466.9748912314144,2302.977005752715,2155.917226495476,1456.1793022280872,1358.4065086493952,1331.5020391163162,1.4281444868965547
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,219.34713131173726,219.34713131173726,219.34713131173726,219.34713131173726,232.85278981648,232.85278981648,4972.014942755009,4972.014942755009,4972.014942755009,4972.014942755009,4972.014942755009,4972.014942755009,4972.014942755009,4972.014942755009,4972.014942755009,4972.014942755009,4979.342394756033,4979.342394756033,4979.342394756033,4979.342394756033,33606.93253816049,33678.23553880892,33742.17418963438,34046.40624434735,34088.9158995395,34111.58540460617,34177.15490906863
