technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004211886966485974,0.0,0.0,10596.557123392131
DRI,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,natural_gas,77593.38170413379,93996.52229434052,96312.17389846256,83838.99136016311,64308.440162706844,48999.32363547022,51292.955205386024,53965.71209382704,56260.97470980615,58985.94791194918,61267.05329959831,63815.273982894396,60948.13473968471,58532.49653657276
SMR_CCS,natural_gas,3167.5276238011857,5731.609437174412,22797.392912319283,54094.08704495963,89537.75670036471,121999.42606077327,138973.75983360698,155944.49075635753,172533.11966157015,188625.70854805253,205052.63067782755,220992.2341152843,241366.22553779866,257044.79774290544
anaerobic_digestion,wet_biomass,299.99364370488024,12914.538769014607,21242.860244578853,25817.286694780265,27140.407965640883,29609.649272227107,37427.221587572516,45313.124210653106,52748.1268967804,60240.12065885824,67638.64967362718,74804.91449987143,80621.76551412778,108299.68512019563
biomass_to_coal_conversion,biomass_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_DRI,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_SMR,biomethane,614.6599834338406,28485.88701336979,38378.90716969201,37922.51814214801,26957.09760690442,24044.18069724618,29608.22252058895,32379.237780412976,35177.391772202114,39986.076285375646,44934.08797937027,50106.39841315225,52356.90665280407,50185.74486344615
biomethane_SMR_CCS,biomethane,75.32953702450669,1217.730377068151,10479.964546069647,21457.597536540674,35466.21525394678,44058.42124448782,56474.90362958474,71841.57322895523,86144.02801891154,98567.03254865133,110635.73968893825,121945.93725056601,133074.26661672944,198905.0254576257
biomethane_haber_bosch,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_conversion,carbon,439.0197676786121,795.6877591614721,458.4508881552582,265.4360159915389,220.23034675839068,72.91094638878394,72.71001990198724,71.23459940655282,69.52690359747652,68.2642731024581,95.86964738493921,124.97757481084732,152.58389171525693,343.3184163433584
carbon_evaporation,carbon_liquid,0.0,0.0,3.845775268595244,1.8389151924096825,1.6993425080755444,1.667899526798056,1.6008825721520308,1.600882572152029,1.6008876916326062,1.581144166158664,1.8525079912068985,1.5416673541719768,0.0,0.0
carbon_liquefication,carbon,0.0,0.0,2706.402601249843,7235.136757847475,12192.700381132961,16839.180211065788,19191.959134157707,21599.195819345852,24062.248939548517,26479.17583550779,28920.811599867804,31434.57644960083,34427.07309402235,37873.90636560899
carbon_liquefication,electricity,0.0,0.0,205.5783415909381,549.5809881260942,926.1575209508597,1279.1041288325573,1457.8212158306194,1640.674914437511,1827.7684294481053,2011.3581964651717,2196.8248491259583,2387.770427111679,2615.0804753652237,2876.901927531659
carbon_storage,carbon_liquid,0.0,0.0,2567.2366959187557,6871.541004762691,11581.366019568215,15995.5533009857,18230.760294877666,20517.63514580641,22857.535609998937,25153.63589956624,27472.921398082304,29861.305959766618,32705.7194309992,43248.08287407212
carbon_storage,electricity,0.0,0.0,96.81049580309626,259.125811289601,436.7333125979174,603.1923149801707,687.4819707198368,773.7200213483596,861.9576678530599,948.543609772643,1036.0038659216837,1126.0698477427993,1233.33267974298,1630.8852051812596
cement_plant,coal_for_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_oxy_combustion,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_oxy_combustion,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_haber_bosch,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_haber_bosch,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_haber_bosch,nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,electricity,1094.545281408518,1359.581283545589,1391.7623771992783,909.1737465085063,589.0259344111196,521.2965562422429,519.705005128883,509.1601559369207,496.9490468130266,487.92295649920334,685.0808978870157,892.9615603160227,1090.08790829785,1341.9631617643563
gasification,dry_biomass,1776.7944852611167,3360.422094585642,4654.735220545407,7172.89676867192,13143.680088212888,17309.933367081438,18785.839442194356,19551.683905718575,20666.33633622918,21738.77606374382,22697.900810292398,23184.34638897692,25615.525760904355,26603.144979887482
gasification,electricity,102.45017492050584,193.76232549845912,268.3925696017874,413.5900548617326,757.8661096185743,998.0927541314239,1083.1936686242636,1127.3523487084306,1191.6233363936472,1253.460334756138,1308.763578248616,1336.8120864125822,1476.9941693620838,1533.940407421127
gasification_CCS,dry_biomass,0.0,6.755774905130702,6.755774905130826,6.755774905130702,6.755774905130702,6.755774905130702,6.755774905130702,288.43855005810263,1140.3815711074546,2113.6325076989947,3123.381937481298,4877.882852835275,5917.108392965583,13611.300865717587
