technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004576917785411854,3050.393723618795,7550.511880572146,11728.15743349049,11728.162169837742,27845.58630018103
DRI,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,natural_gas,77467.86241236603,110261.55662857565,112321.82851691241,96836.12179798204,73951.53017145857,62775.894196887544,67936.81571456505,73522.17769227905,78411.85653011805,84514.91475614026,91769.54129814611,102321.18429743533,107368.02800438888,103883.2089991994
SMR_CCS,natural_gas,3519.9907036234827,8368.43635753071,45739.789224508415,96715.34493465704,155903.08980893207,205076.78922060243,238344.34291715492,269890.79174973496,303052.5683464268,333389.9796338576,364350.07302040956,390685.20570890425,414326.1272071234,431123.6919267291
anaerobic_digestion,wet_biomass,501.613230148198,22253.411866530587,34387.62561765712,41554.49934264527,44991.2764852235,52611.347634057965,65332.93931248678,77926.50473084318,90616.05516108296,98740.8071149962,106125.0533077099,113915.82231719293,128982.76362266559,149140.34692130043
biomass_to_coal_conversion,biomass_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_DRI,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_SMR,biomethane,1128.40235339486,46402.32350160989,62280.97677484301,51285.403483232665,39793.31452786893,39428.04088535926,45265.485160334254,51402.462681393146,57285.74438547283,64502.72452921407,71007.34879962995,78325.96757072776,85101.72868953247,87909.92710151554
biomethane_SMR_CCS,biomethane,25.31499825010532,4780.830890336806,16811.0366978492,44290.51846038312,63687.242271485906,81578.78471392766,105001.17685835744,127829.57359176382,151132.43299408222,162602.4944665912,173081.73834262564,183681.9958065962,211560.40761541622,255114.9289666119
biomethane_haber_bosch,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_conversion,carbon,490.71601252111486,1163.121552551934,499.96121620404375,273.218116016204,237.00482274997546,79.49117647901579,80.74836151635647,89.41931989642448,149.27170267254607,202.68875844700798,318.8283626580827,448.6279314282359,1583.0045474716323,4993.199164344611
carbon_evaporation,carbon_liquid,0.0,0.0,1.549455256878019,1.5778728788570304,1.5959756411995387,1.5416673541720705,1.5416673541720136,1.4943991871115383,1.4627137301986317,1.4232369182119442,1.3837601062252496,1.341042113018651,0.0,0.0
carbon_liquefication,carbon,0.0,0.0,5858.136364843351,13378.304564119942,22462.40894989843,29759.825860001445,34487.12432835188,38975.905332051254,43642.38957317924,48161.94952037774,52554.70484427069,56563.077457560896,59101.936280396716,59196.57325348914
carbon_liquefication,electricity,0.0,0.0,444.98403827350097,1016.2160146905509,1706.2445838342846,2260.55637232571,2619.6419639816086,2960.6097690226134,3315.0759119786953,3658.3816855678933,3992.0553799708014,4296.531366819611,4489.383079858934,4496.571704335035
carbon_storage,carbon_liquid,0.0,0.0,5563.680091344305,12707.811463035088,21337.692526762326,28270.29289964722,32761.226444580112,37025.61567024339,41458.80423900237,47844.60557261128,55104.263400642376,61777.58626826396,64190.846441574235,75335.22627818164
carbon_storage,electricity,0.0,0.0,209.80637624459374,479.2115702710532,804.6443851842073,1066.0727452456965,1235.425849225116,1396.2359669248783,1563.4115078527796,1804.2200761431716,2077.9817728382245,2329.6327781762343,2420.6368193117646,2840.89138295023
cement_plant,coal_for_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_oxy_combustion,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_oxy_combustion,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_haber_bosch,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_haber_bosch,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_haber_bosch,nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,electricity,1091.8896753628383,1472.2530456951288,1359.9860747786122,752.3151080875293,544.0313418515035,568.0003666878042,576.9685204287655,638.9004301695953,1066.43342537081,1440.0905421514583,1922.270640835167,2500.8149191354078,3155.561179297645,6039.143145620821
gasification,dry_biomass,1484.5830044035054,5168.59048168815,7038.391022962708,13191.855900820454,14722.33033537328,16608.818008525734,19088.25206158191,23067.038802783587,25509.23777611634,28748.639188962876,30464.358203635296,32319.448272117283,44789.81508658311,70036.58685746932
gasification,electricity,85.60122723636059,298.02152321718523,405.8344380529058,760.6439325291724,848.8912649201533,957.6663617043172,1100.630815132443,1330.0481174647366,1470.865591902052,1657.6498509353014,1756.5784071784256,1863.5431176338288,2582.5859062415057,4038.3176748370306
