technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003137805891738859,2092.1767651706414,5178.677558691457,8044.003736007044,8044.006975197355,19098.481687366962
DRI,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,carbon_methanol,13048.506123589026,18572.19951682523,18919.226910044345,16310.850576198176,12456.223319478373,10573.825252613498,11443.118840040892,12383.904188947441,13207.510291802051,14235.495189732565,15457.447569854055,17234.74171484098,18084.820301809556,17497.845513648164
SMR,electricity,2463.5579561336085,3506.4312687766032,3571.9500406163725,3079.488588786216,2351.7349627175167,1996.3382076934288,2160.4608369997204,2338.081110873277,2493.5779430922275,2687.661491821508,2918.366101188446,3253.9192357619772,3414.414072981644,3303.593232976774
SMR,hydrogen,59650.31370783555,84901.48350548676,86487.894445917,74563.88834833451,56942.73517475827,48337.48686909028,52311.400411615505,56612.1334351883,60377.18990538081,65076.54943877744,70662.61746218997,78787.39069641591,82673.46423684368,79990.15091953447
SMR_CCS,carbon,487.8711993934141,1159.8664390201955,6339.541126057991,13404.760212703679,21608.189855707842,28423.671409646908,33034.55896287663,37406.90114341441,42003.127975942734,46207.89738515005,50498.970619599386,54149.02366027779,57425.65865656596,59753.80345484811
SMR_CCS,carbon_methanol,592.8990270406075,1409.5599085314877,7704.303451806588,16290.5072029385,26259.952949644947,34542.65622700145,40146.165406273685,45459.77569512168,51045.4680263193,56155.43085000874,61370.276794652025,65806.1051426987,69788.12683957668,72617.46947637791
SMR_CCS,electricity,43.36632883497015,103.09923902401738,563.5147667607104,1191.5342411292158,1920.7279871740302,2526.548569746392,2936.4052411445896,3325.0578794146145,3733.6113756393547,4107.368656457782,4488.797388408834,4813.246547580248,5104.502991694752,5311.449195986498
SMR_CCS,hydrogen,2710.395552185634,6443.7024390010865,35219.6729225444,74470.89007057599,120045.4991983769,157909.2856091495,183525.32757153685,207816.1174634134,233350.71097745965,256710.5410286114,280549.83677555213,300827.9092237655,319031.436980922,331965.57474915613
anaerobic_digestion,biomethane,1153.7173516449652,51183.1543919467,79092.01347269221,95575.92194361579,103480.55679935485,121006.82559928692,150266.6620186917,179232.03627315696,208418.17737955507,227105.21899580525,244089.08714225562,262007.963377324,296662.13630494865,343024.85606812744
biomass_to_coal_conversion,coal_for_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_SMR,natural_gas,1128.40235339486,46402.32350160989,62280.97677484301,51285.403483232665,39793.31452786893,39428.04088535926,45265.485160334254,51402.462681393146,57285.74438547283,64502.72452921407,71007.34879962995,78325.96757072776,85101.72868953247,87909.92710151554
biomethane_SMR_CCS,natural_gas,25.31499825010532,4780.830890336806,16811.0366978492,44290.51846038312,63687.242271485906,81578.78471392766,105001.17685835744,127829.57359176382,151132.43299408222,162602.4944665912,173081.73834262564,183681.9958065962,211560.40761541622,255114.9289666119
biomethane_haber_bosch,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_conversion,carbon_methanol,490.71601252111486,1163.121552551934,499.96121620404375,273.218116016204,237.00482274997546,79.49117647901579,80.74836151635647,89.41931989642448,149.27170267254607,202.68875844700798,318.8283626580827,448.6279314282359,1583.0045474716323,4993.199164344611
carbon_evaporation,carbon,0.0,0.0,1.549455256878019,1.5778728788570304,1.5959756411995387,1.5416673541720705,1.5416673541720136,1.4944039652933565,1.4627137301986317,1.4232369182119442,1.3837601062252496,1.3410409184731964,0.0,0.0
carbon_liquefication,carbon_liquid,0.0,0.0,5565.229546601184,12709.389335913946,21339.288502403506,28271.834567001373,32762.768111934278,37027.11006544869,41460.270094520274,45753.85204435885,49926.96960205715,53734.92358457335,56146.83946637688,56236.744590814684
cement_plant,cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_oxy_combustion,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_haber_bosch,ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
