technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,electricity,4093.644077010474,4095.356547526359,4028.955320642723,4423.551933254225,4310.327064030459,4201.937084563085,4400.464034698491,4173.546788967524,3919.3699762734336,3883.965058571537,3949.812721207199,3813.1552231677424,3777.750305465845,3742.3453877639477,3706.9404700620507,3671.5355523601534,3636.130634658256,3600.7257169563586,3565.3207992544617,3529.915881552564,3809.141382370181,3716.8765654439712,3501.122013807235,3588.836513103128,3493.7997503242696,3317.4863753411805,3282.0814576392836
BF_BOF,coal,0.0,352.0993782014446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3131.188907044196,0.0,0.0,0.0,1987.4939249535146,935.9368170552154,0.0,0.0,0.0,0.0,4232.358755172969,0.0,6025.755562028395,4268.542553915893,863.7621329700096,0.0,3641.0796803976245
BF_BOF,iron_ore,0.0,618.4309591486913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5499.652311090448,0.0,0.0,0.0,3490.8547143414294,1643.8890248277503,0.0,0.0,0.0,0.0,7433.7583263935485,0.0,10583.698871767821,7497.311921621505,1517.1206694473246,0.0,6395.229695057366
BF_BOF,limestone,0.0,121.88055399280776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1083.8730832076064,0.0,0.0,0.0,687.9786663300628,323.9781289806515,0.0,0.0,0.0,0.0,1465.0472614060277,0.0,2085.8384637790596,1477.5724225093477,298.9945844896187,0.0,1260.3737355222547
BF_BOF,scrap,0.0,56.426182404077665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.7930940775956,0.0,0.0,0.0,318.5086418194735,149.98987452807938,0.0,0.0,0.0,0.0,678.2626210213091,0.0,965.6659554532682,684.0613067172904,138.42341874519383,0.0,583.5063590380809
BF_BOF_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1282.755765286697,0.0,0.0,0.0,561.6583595799937,105.0871914078204,0.0,0.0,0.0,0.0,3.3557304148437055,0.0,1728.211954595575,1748.6960170589057,353.8578759687638,0.0,1491.6429798888437
DAC,electricity,20181.76402581159,19489.661248552013,23855.232255527426,29561.05176749419,35278.97838239345,48671.64107087961,47677.03306640021,69618.90211160785,51174.09686178147,64414.35735856528,62182.94891645323,77521.55728749561,76928.97919249101,87240.75617116207,96586.25771611539,113857.89071496668,129556.52305505474,113239.7358516405,110297.60587450796,144284.68417199643,131305.95913937048,158961.8549484779,100034.42255511894,121406.30588179945,157748.65738318348,196527.53772702222,376255.9912908989
DRI,iron_ore,129824.61992799718,140970.19759605365,129689.79302277461,128670.92243397668,146227.40819061483,132359.4479728588,135302.50476534423,136759.67262473333,120444.38424746472,133426.0232157654,119456.6575930802,125453.72241773305,129421.8330678136,118558.10603313328,142095.86404375706,122655.39515285102,115272.01289305506,122946.46958742653,140108.7732029041,111939.80659987197,108458.61718434989,113778.64105638606,108684.1732310613,108075.10395398852,107639.96710132899,106936.57690263733,121898.9756994382
DRI,natural_gas,243643.4647963783,264560.5078172514,243390.43348109757,241478.3064856823,274426.7797549895,248400.60783947472,253923.878806194,256658.56369299273,226039.46084798177,250402.26274739538,224185.78205824643,235440.5475510881,242887.54973000634,222499.45926766112,266673.05991773587,230188.8922731588,216332.40775819923,230735.15525311558,262943.8620383269,210078.81512578717,203545.62403090324,213529.77842088894,203968.92784459452,202825.88002323877,202009.2533271517,200689.19226933309,228769.31055921965
EAF,direct_reduced_iron,176559.999636,176108.59017676735,176901.53812553844,177072.30737030774,177243.07661507698,177413.84585984616,177584.61510461546,177755.3843493847,177926.1535941539,178096.92283892317,174253.34733107165,178438.46132846162,178609.2305732309,178779.99981800013,176402.69992821358,177921.61931131396,179292.30755230784,179463.0767970771,179633.84604184632,179804.61528661556,174549.28356321435,180146.15377615404,172591.59537729714,175015.2018119542,179551.07416050023,180829.23075523102,176331.94912769532
EAF,electricity,148310.39969423998,147931.21574848457,148597.2920254523,148740.73819105848,148884.18435666466,149027.63052227077,149171.07668787698,149314.52285348315,149457.96901908927,149601.41518469545,146372.81175810017,149888.30751590774,150031.75368151395,150175.19984712012,148178.2679396994,149454.16022150373,150605.5383439386,150748.98450954477,150892.4306751509,151035.87684075706,146621.39819310006,151322.76917196938,144976.9401169296,147012.76952204155,150822.90229482017,151896.55383439406,148118.83726726405
SMR,natural_gas,0.0,0.0,4595.861962295312,453.9268187999999,62.39788216145512,356.65678619999994,259.38675359999996,194.54006520000002,0.0,64.84668839999999,0.0,0.0,0.0,7264.348424524822,0.0,0.0,0.0,0.0,3964.6696550546408,0.0,0.0,0.0,8133.729200682999,0.0,2852.1659322898404,190905.07117694008,319681.4134684465
SMR_CCS,natural_gas,0.0,0.0,0.0,0.0,0.0,2152.3106277147535,0.0,0.0,2161.55628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2088.7897739927903,10707.814970078149,0.0,49532.878969206045,94004.64395441234,74298.78569249282,41255.68477774515,1500.505065271529
anaerobic_digestion,wet_biomass,22019.666103038253,20875.90223248886,26514.76207771933,21936.973177993943,23021.327680665985,33239.60609139489,17325.403467509506,40085.14897361974,24201.488214536173,19893.2432876904,39373.82093204487,15962.739840497868,39188.44463043367,26883.4456935638,23456.086593434342,10618.264584421597,16291.489254340991,39548.129445077066,32279.767687349027,40054.28074229644,34370.69867022272,18023.790845671105,101654.47103690876,117032.8505377099,109340.28566974326,158719.37992431433,159498.48331522208
biomass_to_coal_conversion,biomass_cement,76494.2021599919,77619.23668508868,76323.52121808271,78782.61943695684,79449.0454075236,79812.01184975068,81433.28087478991,82106.7645363581,76049.68989591271,74845.11783800993,78894.6091896653,79546.31821576109,80387.8877940681,82029.63777847859,80596.38886388809,83805.34051428277,81991.37414538623,82548.031897402,86815.78576951708,86753.7412516755,90062.13731296877,88696.27935097998,92004.2704908486,92418.38652408478,61939.66501119375,75460.9341919986,91353.7958380145
biomethane_DRI,biomethane,50645.53591020344,48014.863223903725,56388.45672237124,50001.414222632324,52949.37136175993,73975.00864980982,39589.28031367426,92001.8557525003,53502.20059597447,45689.88740169244,90560.33150569227,36714.52192027663,90133.96345377812,61832.29608897324,53949.322860836146,24422.155077100135,37470.65010888493,90961.24349113819,70279.24148931495,90956.99652545371,68345.26628992168,41364.571769747934,183174.42976825396,178554.85756118127,175770.07909659672,132896.00821182271,92073.24743476091
biomethane_SMR,biomethane,0.0,0.0,4595.861962295312,453.9268187999999,0.0,324.23344199999997,259.38675359999996,194.54006520000002,0.0,64.84668839999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3964.6696550546408,0.0,0.0,0.0,8133.729200682999,0.0,2852.1659322898404,190905.07117694008,273274.96021725464
biomethane_SMR_CCS,biomethane,0.0,0.0,0.0,0.0,0.0,2152.3106277147535,0.0,0.0,2161.55628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1168.401934218857,10707.814970078149,0.0,42498.52725607051,90622.31373857927,72861.92091651847,41255.68477774515,1500.5050652715292
biomethane_haber_bosch,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.3959051016645,0.0,0.0,0.0,0.0,0.0
carbon_conversion,carbon,13991.048936623572,13995.886556777119,17282.39643961259,18970.50118369942,20008.65484028658,21867.351203071445,24333.281526701277,25784.667781156644,24569.840094466104,27513.541056947695,29135.372555302936,30123.292429382946,32229.966298364696,36029.563376541206,37839.96059052399,36122.78709124147,41423.238407854544,39663.03641241285,39349.08468990404,39751.56402783428,41739.01187376775,46442.6642690622,45209.245008542195,45701.69639390441,47894.09929951289,40304.52124480948,58683.41448986472
carbon_evaporation,carbon_liquid,13842.087809198623,13367.394546331972,16361.613343983146,67731.4697727537,168598.72125736478,320821.7252402571,245465.32578666596,516543.69444201177,346840.4591270358,463173.11521804234,461885.3699740466,574438.6340726359,556049.9539329129,618407.4995539191,689475.8483386745,969029.7351403639,1030858.8798229046,906207.6576975205,855724.1522023671,1320164.2290466563,1108715.9497136443,1483344.7526208558,1025289.9822805604,1434176.8273484583,1766215.7988771386,2079643.9498813595,3130175.5650689155
carbon_liquefication,carbon,0.0,0.0,0.0,49954.105235131545,152001.99062222545,302567.6372315467,223963.18816732278,493467.47843826824,328149.0813265734,441045.4441046426,441300.93170580233,548704.0438888223,529775.3618090362,587970.0947068458,656031.7155163327,937829.3719729146,991578.7479075448,872147.158379427,821130.7544845452,1285477.4108569983,1072270.5187662428,1446649.9129107862,1007030.8076022945,1422008.1643146726,1745284.8006495452,2047212.0,3090361.6484038965
carbon_liquefication,electricity,0.0,0.0,0.0,3794.5138336605914,11546.071207664245,22983.037724108282,17012.24377318984,37483.78966217086,24926.204217566512,33501.811934188656,33521.21877237274,41679.559173794936,40241.736483014385,44662.20839393201,49832.16911062062,71237.51909506258,75320.3216910571,66248.29815050127,62373.092110646045,97644.86412869759,81449.6686054838,109887.52738470334,76494.06014547028,108015.74016134252,132571.83345733944,155506.22352,234743.87081275997
carbon_storage,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63731.09507863985
carbon_storage,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2403.299595415509
cement_plant,coal_for_cement,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837
