carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76494.2021599919,77619.23668508868,76323.52121808271,78782.61943695684,79449.0454075236,79812.01184975068,81433.28087478991,82106.7645363581,76049.68989591271,74845.11783800993,78894.6091896653,79546.31821576109,80387.8877940681,82029.63777847859,80596.38886388809,83805.34051428277,81991.37414538623,82548.031897402,86815.78576951708,86753.7412516755,90062.13731296877,88696.27935097998,92004.2704908486,92418.38652408478,61939.66501119375,75460.9341919986,91353.7958380145
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,0.0,352.0993782014446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.527619113748017,0.0,0.0,0.0,1685.850149650093,879.4987767205313,0.0,0.0,0.0,0.0,2415.4905313420013,0.0,417.87810052218316,14.351606214928477,2.904123325274198,0.0,12.241963412619384
coal_for_cement,11945.322920869341,11456.014255923375,10966.70559097741,10631.015213292067,10195.394268046433,10006.197047244528,9791.736579745928,9231.845478135918,8951.642047865414,8671.438617594915,8391.235187324412,8117.731044624295,8096.041177582512,7859.42283752316,7730.2687339725935,7606.3835808336835,7471.960526871459,7320.878429460057,7169.796332048655,7134.992585438263,11200.321672749147,14402.238913895564,14396.235492272583,12271.64452820358,43539.52830666822,32353.294083023666,6187.192824145159
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
