technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,electricity,4068.777193582659,4068.777193582659,3997.967358178867,3962.562440476969,3927.1575227750727,3891.752605073175,3856.347687371278,3820.9427696693806,3785.537851967483,3750.1329342655863,3714.7280165636885,3679.3230988617916,3643.918181159894,3608.5132634579973,3573.1083457561,3537.7034280542025,3502.298510352305,3466.893592650408,3431.488674948511,3396.0837572466135,3360.678839544716,3325.2739218428187,3289.869004140922,3254.4640864390244,3219.0591687371275,3183.65425103523,3148.2493333333327
BF_BOF,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,iron_ore,129735.59946856002,257777.59946855996,258276.24566328613,258525.56876064927,258774.8918580124,259024.2149553754,259273.53805273856,259522.86115010164,259772.18424746467,260021.5073448278,260270.83044219093,260520.15353955395,260769.4766369171,261018.7997342802,261268.12283164327,261517.44592900635,261766.76902636944,262016.09212373255,262265.4152210956,262514.7383184587,262764.06141582184,263013.3845131849,263262.707610548,263512.0307079111,263761.3538052742,264010.67690263723,264259.99999999994
DRI,natural_gas,243476.39900264004,483774.39900264,484710.2144639754,485178.12219464325,485646.0299253109,486113.93765597855,486581.8453866464,487049.7531173141,487517.6608479817,487985.56857864955,488453.4763093173,488921.38403998484,489389.2917706527,489857.1995013204,490325.1072319881,490793.0149626558,491260.9226933236,491728.8304239913,492196.738154659,492664.64588532667,493132.55361599446,493600.46134666214,494068.3690773298,494536.2768079976,495004.1845386653,495472.092269333,495939.99999999994
EAF,direct_reduced_iron,176559.999636,176559.999636,176901.53812553844,177072.30737030774,177243.07661507698,177413.84585984616,177584.61510461546,177755.3843493847,177926.1535941539,178096.92283892317,178267.6920836924,178438.46132846162,178609.2305732309,178779.99981800013,178950.76906276937,179121.5383075386,179292.30755230784,179463.0767970771,179633.84604184632,179804.61528661556,179975.38453138483,180146.15377615404,180316.92302092328,180487.69226569255,180658.46151046178,180829.23075523102,180999.99999999994
EAF,electricity,148310.39969423998,148310.39969423998,148597.2920254523,148740.73819105848,148884.18435666466,149027.63052227077,149171.07668787698,149314.52285348315,149457.96901908927,149601.41518469545,149744.86135030162,149888.30751590774,150031.75368151395,150175.19984712012,150318.64601272627,150462.09217833242,150605.5383439386,150748.98450954477,150892.4306751509,151035.87684075706,151179.32300636324,151322.76917196938,151466.21533757556,151609.66150318173,151753.10766878788,151896.55383439406,152039.99999999997
SMR,natural_gas,465303.19594252564,465303.19594252564,474909.8852096638,479709.864305161,484509.8434006582,489309.82249615545,494109.8015916528,489752.58053453936,485395.359477426,481038.13842031267,476680.9173631993,472323.69630608597,467966.4752489726,463616.88801607507,459275.06028281845,454918.88000075927,450562.6997187,454565.27385150053,458567.8479843011,462570.42211710167,466572.99624990224,470583.1004094886,474585.9330839814,478588.7657584742,482598.9375650034,486601.9986949681,490605.0598249247
anaerobic_digestion,wet_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_to_coal_conversion,biomass_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_evaporation,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquefication,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquefication,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant,coal_for_cement,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837
