technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,nitrogen,14181.865435979991,14181.865435979991,13935.055274237948,13811.65019336692,13688.245112495897,13564.84003162487,13441.434950753845,13318.02986988282,13194.624789011792,13071.219708140768,12947.814627269741,12824.409546398718,12701.00446552769,12577.599384656665,12454.19430378564,12330.789222914613,12207.384142043587,12083.979061172562,11960.573980301537,11837.168899430511,11713.763818559484,11590.35873768846,11466.953656817434,11343.548575946408,11220.143495075383,11096.738414204357,10973.333333333332
ASU,oxygen,14150.665332020833,14150.665332020835,13904.398152634625,13781.264562941513,13658.130973248406,13534.997383555296,13411.863793862187,13288.730204169078,13165.596614475966,13042.463024782859,12919.329435089749,12796.19584539664,12673.06225570353,12549.92866601042,12426.79507631731,12303.661486624202,12180.527896931093,12057.394307237983,11934.260717544874,11811.127127851763,11687.993538158655,11564.859948465544,11441.726358772436,11318.592769079327,11195.459179386218,11072.325589693108,10949.192
BF_BOF,steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,direct_reduced_iron,88859.99963600001,176559.999636,176901.53812553844,177072.30737030774,177243.07661507698,177413.84585984616,177584.61510461546,177755.3843493847,177926.1535941539,178096.92283892317,178267.6920836924,178438.46132846162,178609.2305732309,178779.99981800013,178950.76906276937,179121.5383075386,179292.30755230784,179463.0767970771,179633.84604184632,179804.61528661556,179975.38453138483,180146.15377615404,180316.92302092328,180487.69226569255,180658.46151046178,180829.23075523102,180999.99999999994
EAF,steel,176559.999636,176559.999636,176901.53812553844,177072.30737030774,177243.07661507698,177413.84585984616,177584.61510461546,177755.3843493847,177926.1535941539,178096.92283892317,178267.6920836924,178438.46132846162,178609.2305732309,178779.99981800013,178950.76906276937,179121.5383075386,179292.30755230784,179463.0767970771,179633.84604184632,179804.61528661556,179975.38453138483,180146.15377615404,180316.92302092328,180487.69226569255,180658.46151046178,180829.23075523102,180999.99999999994
SMR,carbon_methanol,78374.5854411546,78374.5854411546,79992.71378271653,80801.21107011163,81609.70835750674,82418.20564490183,83226.70293229695,82492.78277656926,81758.86262084157,81024.94246511388,80291.02230938619,79557.10215365852,78823.18199793082,78090.54766575531,77359.22032560756,76625.47547560337,75891.73062559916,76565.914880277,77240.09913495486,77914.2833896327,78588.46764431056,79263.92023914347,79938.14804198116,80612.37584481883,81287.8398339451,81962.10611728982,82636.37240063315
SMR,electricity,14797.12173128999,14797.12173128999,15102.62436217688,15255.268650037076,15407.912937897272,15560.557225757466,15713.201513617667,15574.637388216277,15436.073262814889,15297.509137413503,15158.945012012115,15020.380886610727,14881.81676120934,14743.495399294605,14605.420797474708,14466.889769793916,14328.358742113123,14455.644729396301,14582.930716679479,14710.216703962657,14837.502691245832,14965.02814115029,15092.322350326043,15219.616559501797,15347.144160648835,15474.445634944319,15601.74710923954
SMR,hydrogen,358283.8191595639,358283.8191595639,365680.9772924184,369376.96489193884,373072.9524914593,376768.9400909798,380464.92769050034,377109.8641214595,373754.8005524186,370399.7369833777,367044.67341433687,363689.609845296,360334.54627625516,356985.3607577386,353642.15005992027,350287.8878884725,346933.6257170247,350015.6108812663,353097.59604550793,356179.5812097495,359261.5663739911,362349.34966465586,365431.53390619956,368513.71814774326,371601.5535266061,374683.91367903916,377766.27383146586
anaerobic_digestion,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_to_coal_conversion,coal_for_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_evaporation,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquefication,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant,cement,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258
e_haber_bosch,ammonia,0.0,17231.91425999999,16932.023419487177,16782.07799923077,16632.13257897436,16482.187158717945,16332.241738461536,16182.296318205128,16032.350897948716,15882.405477692308,15732.460057435896,15582.514637179487,15432.569216923075,15282.623796666665,15132.678376410255,14982.732956153844,14832.787535897434,14682.842115641024,14532.896695384614,14382.951275128204,14233.005854871793,14083.060434615383,13933.115014358973,13783.169594102563,13633.224173846153,13483.278753589742,417.92031184061887
haber_bosch,ammonia,17231.91425999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12915.413021492714
hydrogen_compressor_low,hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_decompressor,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanol_synthesis,methanol,9997.061826269372,9997.061826269372,12458.886243127707,13689.393526399579,14919.900809671451,16150.408092943324,17380.9153762152,18611.422659487067,19841.92994275894,21072.437226030812,22302.944509302684,23533.451792574557,24763.959075846433,25995.384804512716,27227.744098913114,28458.376600558906,29689.009102204698,30919.641603850487,32150.274105496275,33380.90660714207,34611.53910878786,35843.07756768727,37073.741175161515,38304.40478263576,39535.951380316124,40766.64247386683,41997.333567417525
pv_ground,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
