technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,nitrogen,14274.871354539528,14274.871354539528,14050.152887869597,13930.32743967734,13839.65536924537,13760.417890094535,14587.758786253828,13479.377586776758,13366.640123551613,13253.90266032647,13141.165197101323,13028.427733876179,12915.690270651032,12802.952807425887,13169.712334782802,12773.484341603966,12950.646457502586,12352.002954525306,12239.26549130016,12250.292926070993,12013.790564849869,11901.053101624724,11788.31563839958,11678.268615543015,11554.86353467199,11431.458453800962,11717.671060816421
ASU,oxygen,14243.46663755954,14243.46663755954,14019.242551516285,13899.680719310049,13809.208127433032,13730.144970736328,14555.66571692407,13449.72295608585,13337.233515279799,13224.744074473752,13112.2546336677,12999.76519286165,12887.2757520556,12774.78631124955,13140.73896764628,12745.382676052439,12922.15503529608,12324.82854802535,12212.3391072193,12223.342281633639,11987.3602256072,11874.87078480115,11762.3813439951,11652.57642458882,11529.44283489571,11406.309245202601,11691.892184482625
BF_BOF,steel,3310.503246821089,67.0001723980112,375.3066022107352,0.0,0.0,452.4345204123066,2694.5693719741403,3925.445625072019,782.9396179291697,0.0,0.0,7130.717565807017,9727.269459335985,9579.862528012538,304.27014793213255,628.1378593615223,0.0,0.0,0.0,0.0,0.0,0.0,5524.408106122938,5409.102285846308,0.0,0.0,4668.050872304647
BF_BOF_CCS,carbon,0.0,63.98516464010069,276.9623377611099,0.0,0.0,432.0749669937528,0.0,3748.8005719437783,747.707335122357,0.0,0.0,748.9256001506892,4356.259684848354,5280.395860324452,290.5779912751866,599.8716556902538,0.0,0.0,0.0,0.0,0.0,0.0,5275.809741347406,5165.692682983225,0.0,0.0,4457.988583050937
BF_BOF_CCS,coal,0.0,11.498134085826095,49.77013209567145,0.0,0.0,77.64387156877737,0.0,673.659462778297,134.36300812148755,0.0,0.0,134.58193034707884,782.819865367249,948.8871361003038,52.21686503215102,107.79693652753859,0.0,0.0,0.0,0.0,0.0,0.0,948.0630105201288,928.2749751320855,0.0,0.0,801.1005483742534
DAC,carbon_liquid,13533.035804273652,13698.55513767476,17021.29555592612,17342.948407021897,19344.845339050295,21619.234267769665,23745.322974292576,20763.68934772807,22330.681194578894,25522.135927446514,26253.52456028723,26584.287198519272,24323.97598239932,28070.137360010278,31786.208234611062,32079.029527517374,34677.67883912327,36116.63905153203,41095.21512477159,44026.43026936572,35955.41781144035,43766.09849317206,41076.106713497975,38625.80830397896,46607.95855351723,48089.16129988099,113142.40626422627
DRI,direct_reduced_iron,86054.98507088356,101558.03040572829,91195.43838025874,86849.49777465545,101376.77987781828,98583.03752816698,102753.03177888354,85800.75545383246,89382.83403178633,83835.72749561068,83738.37920643786,82824.69193119301,83886.13658534101,79620.50439870395,95183.2682303743,83129.17482359227,79248.93471527474,78590.06099721891,77416.51008733996,78465.84675427891,77386.4383810469,82176.85426546297,74450.02571323434,74027.61889677084,73788.4615104618,88602.66003049084,83492.44910920424
EAF,steel,173249.49638917888,176492.99946360197,176526.2315233277,177072.30737030774,177243.07661507698,176961.41133943386,174890.0457326413,173829.93872431267,177143.2139762247,178096.92283892317,178267.6920836924,171307.7437626546,168881.9611138949,169200.13728998762,178646.49891483723,178493.4004481771,179292.30755230784,179463.0767970771,179633.84604184632,179804.61528661556,179975.38453138483,180146.15377615404,174792.51491480035,175078.58997984623,180658.46151046178,180829.23075523102,176331.94912769532
SMR,carbon_methanol,0.0,121.85085859018605,0.0,54.613125,61.16669999999999,61.390722963631084,43.96422219222082,208.01644894982923,631.3277249999999,136.43571724294742,858.9962430705356,679.7266716458432,812.6853884796914,806.2776530402541,0.0,1168.4002716951716,309.404028624636,309.404028624636,0.0,677.9663875007637,1290.304892424006,0.0,309.404028624636,1692.4584943515245,2225.9810248156964,36465.738893904745,53848.26642132806
SMR,electricity,0.0,23.00544210182713,0.0,10.310958,11.548272959999998,11.59056849553355,8.30044514989129,39.27350556172776,119.19467448,25.759063415468475,162.17849069171712,128.33239560673522,153.43500134496574,152.225220894,0.0,220.5939712960484,58.415480604331286,58.415480604331286,0.0,128.00005396014421,243.60956368965236,0.0,58.415480604331286,319.53616373356783,420.26521748520355,6884.731503169216,10166.552700346738
SMR,hydrogen,0.0,557.0324964122791,0.0,249.65999999999997,279.6192,280.6433049765992,200.9793014501523,950.9323380563621,2886.0696,623.7061359677597,3926.839968322448,3107.321927523855,3715.133204478589,3685.8406996125905,0.0,5341.258384892212,1414.4184165697645,1414.4184165697645,0.0,3099.2749142892053,5898.53665108117,0.0,1414.4184165697645,7736.95311703554,10175.913256300326,166700.52065785025,246163.50364035685
SMR_CCS,carbon,43.48805786125535,0.0,0.0,0.0,0.0,0.0,0.0,299.592,0.0,0.0,0.0,374.48999999999995,0.0,0.0,0.0,19.333671941805097,0.0,374.48999999999995,0.0,374.48999999999995,288.5304657497566,0.0,684.6937415823589,2486.4705188561597,1971.730209727691,69.09020972327454,206.42776936751645
SMR_CCS,carbon_methanol,52.850070317497824,0.0,0.0,0.0,0.0,0.0,0.0,364.08750000000003,0.0,0.0,0.0,455.10937499999994,0.0,0.0,0.0,23.495781873721473,0.0,455.10937499999994,0.0,455.10937499999994,350.64466323755147,0.0,832.0930887285613,3021.752366665472,2396.1999076551797,83.9637965387017,250.86708082857905
SMR_CCS,electricity,3.865605143222698,0.0,0.0,0.0,0.0,0.0,0.0,26.6304,0.0,0.0,0.0,33.288,0.0,0.0,0.0,1.718548617049342,0.0,33.288,0.0,33.288,25.64715251108948,0.0,60.86166591843192,221.0196016761031,175.26490753135033,6.1413519754021815,18.349135054890354
SMR_CCS,hydrogen,241.6003214514186,0.0,0.0,0.0,0.0,0.0,0.0,1664.4,0.0,0.0,0.0,2080.5,0.0,0.0,0.0,107.40928856558388,0.0,2080.5,0.0,2080.5,1602.9470319430925,0.0,3803.8541199019946,13813.725104756442,10954.056720709394,383.83449846263636,1146.820940930647
anaerobic_digestion,biomethane,49187.5119378354,48098.24855342671,41972.901713411666,39536.12479718195,66986.1640120864,84090.52136459194,72467.4933841568,54607.92120029359,84643.13061052904,84557.2815754032,78742.63089169322,70966.377856922,83888.3279120999,49660.688273175445,80184.30266779805,53089.91905743154,67951.23929444402,91675.32518276895,30592.728349977006,85800.30023712481,49779.52184805286,68158.80346581074,170958.8671234093,190854.89912600355,190029.75524731746,367532.68355771556,366848.7127172871
biomass_to_coal_conversion,coal_for_cement,76717.22408424717,76498.12972304801,77994.28646101673,79151.58392510298,78931.91518230079,80619.56113242506,80898.10757360158,82106.7645363581,78335.07178582363,76368.3612155973,78721.08993005083,79192.61762624183,80571.82327741235,81564.5965631577,82657.13326011975,82027.69785575096,81354.07876437767,82881.00668022524,88055.62564427294,87386.81442682065,86321.35412215216,87411.95579460112,92004.2704908486,92695.41589234806,57165.91870674952,69063.80020038805,90420.57377281114
biomethane_DRI,natural_gas,48873.74560036645,47948.40465739591,41972.90171341168,39211.89135518195,66661.9305700864,83726.04990441883,72206.48156536346,51875.714062373576,80894.99202100905,84223.32113014322,73506.03876222718,68264.43250692199,79063.48441944357,44873.88695658856,80184.30266779807,46013.734349911916,66114.33409684486,87136.4746351698,30592.72834997701,80537.71240522605,43964.1849572317,68158.80346581074,163585.67364591247,162835.91055151873,162588.26323817493,207624.10074681294,92073.24743476091
biomethane_SMR,natural_gas,0.0,0.0,0.0,324.23344199999997,324.23344199999997,364.47146017310916,261.0118187933128,570.6508579199999,3748.1385895199996,333.96044526,5099.787066860363,0.0,4824.843492656343,4786.8013165868715,0.0,6936.692264459516,1836.9051975991533,1836.9051975991533,0.0,2560.642481898753,3733.5895804366687,0.0,1836.9051975991533,10047.981013094057,13215.458545957234,159908.58281090282,273286.0889265395
biomethane_SMR_CCS,natural_gas,313.7663374689574,0.0,0.0,0.0,0.0,0.0,0.0,2161.55628,0.0,0.0,0.0,2701.94535,0.0,0.0,0.0,139.49244306012378,0.0,2701.94535,0.0,2701.94535,2081.747310384494,0.0,4940.06534551672,17939.884793547193,14226.033463185291,0.0,1489.3763559866313
biomethane_haber_bosch,natural_gas,0.0,149.8438960307974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.80506260568515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.2229343809389,31.122767843552683,0.0,0.0,0.0
carbon_conversion,carbon_methanol,13728.411577541228,13995.66311791637,17420.902805589445,18827.634874511936,20658.350653609865,22610.381441585676,24333.281526701277,25944.09437433206,26659.144940772614,29068.908314675453,30836.44735311816,31998.96625823058,34292.98988096444,35958.06276723176,37365.17366766409,37032.087508200224,39479.99098955399,40545.850816599734,44518.97436452113,46642.99970302936,44188.590946169665,48111.48003216138,49748.87217178396,48488.21622961433,51713.20014713015,49626.79900635939,58359.854747551435
carbon_evaporation,carbon,13533.035804273652,13698.555137674763,17021.295555926117,42308.9484070219,69290.0006157397,96517.23426776967,123675.31221462646,167698.8123925748,213696.92908801476,211601.55426574073,371120.8742301246,338591.87979144644,278194.67738296965,307427.37004402635,633148.980980909,357392.55326193245,386215.5001121027,410606.639051532,455377.7925784681,1225278.781779525,849183.7739168996,764491.0803061824,544545.6654208652,652588.5973167268,596214.2023923324,622307.161299881,652277.9016490531
carbon_liquefication,carbon_liquid,0.0,0.0,0.0,24966.0,49945.15527668941,74898.0,99929.9892403339,146935.12304484672,191366.24789343588,186079.4183382942,344867.3496698374,312007.59259292716,253870.7014005703,279357.2326840161,601362.772746298,325313.52373441507,351537.82127297943,374490.0,414282.57745369663,1181252.3515101594,813228.3561054593,720724.9818130103,503469.5587073673,613962.7890127479,549606.2438388153,574218.0,602866.7577486072
cement_plant,cement,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258
cement_plant_oxy_combustion,carbon,17.17178886996841,17.17178886996841,21.398690772187397,591.4155880097354,690.4475964833933,531.4077908068405,363.4650837235534,596.45752568009,1864.960240281339,2562.388940321199,2854.6909141559254,2929.0714280330662,347.5166651727878,1114.4986152375475,3989.9243301207107,1562.2109176977244,3200.1037986033816,1340.5185737586912,1544.9334879026228,1534.0210015921891,670.778931794222,987.3422175452065,1569.4757672595274,1011.7986059452426,1617.665946691286,1371.5565390174133,3532.818119771128
e_haber_bosch,ammonia,17231.91425999999,16634.926626411154,16462.673929133492,16003.224017963013,16632.13257897436,16482.187158717945,16332.241738461536,16182.296318205128,16032.350897948716,15882.405477692308,14694.301371381629,14846.295268336637,14573.685736764335,15282.623796666665,15132.678376410255,14982.732956153844,14832.787535897434,14682.842115641024,14532.896695384614,14019.68007355145,14053.263845042098,13771.82570159111,11557.724837542484,13659.174503092392,13633.224173846153,13483.278753589742,13333.333333333332
electrolysis,hydrogen,526484.1064135404,580151.8419730695,570487.2741418884,559380.9403338867,577434.8947401476,562972.6305555882,603553.1114186964,562866.7987539577,509122.41531483934,508986.64233698795,497751.23069760593,518752.36576801335,481861.38605722977,501458.3183050129,508170.99619232834,495754.68564801925,466080.88536221185,449212.1099442869,495738.6476630634,470007.17963952443,460718.75395341316,478630.84866461594,380198.373345713,366949.45373886556,369964.38906034274,286417.2027626537,310014.66389074665
electrolysis,oxygen,3284.734339914079,3619.5673420699804,3559.2701033712415,3489.9776867431187,3602.616308283781,3512.3862420363143,3765.567862141246,3511.7259574259424,3176.414749149282,3175.5676615404677,3105.4699283223636,3236.496010026635,3006.3331876110565,3128.5984479049753,3170.478845243936,3093.0134837579917,2907.8786437748395,2802.6343539424056,3092.913422769853,2932.3747937709927,2874.4243059153446,2986.1778648185386,2372.0576513039036,2289.397641876782,2308.2078233474786,1786.9569280361964,1934.1814880143684
gasification,carbon_methanol,7370.692426550135,5281.0607300789525,5129.925102742225,4143.131666755844,4382.594628316343,3360.764608929565,2717.4127896534055,4345.892058562429,4698.3451155150215,7152.530697287017,9767.127714117092,5897.2792313262,7528.939561900326,10493.859670267575,9721.347040042712,10301.958596036176,11391.422134628314,8831.513850302541,8548.287733186895,8020.662590870192,11288.188937964318,10000.291657501151,6963.4162925865985,6495.006629674231,6258.051386359995,4719.378492801779,5435.112860368185
gasification,hydrogen,33694.593949943475,24141.991908932356,23451.08618396446,18940.030476598145,20034.71830087471,15363.495355106583,12422.458466986996,19866.93512485682,21478.14909949724,32697.28318759779,44649.726693106706,26958.990771776917,34418.00942583007,47971.92992122319,44440.44361162383,47094.66786759395,52075.07261544372,40372.63474424019,39077.88678028295,36665.886129692306,51603.14943069402,45715.61900571955,31832.760194681592,29691.45887851077,28608.234909074265,21574.301681379562,24846.23021882599
gasification_CCS,carbon,134.71592653635287,215.9510267315406,101.24622113002741,893.2708794803074,623.0577180761732,27.66441601541379,224.4934686851426,535.5549289801173,1715.7961707900183,984.3834469077507,1728.2318786750027,1362.1920315275572,5265.237548543964,1493.0309316594842,1298.4631116571113,2771.641735353069,1602.2083518273255,2714.2031913089863,1878.8257518469304,708.0584320714429,7273.863737185326,3358.0393214441415,1142.7862080967038,1198.446117850741,1515.8454371939185,96.99095773767746,751.4763749159575
gasification_CCS,carbon_methanol,95.99058283331331,153.8738993404707,72.142054958285,636.4918725938672,443.9539929288693,19.712022812285884,159.96073705170994,381.60469288078394,1222.5746330954935,701.4132866810113,1231.4355813034424,970.6172863083165,3751.6961359739157,1063.845329969095,925.2078360748961,1974.9075883012504,1141.6386871733794,1933.980286966908,1338.7398476108015,504.52046259162256,5182.924079834821,2392.7397445143515,814.2817036519673,853.9416556346893,1080.101594091758,69.11000653132555,535.4575146998884
gasification_CCS,hydrogen,438.81409295228946,703.4235398421517,329.79225123787427,2909.6771318576784,2029.503967674831,90.11210428473547,731.2490836649597,1744.4785960264408,5588.912608436542,3206.460739113195,5629.419800244308,4437.107594552303,17150.61090730933,4863.292937001577,4229.521536342382,9028.148975091432,5218.919712792591,8841.052740420151,6119.953589077949,2306.379257561703,23693.36722210204,10938.238832065606,3722.4306452661363,3903.7332829014367,4937.607287276607,315.93145842891687,2447.8057814852036
h2_to_ng,natural_gas,179228.07275227344,217970.42630675292,198233.52171371185,183930.10731685723,197905.95678740586,175034.28950865223,209233.073923028,183779.76344776544,136468.79698693767,144156.0703257922,155502.6045749131,162795.91276202083,149559.8845667217,173188.38279022693,175500.8038366713,181663.960726845,150932.33726599577,126359.41290301326,167182.1309262123,135921.3674139916,163809.97373959038,156992.6582969034,40316.99214857983,39910.19474873731,39503.3850064681,92143.15485618425,183015.44844737573
haber_bosch,ammonia,0.0,596.9876335888342,469.3494903536853,778.8539812677536,0.0,0.0,0.0,0.0,0.0,0.0,1038.1586860542675,736.21936884285,858.8834801587398,0.0,0.0,0.0,0.0,0.0,0.0,363.27120157675347,179.7420098296949,311.23473302427374,2375.3901768164897,123.99509101017041,0.0,0.0,0.0
hydrogen_compressor_low,hydrogen_low,161809.7301665382,454873.38146350323,843518.9796149788,554419.9353436426,597580.4667168948,517680.32624066493,506275.1753633325,490867.42502212635,211498.42115107874,183523.4004610999,298344.22501891234,215965.8136046984,146315.18574802944,428606.3860445612,598900.9787682528,168653.9534221524,134029.611281057,133672.3576606115,160458.9250151076,276824.72592306254,260049.9567078369,150737.8265213201,1614676.0499999998,869440.95,869440.95,882405.3885691318,1068473.1899472927
hydrogen_decompressor,hydrogen,161809.73016653812,454873.3814635033,843518.9796149789,554419.9353436426,597580.4667168948,517680.326240665,506275.1753633325,490867.4250221264,211498.4211510788,183523.4004610999,298344.22501891234,215965.81360469834,146315.18574802947,428606.3860445613,598900.9787682528,168653.95342215244,134029.611281057,133672.35766061154,160458.9250151076,276824.72592306254,260049.95670783686,150737.8265213201,1614676.0499999998,869440.95,869440.95,882405.3885691317,1068473.1899472927
hydrogen_for_cement_conversion,coal_for_cement,22534.108644107888,27014.248565188194,26114.86472867422,25387.205907698946,25796.910011656997,24302.243045748164,24665.70029866037,23737.246766174354,27789.142946979322,30036.05694747616,27910.72195887909,27765.50804800197,26515.456562182288,25651.837379987515,24688.454786576018,24526.814245215977,26249.817489419238,24873.971670983075,19850.434804346776,20667.192292587508,19138.430473602522,15185.222025659286,7109.360667353096,9302.36122558918,9166.212700629108,4130.52459104341,18468.090183712073
methanol_synthesis,methanol,9997.061826269372,9997.061826269372,12458.886243127707,13689.393526399579,14919.900809671451,16150.408092943324,17380.9153762152,18611.422659487067,19841.92994275894,21072.437226030812,22302.944509302684,23533.451792574557,24763.959075846433,25995.384804512716,27227.744098913114,28458.376600558906,29689.009102204698,30919.641603850487,32150.274105496275,33380.90660714207,34611.53910878786,35843.07756768727,37073.741175161515,38304.40478263576,39535.951380316124,40766.64247386683,41997.333567417525
pv_ground,electricity,8035084.63597132,8035083.30445265,8034645.905625162,8007975.5125751635,8008358.631909726,8038373.760903649,8038373.760903649,8038373.760903649,8038373.760903649,8038373.760903649,8038373.760903649,8038373.760903649,8038373.760903649,8038373.760903649,8038373.760903649,8089338.847602698,8089338.847602698,8252732.56114872,8252732.56114872,8252732.56114872,8252732.56114872,8252732.56114872,8252732.56114872,8252732.56114872,8252732.56114872,8252732.56114872,8252732.56114872
refinery,oil_products,356899.00019999995,356899.00019999995,344704.99033333344,338607.9855,332510.98066666664,326413.9758333332,320316.971,301186.5998661836,282056.2287323671,262925.8575985507,243795.48646473425,224665.11533091785,205534.74419710142,186404.373063285,167274.00192946856,148143.63079565216,129013.25966183575,121779.83369565217,114546.40772946858,107312.98176328502,100079.55579710145,92846.12983091787,85612.70386473429,78379.27789855072,71145.85193236714,63912.42596618357,56678.999999999985
scrap_conversion_BF_BOF,coal,0.0,2.457954720272032,171.85551244372704,0.0,0.0,274.06854482304055,1632.273121044543,2377.893643626127,0.0,0.0,0.0,4319.531995533522,5892.429656765204,5803.135844418987,96.75022203519683,380.5033022382731,0.0,0.0,0.0,0.0,0.0,0.0,3261.15024102475,3276.639437083403,0.0,0.0,2827.7371686107517
scrap_conversion_BF_BOF,iron_ore,0.0,4.650184605920061,325.1320505692133,0.0,0.0,518.5080577733199,3088.0842830572433,4498.717704157536,0.0,0.0,0.0,8172.087559117474,11147.839891177411,10978.905651603487,183.04096060712916,719.8711123426789,0.0,0.0,0.0,0.0,0.0,0.0,6169.743699236013,6199.047583671303,0.0,0.0,5349.773021696017
scrap_conversion_BF_BOF,limestone,0.0,0.39858725193600525,27.868461477361137,0.0,0.0,44.443547809141705,264.69293854776373,385.60437464207456,0.0,0.0,0.0,700.464647924355,955.5291335294924,941.0490558517276,15.689225194896784,61.703238200801046,0.0,0.0,0.0,0.0,0.0,0.0,528.8351742202298,531.3469357432546,0.0,0.0,458.55197328823
scrap_conversion_EAF,direct_reduced_iron,87194.51131829534,74934.96905787368,85330.79314306898,90222.80959565227,75866.29673725869,78378.37381126688,72137.01395375778,88029.18327048021,87760.3799444384,94261.19534331249,94529.31287725455,88483.05183146158,84995.8245285539,89579.63289128365,83463.23068446293,95364.22562458481,100043.37283703311,100873.01579985819,102217.33595450636,101338.76853233665,102588.94615033791,97969.29951069107,100342.48920156602,101050.97108307539,106869.99999999997,92226.57072474017,92839.50001849106
wind_offshore,electricity,131218.3427802137,131210.32630492028,131202.30918526748,131253.763780176,131253.763780176,131253.763780176,131253.763780176,131253.763780176,131253.763780176,131253.763780176,131253.763780176,131253.763780176,131253.763780176,131253.763780176,131253.763780176,134585.476480176,134585.476480176,138763.382579376,138763.382579376,138763.382579376,138763.382579376,138763.382579376,138763.382579376,138763.382579376,138763.382579376,138763.382579376,138763.382579376
wind_onshore,electricity,4117619.824936663,4117618.655288227,4117181.418380674,4110720.675991867,4117644.9266142934,4117644.9266142934,4117644.9266142934,4117644.9266142934,4117644.9266142934,4117644.9266142934,4117644.9266142934,4117644.9266142934,4117644.9266142934,4117644.9266142934,4117644.9266142934,4118705.605920954,4118705.605920954,4350032.208337416,4350032.208337416,4350032.208337416,4350032.208337416,4350032.208337416,4350032.208337416,4350032.208337416,4350032.208337416,4350032.208337416,4350032.208337416
