carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76717.22408424717,76498.12972304801,77994.28646101673,79151.58392510298,78931.91518230079,80619.56113242506,80898.10757360158,82106.7645363581,78335.07178582363,76368.3612155973,78721.08993005083,79192.61762624183,80571.82327741235,81564.5965631577,82657.13326011975,82027.69785575096,81354.07876437767,82881.00668022524,88055.62564427294,87386.81442682065,86321.35412215216,87411.95579460112,92004.2704908486,92695.41589234806,57165.91870674952,69063.80020038805,90420.57377281114
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,2582.1925325204493,38.30404566435062,71.11350518497494,0.0,0.0,1.186509529781248,469.4909890952864,10.294481151751432,476.32989386326483,0.0,0.0,1107.8457754488727,912.0206561496165,720.2697913304887,88.36362831971553,1.6472915361756417,0.0,0.0,0.0,0.0,0.0,0.0,99.82507123101352,14.185370744632056,0.0,0.0,12.241963412619384
coal_for_cement,15824.52405231332,11563.47849243216,10966.705590977412,10537.066947866439,10347.031586710584,10154.052602495141,9512.048908406416,9231.845478135916,8951.642047865414,8671.438617594915,8444.044891738451,8117.731044624295,7988.5769410737275,7859.42283752316,7730.2687339725935,8521.344679701435,7471.960526871459,7320.878429460057,7169.796332048655,7021.850061260214,9616.072184913684,12478.67896040797,15962.22562246666,13078.079662731136,48743.72537328974,41881.5319892369,6187.192824145159
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,55053.77383238657,40073.170577328405,38356.17882813785,35241.3934016784,35587.384096943555,24925.123471252256,21215.61490844654,34857.04919041261,43656.4638287264,57909.148579392146,81095.23537912585,50638.7670550524,83175.02773532053,85217.93094803074,78499.7867871547,90520.49128556726,92409.48022621234,79376.75654400866,72899.59673174219,62858.36684310199,121445.75170929477,91377.00730656368,57346.96730575169,54185.68543714175,54106.088878494316,35306.7570311971,44022.55066490192
electricity,89366.59092881544,2203166.6042551417,273135.51080897974,290641.02081316675,264346.5308173537,237816.56810835045,227014.11255326934,297505.01791892806,281649.01853661495,281554.75239205867,290058.3077568106,231707.7398139125,250009.88781973787,38573.472155258954,53323.42166927703,245798.88170067125,245854.8893801644,254945.08545274605,158211.99751048023,254609.4024358321,254685.67323839653,281094.83786754316,278279.51702488284,278244.11743543006,280723.3219014278,225599.01796923747,280666.92743458407
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,130175.66765163488,148361.86444394267,133334.37802963724,126800.26675099696,148010.09862161468,144032.56202631534,150622.9021537173,126148.24576478652,131571.564962971,122400.16214359159,122258.03364139929,122521.04572557994,124652.27868271076,118391.44243388146,139201.38075840636,121509.27299742731,115703.44468430112,114741.48905593962,113028.10472751634,114560.13626124721,112984.20003632848,119978.20722757594,110095.73294747455,109291.74613722356,107731.15380527423,129359.88364451662,122944.43237279955
limestone,893.8358766416941,17.69145929552702,73.46432111953735,0.0,0.0,77.71377270218109,462.84079188525413,674.2659441273706,211.39369684087583,0.0,0.0,1224.8290948435397,1670.8336204912237,1645.5138267116577,66.463714746779,107.89398382680994,0.0,0.0,0.0,0.0,0.0,0.0,962.7550144329637,929.1106814352488,0.0,0.0,801.8217622340247
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,7688.84074158108,13073.590450637339,9786.884456864238,15021.11757981498,13243.397520769851,11357.183414106481,103.75158574948384,102.9174028757537,27545.176239147826,1806.5485955591985,558.2884560934427,99.580671380833,1440.2250111889298,97.91230563337314,5117.0484467562355,96.24393988591254,95.40975701218264,1840.8795941967885,14346.37836312221,92.90720839099221,8236.637680036158,91.2388426435323,90.40465976980215,89.57047689607207,88.73629402234192,87.90211114861178,87.06792827488127
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,87608.32422414797,74946.66563985622,85609.94364732332,90222.80959565227,75866.29673725869,78805.29102472794,74679.60961315257,91733.23376229817,87858.24739667954,94261.19534331249,94529.31287725455,95211.59692655709,94174.47599038333,98619.19117271628,83632.00799624526,95956.93650867835,100043.37283703311,100873.01579985819,102217.33595450636,101338.76853233665,102588.94615033791,97969.29951069107,105439.99999999996,106154.99999999997,106869.99999999997,92226.57072474017,97244.27282159773
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,21385.746440332077,20912.156506058865,18248.978206957123,17189.51633931877,29124.244389174924,36560.87687889728,31507.41677356369,23742.431979463643,36801.140326845816,36763.81488335381,34235.72105909038,30854.761764632545,36472.967209622795,21591.47404741122,34862.531113905236,23082.43500779009,29543.83982043837,39858.597882964285,13301.106432003002,37304.25453709713,21643.140509096418,29634.08457086519,74329.4962479159,82979.89304200382,82621.13698642868,159795.86015722356,159498.48331522208
