technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,4068.777193582659,3997.967358178867,3927.1575227750727,3856.347687371278,3785.537851967483,3714.7280165636885,3643.918181159894,3573.1083457561,3502.298510352305,3439.0209905754723,3737.032642407163,3915.913827178783,3840.8090084429755,6335.607046868577
BF_BOF,coal,93929.91980635107,88986.23981654312,84042.55982673517,79098.87983692723,74155.19984711928,69211.51985731132,64267.83986750337,59324.15987769542,54380.479887887464,49436.79989807952,44493.11990827156,39552.208829734045,34608.52883992609,13522.465061804993
BF_BOF,iron_ore,164979.47453166792,156296.34429315908,147613.21405465025,138930.0838161414,130246.95357763256,121563.82333912373,112880.6931006149,104197.56286210606,95514.43262359721,86831.30238508838,78148.17214657954,69469.90525222519,60786.775013716346,23750.996326503642
BF_BOF,limestone,32514.203009890756,30802.92916726493,29091.6553246391,27380.38148201327,25669.10763938744,23957.83379676161,22246.55995413578,20535.28611150995,18824.012268884122,17112.738426258293,15401.464583632463,13691.149210292553,11979.875367666724,4680.853290624806
BF_BOF,scrap,15052.871763838311,14260.615355215243,13468.358946592174,12676.102537969105,11883.846129346037,11091.589720722968,10299.333312099898,9507.07690347683,8714.82049485376,7922.564086230691,7130.307677607621,6338.495004765071,5546.238596142001,2167.061708622595
BF_BOF_CCS,electricity,28.323876399440902,28.323876399440902,6808.163700839409,12224.606648333753,15366.961684021464,18098.602108180403,20657.872838081897,20668.53620068463,20377.663484956014,19639.90002137135,18155.867485374838,16203.37367446116,14178.09375781603,5539.755196467118
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5295471443458893,23.4825980018649,39.607763655612615,23213.08651088572,23190.130244217875,25562.305086756947
DRI,iron_ore,32018.786101794314,44092.414027822684,43426.425345909505,40147.84353161611,35444.41992692636,34310.32478677099,38640.32336532541,88271.73628890885,108346.8635957436,107279.61028416305,106212.35697258251,105144.81134916906,104077.5580375885,104714.44376532144
DRI,natural_gas,60090.05062939481,82748.7770111193,81498.90784095347,75345.95292919737,66518.9798628618,64390.60953133734,72516.77124725452,165660.65577507555,203335.89469338185,201332.96724562108,199330.03979786034,197326.56376487893,195323.63631711816,196518.88761437038
EAF,direct_reduced_iron,56137.02552529348,62816.6152838165,69496.20504233957,76175.79480086261,82855.3845593856,89534.97431790868,96214.5640764317,102894.15383495473,109573.74359347777,116253.3333520008,122932.92311052384,129608.96298280272,136288.55274132575,163663.5063310192
EAF,electricity,47155.10144124652,52765.95683840586,58376.812235565245,63987.66763272459,69598.5230298839,75209.37842704328,80820.23382420263,86431.08922136198,92041.94461852133,97652.80001568067,103263.65541284003,108871.52890555428,114482.38430271363,137477.34531805612
SMR,natural_gas,465898.81149418536,469270.282867477,473841.7879629747,467301.16910720285,437530.61201238853,412417.49585428816,409051.8740811154,405379.04809172184,399751.24301926495,397329.860633062,392559.6100410012,375200.93419901916,229679.40796899408,105321.42753379671
SMR_CCS,natural_gas,2701.94535,4752.568065979523,5410.423637578626,12253.678453332366,25142.35192694994,35991.041707715885,36523.25682524303,39083.91434523505,39825.395934231456,45975.14861938705,48341.793460976856,50892.17790882787,77429.86892008476,77736.11492014278
anaerobic_digestion,wet_biomass,810.5329034357521,1253.1501496550904,2054.823455939268,4756.288176739311,23098.786694102848,45175.82382934309,58573.2937660382,80852.83062199177,103041.72941931253,122469.56249297228,139227.63040903592,152123.6234977835,160915.41841538312,161658.49121978442
biomass_to_coal_conversion,biomass_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185198,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane_DRI,biomethane,0.0,58.71980618590508,514.4581889134175,2533.6040233760696,8851.87799648757,17645.587154086268,20884.87566285163,58786.4038565524,85126.17877820694,95958.14130898567,110069.22175989527,124285.07320594833,167371.6515671277,188428.29196629673
biomethane_SMR,biomethane,1728.6673649032612,2572.9672089539868,3737.5737225754046,7826.415714836133,43515.33850620656,84756.47071559081,105754.38467814373,116865.87405404088,140421.77795362406,165022.6637501129,185860.05522433098,201175.43204230972,152493.8441023564,105321.42753379671
biomethane_SMR_CCS,biomethane,0.0,0.0,0.0,0.0,0.0,389.1103796679157,6857.1313880038315,9289.761959379659,10553.977444839948,19832.68427504536,23498.945056980723,23680.29294978341,49741.960570567906,77736.11492014278
biomethane_haber_bosch,biomethane,135.5694984201488,250.57562264264288,474.0903939053278,579.5087054588755,760.3116589113895,1113.8499882535461,1222.9922491925388,1020.586336365379,895.4654721457612,868.1944897952479,797.2492524033838,745.6351654607583,500.2267614271197,330.92628583217584
carbon_conversion,carbon,459.1399593527821,743.3565520041367,84.84946996744925,84.84946996744925,958.5327372637861,1241.6000542261465,1414.9111163729422,1845.960447649238,1361.1829952523806,995.4049132127832,542.3487020245411,313.48258717173263,4425.631092998996,17386.345862635157
carbon_evaporation,carbon_liquid,0.0,0.0,0.1995106146671099,0.1995106146671099,0.12329083174612836,0.0,3.638692077583717,328.0861364938704,357.860794816736,315.34743831329405,47.2938210702008,0.0,539.3592868739462,976.7308107108317
carbon_liquefication,carbon,0.0,0.0,21012.40735619125,38148.69856706307,48452.688880951886,57837.02663873699,65389.86630901171,65784.61633135301,66224.35195964616,65951.63236394156,68397.68787875473,69453.51502101525,71001.01069673261,69748.76381146445
carbon_liquefication,electricity,0.0,0.0,1596.1024627762872,2897.7751431541105,3680.4662473971052,4393.300543478462,4967.01424483253,4996.999456529575,5030.401774854722,5009.6859943650015,5195.488371270209,5275.689000996318,5393.23677252381,5298.11609911884
carbon_storage,carbon_liquid,0.0,0.0,19961.587477767018,36241.06412809525,46029.931146072595,54945.17530680014,62116.73430148354,62167.299378291485,62555.636767906326,62354.80934172603,64957.675479828344,81902.0234272786,82817.04000000001,82817.04000000001
