technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,14181.865435979991,13935.055274237948,13688.245112495897,13441.434950753845,13194.624789011792,12947.814627269741,12701.00446552769,12454.19430378564,12207.384142043587,11986.828130273518,13025.558181969896,13649.054817632565,13387.27434103512,22082.980295812395
ASU,oxygen,14150.665332020835,13904.398152634625,13658.130973248406,13411.863793862187,13165.596614475966,12919.329435089749,12673.06225570353,12426.79507631731,12180.527896931093,11960.457108386916,12996.901953969564,13619.026897033773,13357.822337484842,22034.39773916161
BF_BOF,steel,120422.97411070649,114084.92284172194,107746.8715727374,101408.82030375284,95070.7690347683,88732.71776578375,82394.66649679918,76056.61522781463,69718.56395883008,63380.51268984553,57042.46142086097,50707.96003812057,44369.90876913601,17336.49366898076
BF_BOF_CCS,carbon,84.64995935278213,84.64995935278213,20347.171849490165,36534.98699442245,45926.364865575204,54090.263323910345,61739.01027519993,61770.87926086261,60901.564509731055,58696.65278353661,54261.409101538666,48426.10183640514,42373.26287452489,16556.351453876625
BF_BOF_CCS,coal,15.211597695694948,15.211597695694948,3656.3867813533825,6565.337162897714,8252.967766343863,9720.020319306688,11094.500146453427,11100.227003177011,10944.011142398671,10547.788505201528,9750.775215546497,8702.170500002003,7614.475338552123,2975.1763562616293
DAC,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36320105922214635,16.106034294831893,27.165824841561705,15921.184167345731,15905.439124977967,17532.44518981958
DRI,direct_reduced_iron,21930.675412187888,30200.28358070047,29744.12694925309,27498.523043449186,24276.999949949564,23500.222456692456,26465.974907757125,60460.093348567716,74210.18054502987,73479.18512613907,72748.1897072483,72016.99407477333,71285.99865588253,71722.22175706948
EAF,steel,56137.02552529348,62816.6152838165,69496.20504233957,76175.79480086261,82855.3845593856,89534.97431790868,96214.5640764317,102894.15383495473,109573.74359347777,116253.3333520008,122932.92311052384,129608.96298280272,136288.55274132575,163663.5063310192
SMR,carbon_methanol,78474.90953596139,79042.79231328297,79812.80597281952,78711.11938261386,73696.63615747285,69466.64142459808,68899.74394028181,68281.10169405109,67333.16732922477,66925.31532569672,66121.82543810658,63197.97055816239,38686.66396644141,17740.095690319573
SMR,electricity,14816.06292038951,14923.279188747825,15068.657767668326,14860.659339437498,13913.924906530876,13115.30190096412,13008.271655925208,12891.471999836847,12712.501991757637,12635.49953349154,12483.800642714523,11931.776850969494,7304.042156864139,3349.3300663323357
SMR,hydrogen,358742.4435929663,361338.47914643644,364858.5415900321,359822.2600348062,336898.90814844734,317561.7893695913,314970.2580127169,312142.179172805,307808.7649335989,305944.2986317564,302271.2020027729,288905.008226865,176853.32098944642,81097.58029860377
SMR_CCS,carbon,374.48999999999995,658.7065926513545,749.8854660538635,1698.3615319933979,3484.733461808724,4988.363369052791,5062.128458107142,5417.035945285524,5519.805396289876,6372.161970809016,6700.179273870665,7053.662911826455,10731.790564114312,10774.23630216809
SMR_CCS,carbon_methanol,455.10937499999994,800.5114841249099,911.3191427737926,2063.981028464199,4234.919137614769,6062.247149890544,6151.892223394097,6583.203405728935,6708.096835768946,7743.946839524846,8142.578978662268,8572.159788677984,13042.106588333365,13093.689950551498
SMR_CCS,electricity,33.288,58.55169712456484,66.65648587145455,150.96546951052426,309.75408549410884,443.410077249137,449.96697405396816,481.5143062476021,490.6493685591001,566.4143974052458,595.5714910107258,626.9922588290183,953.9369390323832,957.7098935260525
SMR_CCS,hydrogen,2080.5,3659.481070285303,4166.030366965909,9435.341844407765,19359.6303433818,27713.12982807106,28122.935878373013,30094.64414047513,30665.585534943755,35400.89983782786,37223.218188170365,39187.01617681364,59621.058689523954,59856.86834537828
anaerobic_digestion,biomethane,1864.2368633234098,2882.2626377825345,4726.122305394149,10939.528443671077,53127.528161605514,103905.01823759855,134719.38397819173,185962.62620633832,236997.3996488167,281681.6838239392,320225.47129361035,349886.43336350226,370107.68300147913,371816.7607060684
biomass_to_coal_conversion,coal_for_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185198,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane_DRI,natural_gas,0.0,58.71980618590508,514.4581889134175,2533.6040233760696,8851.87799648757,17645.587154086268,20884.87566285163,58786.4038565524,85126.17877820694,95958.14130898567,110069.22175989527,124285.07320594833,167371.6515671277,188428.29196629673
biomethane_SMR,natural_gas,1728.6673649032612,2572.9672089539868,3737.5737225754046,7826.415714836133,43515.33850620656,84756.47071559081,105754.38467814373,116865.87405404088,140421.77795362406,165022.6637501129,185860.05522433098,201175.43204230972,152493.8441023564,105321.42753379671
biomethane_SMR_CCS,natural_gas,0.0,0.0,0.0,0.0,0.0,389.1103796679157,6857.1313880038315,9289.761959379659,10553.977444839948,19832.68427504536,23498.945056980723,23680.29294978341,49741.960570567906,77736.11492014278
biomethane_haber_bosch,natural_gas,135.5694984201488,250.57562264264288,474.0903939053278,579.5087054588755,760.3116589113895,1113.8499882535461,1222.9922491925388,1020.586336365379,895.4654721457612,868.1944897952479,797.2492524033838,745.6351654607583,500.2267614271197,330.92628583217584
carbon_conversion,carbon_methanol,459.1399593527821,743.3565520041367,84.84946996744925,84.84946996744925,958.5327372637861,1241.6000542261465,1414.9111163729422,1845.960447649238,1361.1829952523806,995.4049132127832,542.3487020245411,313.48258717173263,4425.631092998996,17386.345862635157
carbon_evaporation,carbon,0.0,0.0,0.1995106146671099,0.1995106146671099,0.12329083174612836,0.0,3.638692077583717,328.0861364938704,357.860794816736,315.34743831329405,47.2938210702008,0.0,539.3592868739462,976.7308107108317
carbon_liquefication,carbon_liquid,0.0,0.0,19961.786988381686,36241.26363870991,46030.05443690429,54945.175306800134,62120.37299356112,62495.385514785354,62913.13436166384,62654.05074574449,64977.80348481699,65980.83926996449,67450.96016189599,66261.32562089124
cement_plant,cement,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258
cement_plant_oxy_combustion,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.25381858103567,4460.930095012032,6933.131817029541,7063.742589227001,35879.290981528626
e_haber_bosch,ammonia,575.5791978076765,1436.2465384284797,2296.9138790492734,3157.5812196700654,4046.0982591572215,4934.6152986443785,5823.132338131534,6711.64937761869,7600.1664171058455,8488.683456593002,9377.200496080157,10265.717535567313,11154.234575054468,12014.90191567526
electrolysis,hydrogen,1606.2375149914217,1652.913435045676,1419.3985046975454,949.2276007238883,960.8728028787283,677.8400195014832,587.7019138665738,493.65065647643934,513.982676955411,533.201915865179,393.3216567523687,3593.8840160964146,13950.35463543645,98209.38499001964
electrolysis,oxygen,10.02131585603148,10.31252692124997,8.855627270807984,5.922231000916339,5.994885417160385,4.229043881669754,3.666672240613554,3.0798864457565047,3.206737921524809,3.326648107548424,2.4539314699539965,22.42224237642553,87.0361851211588,612.7283529527325
gasification,carbon_methanol,37.394553795614534,61.61278880668897,602.2540189570752,2268.151995415001,3651.3759733713173,4712.561602682979,4822.307333512466,5114.647125685401,5681.614930910351,5882.014871751851,6062.7871730084935,6332.969984427722,20523.561899437052,19051.034426474875
gasification,hydrogen,170.946531637095,281.6584631162924,2753.161229518058,10368.694836182862,16692.00444969745,21543.13875512219,22044.83352462842,23381.244003133263,25973.09682701875,26889.210842294175,27715.598505181686,28950.719928812443,93821.99725456939,87090.44309245657
gasification_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.57543636024218,806.3042540608694,1470.621265914399,3470.2242892877093,7354.101042925845,14718.486474991467,22948.50012581544
gasification_CCS,carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.63966353030287,574.5246109961406,1047.8775306800483,2472.676101894744,5240.096427166217,10487.52090034001,16351.740724827778
gasification_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.2098904242416,2626.398221696643,4790.297283108792,11303.66218009026,23954.726524188423,47942.95268726862,74750.81474206984
h2_to_ng,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.5151500786064,1414.9075701047266,1629.000815345593,1895.2808720127712,2510.0194264633,4872.395633544229,8006.815208666257
haber_bosch,ammonia,16656.335062192313,15495.776881058699,14335.218699925084,13174.660518791472,11986.252638791495,10797.844758791518,9609.436878791541,8421.028998791564,7232.621118791589,6044.213238791613,4855.8053587916365,3667.3974787916604,2478.9895987916843,1318.431417658071
hydrogen_compressor_low,hydrogen_low,22163.815913344886,23193.121175464137,22724.367151095987,22008.728498453147,22371.612386586454,24267.80333489169,23248.276055326733,25592.70118068615,32175.991079076688,34316.089274817416,38433.06489205584,45303.41643258375,88506.45851523902,143525.34520106713
