carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185198,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,65468.53239759389,57207.96904201259,51763.29645474402,48375.03970928834,47426.082827474165,44888.59230863965,39674.20235682308,12867.574543017681,1203.47256753205,495.37850382639857,188.0750925786379,132.9816251999733,116.36008574706176,45.464954646902484
coal_for_cement,34066.91826094813,35549.83203061113,35153.72080566974,33642.57590587846,32251.41355350203,30619.365462133417,24327.31639095536,15881.604625784279,8140.852189114649,7177.298910966032,6896.852790686981,6649.4401141394355,6418.316469142297,6187.19282414516
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,275.7196608774706,454.28693516026806,4440.5737470896765,16723.667901279336,26922.533976917017,34746.92849813658,35556.11199187317,38313.5586849189,46128.12556407306,51095.878655462446,62934.16555927512,85331.1945840451,228652.68776119052,261033.76476130766
electricity,4156.459434485101,3435.9722588466684,1045.6634625817594,1374.584264698121,1887.961020032837,2997.291709216156,3402.793365179258,4226.018968836891,4703.855746408636,5056.327489079256,5514.538686787087,5962.715619764916,6512.946315052352,9164.813259553444
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,143181.17126118374,140296.4842026456,136888.2512561099,133372.6514685175,130736.49653885387,128247.02634060962,125982.10793902462,125578.89149682436,123961.0331799632,121474.30990618086,118987.58663239854,116501.36607930655,114014.6428055242,108597.12488742637
limestone,27901.30963512403,25652.162814264684,24450.107769400543,23462.786406649837,22672.975328041295,21589.794786594317,20057.510651828725,14801.822598293618,11975.418294080328,10886.743903709388,9798.069513338449,8710.004879827895,7621.330489456956,2977.8548445334873
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,531007.310710867,557778.805303939,559623.1370297938,547268.1118362781,479072.96505293145,411604.3878901995,385784.48683199787,426079.15513431217,406315.61432877346,362844.3893817221,319329.49827927194,271943.7398462871,128075.06096047032,83.78043940739448
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,87699.99999999997,89799.99999999997,91899.99999999997,93999.99999999997,95429.99999999997,96859.99999999997,98289.99999999996,99719.99999999997,101149.99999999997,102579.99999999997,104009.99999999996,105439.99999999996,106869.99999999997,108299.99999999997
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,810.5329034357521,1253.1501496550904,2054.823455939268,4756.288176739311,23098.786694102848,45175.82382934309,58573.2937660382,80852.83062199177,103041.72941931253,122469.56249297228,139227.63040903592,152123.6234977835,160915.41841538312,161658.49121978442
