,technology,location,capacity_type,technology_existing,scenario_
0,ASU,AL01,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
1,ASU,AL02,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
2,ASU,AL03,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
3,ASU,AT11,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
4,ASU,AT12,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
5,ASU,AT13,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
6,ASU,AT21,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
7,ASU,AT22,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
8,ASU,AT31,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0547581427790208
9,ASU,AT32,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
10,ASU,AT33,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
11,ASU,AT34,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
12,ASU,BE10,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
13,ASU,BE21,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0789591099913784
14,ASU,BE22,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
15,ASU,BE23,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
16,ASU,BE24,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
17,ASU,BE25,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
18,ASU,BE31,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
19,ASU,BE32,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0394795549956892
20,ASU,BE33,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
21,ASU,BE34,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
22,ASU,BE35,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
23,ASU,BG31,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
24,ASU,BG32,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
25,ASU,BG33,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0399730494331364
26,ASU,BG34,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
27,ASU,BG41,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
28,ASU,BG42,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.044414499370150004
29,ASU,CH01,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
30,ASU,CH02,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
31,ASU,CH03,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
32,ASU,CH04,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
33,ASU,CH05,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
34,ASU,CH06,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
35,ASU,CH07,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
36,ASU,CY00,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
37,ASU,CZ01,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
38,ASU,CZ02,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
39,ASU,CZ03,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
40,ASU,CZ04,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
41,ASU,CZ05,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
42,ASU,CZ06,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
43,ASU,CZ07,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
44,ASU,CZ08,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0345446106212284
45,ASU,DE11,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
46,ASU,DE12,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
47,ASU,DE13,powerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpowerpower,378,0.0
