technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,4068.777193582659,3997.967358178867,3927.1575227750727,3856.347687371278,3785.537851967483,3714.7280165636885,3643.918181159894,3852.5132219190214,4711.88283646588,5202.772180736241,5199.461876722623,5131.213226027291,5096.20588983669,5118.13342744944
BF_BOF,coal,1041.1170647994525,1041.2662730864852,1041.415481373518,1041.5646896605508,1041.7138979475835,1041.8631062346165,1042.0123145216492,1042.1615228086819,1042.3107310957146,1042.4599393827473,1042.6091476697802,1042.6091476697802,1042.6091476697802,1042.6091476697802
BF_BOF,iron_ore,1828.6286907375,1828.8907617031857,1829.1528326688715,1829.4149036345573,1829.6769746002428,1829.9390455659286,1830.2011165316144,1830.4631874973002,1830.725258462986,1830.9873294286717,1831.2494003943575,1831.2494003943575,1831.2494003943575,1831.2494003943575
BF_BOF,limestone,360.38667627673357,360.43832529916796,360.4899743216024,360.5416233440368,360.59327236647124,360.64492138890563,360.6965704113401,360.74821943377447,360.7998684562089,360.8515174786433,360.90316650107775,360.90316650107775,360.90316650107775,360.90316650107775
BF_BOF,scrap,166.8456834614507,166.86959504591107,166.89350663037146,166.91741821483186,166.94132979929222,166.96524138375258,166.98915296821298,167.01306455267334,167.03697613713373,167.0608877215941,167.0847993060545,167.0847993060545,167.0847993060545,167.0847993060545
BF_BOF_CCS,electricity,0.0,0.0,0.0,75.90261878404799,408.339466705587,426.8205930199077,426.88171925537347,426.94284549083926,427.00397172630505,427.0650979617708,427.1262241972366,427.1262241972366,427.1262241972366,427.1262241972366
DAC,electricity,0.0,0.0,0.0,0.0,0.024936305724958734,24.22068808237151,38.32623408912822,57.73450735090593,7666.123342390159,23706.216417634292,48220.36693004839,66871.81237977174,66342.36671996994,68121.49709005663
DRI,iron_ore,128030.43658358399,125464.52073038254,123003.12334064477,121432.20629431114,120070.80417010424,118647.25448812942,117153.3547301971,115565.09099586049,113976.8272615239,112388.5635271873,110799.39397010942,109210.24016483559,107621.08635956177,106031.93255428753
DRI,natural_gas,240276.29879384942,235460.81287756728,230841.47805025117,227893.31866192643,225338.35851101758,222666.7652722429,219863.1451785891,216882.4310470259,213901.7169154627,210921.0027838995,207938.58868363005,204956.20414496545,201973.81960630088,198991.43506763552
EAF,direct_reduced_iron,175225.23416830838,175566.58136517115,175907.928562034,176249.2757588968,176590.62295575955,176931.97015262238,177273.31734948518,177614.66454634798,177956.01174321078,178297.35894007358,178638.70613693638,178980.24462647486,179321.78311601334,179663.32160555152
EAF,electricity,147189.19670137903,147475.92834674378,147762.65999210856,148049.3916374733,148336.12328283803,148622.8549282028,148909.58657356753,149196.3182189323,149483.04986429706,149769.78150966179,150056.51315502657,150343.4054862389,150630.29781745118,150917.19014866327
SMR,natural_gas,457665.2916290321,466371.5226980996,470248.31985748565,471476.6517470283,466774.98399743997,459735.2988218207,448945.1800190915,431425.7266678465,411254.69085593737,400579.9537470603,389741.42537659797,350921.20029029925,188701.72244445264,116327.12920439798
SMR_CCS,natural_gas,0.0,91.83721004448022,5095.21917171036,13545.247197647786,15451.150960697905,21064.55914905643,24710.86767850645,26958.60701998638,28914.764019772603,31932.733499748047,36264.84215337962,42119.42907109327,145168.40504035278,144589.23480093107
anaerobic_digestion,wet_biomass,1282.8872694484887,1725.3878713030888,2231.6941733673807,13166.88916955975,45473.84663315345,76383.63454343447,105359.54812945897,129671.3113844894,135374.33727561886,143905.53475977536,148534.56938691315,150912.06013735928,151319.83994565858,161892.11456163097
biomass_to_coal_conversion,biomass_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185198,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
