carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185198,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,1041.1170647994525,1040.4135860559838,986.734995693988,440.9528553609056,147.00415875688697,53.167710115906864,4.880779337298147,4.4221653663318445,3.9635513953655,3.5049374243991616,3.5054390894411442,3.5054390894411442,3.5054390894411442,3.5054390894411616
coal_for_cement,38271.850781615525,36666.48563253039,35147.36102596556,32329.858084207044,25655.417610635173,16854.33918922827,8737.57408554453,7737.290540408664,7475.711816330147,7169.796332048655,6893.101501228292,6649.4401141394355,6418.316469142296,6187.192824145159
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,7650.750527112827,8679.052927637542,9605.107403593094,11634.779312850616,12882.384136077286,16079.341215160965,25024.64842222639,36415.91898305484,47147.4141448423,65090.39571416341,81123.93069291279,120743.75097182044,169681.67870825512,244253.67442101214
electricity,15851.370354763887,14917.121719415562,10182.31658091125,7768.092856091219,8206.027543826809,8263.64656576391,8297.253206067104,8355.096978997597,8394.047279718352,8434.159684278575,8477.101386815491,8521.384471338064,8469.91347222236,8702.721786727505
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,129859.06527432149,127291.7983004064,124728.82660581183,122202.44999382284,120622.68358411298,119040.3631651799,117455.15164723479,115866.06215765663,114276.97266807848,112687.88317850033,111098.7564633301,109509.60265805626,107920.44885278244,106331.2950475082
limestone,360.38667627673357,360.3000517266542,351.62286853573266,269.7555201335065,251.06776717291388,237.48803265900978,229.69049616900477,229.64890294510394,229.60730972120308,229.56571649730225,229.59857445761898,229.59857445761898,229.59857445761898,229.59857445761898
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,695119.4234591239,698084.2483311432,701180.5811430622,682759.6822723787,603100.1507838129,527906.9824603334,451312.1916293721,375099.0509358389,340785.66425179597,310519.619007743,290381.0226071428,247439.2213611689,185005.2261852647,73012.8443864522
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,87699.99999999997,89799.99999999997,91899.99999999997,93999.99999999997,95429.99999999997,96859.99999999997,98289.99999999996,99719.99999999997,101149.99999999997,102579.99999999997,104009.99999999997,105439.99999999996,106869.99999999997,108299.99999999997
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,1282.8872694484887,1725.3878713030888,2231.6941733673807,13166.88916955975,45473.84663315345,76383.63454343447,105359.54812945897,129671.3113844894,135374.33727561886,143905.53475977536,148534.56938691315,150912.06013735928,151319.83994565858,161892.11456163097
