technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,4068.777193582659,3997.967358178867,3927.1575227750727,3856.347687371278,3785.537851967483,3714.7280165636885,3643.918040758513,3573.1083457561,3568.0083117976674,3862.7870646442407,3979.210762288242,3917.5307703894778,3837.9282843197343,6062.381896868101
BF_BOF,coal,87002.58822063268,82423.50463007306,77844.42103951344,73265.33744895384,68686.25385839422,64107.170267834605,59528.08667727499,54949.00308671538,50369.919496155766,45790.83590559615,41211.75231503653,36635.233428541156,32056.149837981542,13224.20358475434
BF_BOF,iron_ore,152812.2382849574,144769.4889015386,136726.73951811978,128683.99013470097,120641.24075128217,112598.49136786335,104555.74198444454,96512.99260102573,88470.24321760691,80427.4938341881,72384.7444507693,64346.49973987357,56303.75035645476,23227.1268091198
BF_BOF,limestone,30116.280537911312,28531.213141179138,26946.145744446963,25361.07834771479,23776.010950982618,22190.94355425044,20605.87615751827,19020.80876078609,17435.741364053916,15850.673967321743,14265.606570589569,12681.426956033478,11096.359559301303,4577.608933184194
BF_BOF,scrap,13942.722471255236,13208.89497276812,12475.067474281,11741.239975793884,11007.412477306765,10273.584978819648,9539.75748033253,8805.929981845413,8072.102483358295,7338.274984871177,6604.447486384059,5871.0309981636465,5137.203499676529,2119.2633949926826
BF_BOF_CCS,electricity,514.5097884990198,1161.360747693133,12567.136906016847,17493.819212809012,19498.739656960068,20281.23663276817,20540.70470153409,20373.523891449728,19927.12339940558,18622.8360628658,16829.862327987692,15008.374865969648,13132.459343177097,5417.566264209174
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03657609826100782,21.34322004633332,4997.713310633202,23658.831956162943,23658.831956162943,23191.646549956746,24949.353461059152
DRI,iron_ore,50763.48837469268,64395.33569065495,60312.13851507305,56797.57340685318,56728.85424565423,82482.75019047469,110932.16072237134,109875.9988442427,108770.25537125226,107664.51189826183,106558.76842527141,105452.75419844576,104347.01072545531,104745.93100002178
DRI,natural_gas,95268.4644840123,120851.5204057497,113188.53392554806,106592.70625669709,106463.74015965247,154796.39419308264,208187.75368445035,206205.64166659248,204130.47925837754,202055.31685016264,199980.15444194773,197904.4839066722,195829.32149845726,196577.9800959313
EAF,direct_reduced_iron,65018.21986595809,71230.3783433935,77442.53682082896,83654.69529826439,89866.85377569977,96079.01225313524,102291.17073057065,108503.32920800608,114715.48768544149,120927.6461628769,127139.80464031234,133348.6750356141,139560.83351304955,164045.89284005848
EAF,electricity,54615.304687404794,59833.51780845054,65051.73092949633,70269.94405054208,75488.1571715878,80706.3702926336,85924.58341367934,91142.7965347251,96361.00965577085,101579.2227768166,106797.43589786236,112012.88702991586,117231.1001509616,137798.54998564912
SMR,natural_gas,472447.42842676834,477407.3185447567,464035.1999346898,440515.48875095515,403931.96722448914,381839.0059136308,378768.2200980335,373964.43842089176,364223.31999058044,360990.4533229857,351095.7291591208,321587.5405188886,186736.06254357955,92437.26723120321
SMR_CCS,natural_gas,2701.94535,3607.861250028179,6407.164410407508,26450.24478385978,39909.00527141089,45967.849641865694,46214.18940397255,46422.97710689011,47525.677981695764,50021.00187189262,52712.31047346826,57312.821614351305,88265.62170942225,91785.23230288978
anaerobic_digestion,wet_biomass,13256.119920243253,49094.739689211034,49368.9223157517,51406.909299136896,57863.92415237938,69620.8059637456,96805.30727260743,118573.66660815562,126003.54949220105,141511.99230256092,150276.88861396455,157422.67794979873,161174.851584295,161761.3883840079
biomass_to_coal_conversion,biomass_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185198,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane_DRI,biomethane,4358.4302685948,27178.680566120518,26614.835195905474,24704.943484835214,27008.991578706682,43021.2938403232,81432.3331839074,96776.36128320397,111569.91776431949,123030.20162557121,128831.3980329051,138932.76577691594,171340.3364776634,187516.7246412326
biomethane_SMR,biomethane,25314.354996023383,84199.87186813087,85478.21770224637,91819.09490427238,100221.19767278609,108212.34821901069,129123.48732776198,154528.21469651983,156089.78817418258,178344.63715158336,190743.95324159894,187153.94026209798,146534.3912646165,92437.26723120322
biomethane_SMR_CCS,biomethane,0.0,0.0,0.0,393.7815265498827,4153.959615981895,7686.387019541171,10970.26481525869,20285.89341873157,21093.223372124183,23080.52961384132,25196.365162363512,35361.66376873525,52360.13268287489,91785.23230288978
biomethane_haber_bosch,biomethane,816.4734874938113,1540.0263624067613,1456.1497232927836,1318.7808919622207,1703.6752099423795,1208.7854106267916,1127.4573213249132,1130.6001267197287,1056.9733808523124,1024.1667821052238,867.2012087568041,625.9619227782898,469.5224450208919,314.20142844621375
carbon_conversion,carbon,1912.1761580962934,3970.9429195524294,666.2066877505623,1035.425475258437,1274.8421928588027,1430.7595169708814,1958.7664044103326,1730.296488590021,1182.9577798189562,456.3259334827894,516.4290051923329,661.6356827430739,5806.670539792175,16979.668129217065
carbon_evaporation,carbon_liquid,0.0,0.0,0.0,0.0,0.0,98.75456909556559,483.25859570069696,455.8564238667491,326.6281281130044,120.26060969064798,119.52678374845935,180.64811047249657,612.2419788383845,767.7739308360865
carbon_liquefication,carbon,0.0,0.0,37780.5148923382,54913.36518058056,62548.146491543455,65711.40647736876,66446.12277025802,66582.23339784365,67018.15812690128,69401.76427783992,69591.41379885233,70269.19827104907,71076.63459330707,69971.34159995659
carbon_liquefication,electricity,0.0,0.0,2869.8079112220094,4171.219219116899,4751.157207497641,4991.4384360209315,5047.2474856288,5057.586448900203,5090.699291319421,5271.758014544721,5286.163792160823,5337.648300668888,5398.981163707605,5315.023034156563
carbon_storage,carbon_liquid,0.0,0.0,35891.48914772129,52167.69692155135,59420.73916696628,62327.08158440476,62640.55803604443,62797.29039057186,63355.260789319975,69239.20235880083,82219.22438837316,82801.99831023601,82817.04000000001,82817.04000000001
carbon_storage,electricity,0.0,0.0,1353.4680557605698,1967.2438509117017,2240.756073986299,2350.3542465479036,2362.1754435392354,2368.085820628465,2389.1268843652565,2611.0103209503795,3100.486951685552,3122.4633562790004,3123.0305784000006,3123.0305784000006
cement_plant,coal_for_cement,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837
cement_plant,electricity,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292
cement_plant_oxy_combustion,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.28680649143631,773.7265770666406,1146.9840633228664,1356.4572498380176,1468.7439393966972,6353.758396459702
cement_plant_oxy_combustion,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.06036520189997,1615.4730729962828,2394.8018904543364,2832.1634886727843,3066.6082251139833,13266.088959641138
e_haber_bosch,electricity,1653.3781060644676,2323.4355126827236,2993.4929193009707,3663.5503259192174,4355.289625316193,5047.028924713171,5738.768224110149,6430.507523507126,7122.246822904104,7813.986122301081,8505.725421698058,9197.464721095037,9889.204020492014,10559.261427110261
e_haber_bosch,hydrogen,11112.062923366913,15615.400688213178,20118.738453059384,24622.076217905586,29271.134163738352,33920.19210957113,38569.25005540391,43218.30800123668,47867.365947069455,52516.423892902225,57165.481838735,61814.53978456778,66463.59773040055,70966.93549524675
e_haber_bosch,nitrogen,1556.8995209279826,2187.857467892313,2818.8154148566346,3449.7733618209563,4101.148011024287,4752.52266022762,5403.897309430952,6055.271958634285,6706.646607837617,7358.021257040949,8009.395906244282,8660.770555447614,9312.145204650946,9943.103151615269
electrolysis,electricity,2187.8499962623036,2245.0402598286887,1528.3865300525047,1296.3514585815756,1327.4079201767634,1147.802777513688,1142.109163691888,991.4912760909043,1024.4484187087394,921.0143842322722,7166.490302947347,14774.587807924461,42779.64470121656,151864.139439475
gasification,dry_biomass,12519.456831242764,17456.20782076257,21986.023182772795,35908.29522625915,54603.950045478414,65718.46010135188,69141.9019765981,76046.11165304936,76495.4546888835,77109.57805109736,71359.40859295939,82747.41539551211,159391.1857021401,145327.53356046588
gasification,electricity,721.873324636107,1006.5269559990818,1267.7166321519437,2070.47644369899,3148.4700565623984,3789.333988111926,3986.73004143073,4384.827567569961,4410.7367388345,4446.147162720599,4114.591728653495,4771.225514156256,9190.514148613694,8379.60234430115
