technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,14181.865435979991,13935.055274237948,13688.245112495897,13441.434950753845,13194.624789011792,12947.814627269741,12701.003999458895,12454.19430378564,12436.417975615894,13463.87962580774,13869.678502224617,13654.690729834361,13377.233476192869,21130.644464510635
ASU,oxygen,14150.665332020835,13904.398152634625,13658.130973248406,13411.863793862187,13165.596614475966,12919.329435089749,12673.061768760086,12426.79507631731,12409.057838620203,13434.259090630963,13839.165209519722,13624.650410228725,13347.803562545245,21084.157046688713
BF_BOF,steel,111541.77977004189,105671.15978214495,99800.539794248,93929.91980635107,88059.29981845412,82188.67983055719,76318.05984266024,70447.4398547633,64576.81986686636,58706.19987896942,52835.57989107247,46968.24798530917,41097.62799741223,16954.10715994146
BF_BOF_CCS,carbon,1537.6861580962934,3470.8928502484546,37558.687704772405,52282.78306278843,58274.77482653935,60613.379057884544,61388.83652580421,60889.192741929844,59555.060966543875,55657.011544727444,50298.45286308336,44854.67682597026,39248.234737528684,16191.172337744094
BF_BOF_CCS,coal,276.3222026099039,623.7194451896473,6749.296180547601,9395.216116383082,10471.977036329123,10892.224216701852,11031.573923687016,10941.787935724793,10702.044455687934,10001.564974587522,9038.631979496078,8060.385425626855,7052.907782333904,2909.5536690926133
DAC,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02508648714746764,14.638696876771826,3427.78691083064,16226.908063211897,16226.908063211895,15906.479115196673,17112.039410877336
DRI,direct_reduced_iron,34769.512585405944,44106.394308667775,41309.6839144336,38902.447538940534,38855.37962031111,56495.03437703745,75980.93200162421,75257.53345496075,74500.17491181662,73742.81636867249,72985.45782552837,72227.91383455189,71470.55529140776,71743.7883561793
EAF,steel,65018.21986595809,71230.3783433935,77442.53682082896,83654.69529826439,89866.85377569977,96079.01225313524,102291.17073057065,108503.32920800608,114715.48768544149,120927.6461628769,127139.80464031234,133348.6750356141,139560.83351304955,164045.89284005848
SMR,carbon_methanol,79577.9433035771,80413.37563075809,78161.00715000647,74199.40183589085,68037.35876673365,64316.07187464907,63798.83587159839,62989.69808621704,61348.92680984021,60804.390285980684,59137.74601798543,54167.45552360583,31453.38698807117,15569.917769173562
SMR,electricity,15024.315695715357,15182.045319087127,14756.798149921222,14008.847066616192,12845.453335159316,12142.874369933745,12045.220212557777,11892.454998677778,11582.677381697833,11479.868885993154,11165.20644819565,10226.815602856781,5938.399463347838,2939.6004748199684
SMR,hydrogen,363784.8836734953,367604.00288346555,357307.4612571724,339197.265535501,311027.92579078244,294016.32856982434,291651.8211273069,287952.9055369922,280452.2368449838,277962.927021626,270343.9817965048,247622.65382219807,143786.91194546822,71176.76694479342
SMR_CCS,carbon,374.48999999999995,500.05006930397485,888.0338753163559,3666.0075930505586,5531.393662011211,6371.150331512918,6405.293056683653,6434.2310612460315,6587.065555328589,6932.91779236211,7305.933537556239,7943.565019314111,12233.627402553328,12721.445918626443
SMR_CCS,carbon_methanol,455.10937499999994,607.6997370013582,1079.2078345858492,4455.217560998943,6722.17979758307,7742.71741676917,7784.210311941939,7819.378025819829,8005.114390156271,8425.420928217842,8878.738674113485,9653.638044305342,14867.255523936336,15460.090526108526
SMR_CCS,electricity,33.288,44.44889504924221,78.93634447256497,325.86734160449413,491.67943662321875,566.3244739122594,569.3593828163247,571.9316498885361,585.5169382514301,616.2593593210764,649.4163144494435,706.0946683834766,1087.433546893629,1130.795192766795
SMR_CCS,hydrogen,2080.5,2778.0559405776385,4933.52152953531,20366.708850280884,30729.964788951173,35395.27961951621,35584.961426020294,35745.728118033505,36594.80864071438,38516.20995756728,40588.51965309022,44130.91677396728,67964.59668085181,70674.69954792468
anaerobic_digestion,biomethane,30489.258752111993,112918.57879665816,113549.20262144462,118236.6008076197,133087.82407741706,160128.81448950185,222653.54264825297,272721.0695251751,289809.90269147855,325479.5351731011,345638.9176456244,362074.33173052745,370704.3828701757,372053.4256037718
