carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185198,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,54529.92403436026,45194.11565042888,39058.98594066638,36115.3022565579,33490.05293025973,18433.142563771667,2290.9099484544413,1332.6921948097472,549.5623306353947,227.16846752459682,167.22811840482677,123.17423034147613,107.77852942321553,44.46214602694697
coal_for_cement,21617.222287391454,19821.1007728164,31471.4078591165,31543.372692777994,29640.65288008497,27034.892409081036,18808.42083466935,10014.389958510223,7512.288692621598,7169.796332048655,6893.101501228292,6649.4401141394355,6418.316469142297,6187.192824145158
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,12519.456831242764,17456.20782076257,21986.023182772795,35908.29522625915,54692.3190809481,66027.81135743333,69811.759817713,78847.6698798631,82153.41985210232,92327.8692263325,103311.74240603134,137905.87493094403,247229.50623793557,262800.5418726679
electricity,4590.675508177788,4136.21239492617,2561.3119704620744,2445.2061142563557,2880.2274846455357,3151.8060082830566,3841.3329029933802,4548.127292031296,4877.41940743038,5321.054523245732,5738.630436901036,6198.064811722684,6696.211222909027,9322.456235849288
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,142663.72831218046,139910.85520268496,136429.9665661398,132972.44637071903,130594.53628271002,129277.82955522247,128071.89739980649,125653.4074741155,123232.87994863566,120812.35242315583,118391.82489767601,115971.76301723561,113551.23549175577,108542.97283956227
limestone,24895.2521081282,22595.158622078405,21751.096190128133,20860.29687592892,19766.677346906068,16550.651096840535,13113.075702631748,12100.615848972984,11092.231194891901,10083.84654081082,9075.461886729738,8067.6420199405875,7059.257365859506,2912.173078648825
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,543778.9640101001,492530.80263035605,473396.6736007286,458369.1136604684,419990.2332576918,424973.84994161385,412742.10522372014,354779.98432773876,325911.12891878554,286629.1877316426,256739.61347958125,210969.91949184236,95655.1938946218,84.02289171137167
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,87699.99999999997,89799.99999999997,91899.99999999997,93999.99999999997,95429.99999999997,96859.99999999997,98289.99999999996,99719.99999999997,101149.99999999997,102579.99999999997,104009.99999999996,105439.99999999996,106869.99999999997,108299.99999999996
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,13256.119920243253,49094.739689211034,49368.9223157517,51406.909299136896,57863.92415237938,69620.8059637456,96805.30727260743,118573.66660815562,126003.54949220105,141511.99230256092,150276.88861396455,157422.67794979873,161174.851584295,161761.3883840079
