carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185198,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,895.2908096100392,706.9464023805704,484.88530072703156,298.3932839128924,76.26891207250914,34.24267204869354,4.388980298282098,3.930366327315786,3.4717523563494552,3.0131383853831335,3.013138385383156,3.0131383853831335,3.0131383853831335,3.013138385383143
coal_for_cement,38271.850781615525,35975.66244171798,33929.0658622133,32194.350276531786,25554.598442845334,16764.563597740518,8952.418568028794,7737.290540408663,7475.7118163301475,7169.796332048656,6893.101501228292,6649.4401141394355,6418.316469142297,6187.192824145159
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,8796.93211788702,9998.094955295514,11337.430175007508,12774.063329977636,14095.867202964362,17211.64584623621,26088.970820991697,38156.02003272667,50962.91430936278,75629.68116188578,98480.57116671283,155408.03018501442,246483.30942741878,264206.50447445124
electricity,22293.388580435152,13922.13227880889,7988.614179812565,7932.696607430914,8275.255672953765,8363.423116624024,8401.810293069206,8459.654065999699,8507.321166662532,8550.126750018198,8597.67129588925,8756.019360886843,8783.672946573688,9201.07162959464
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,129845.42649233475,127289.68913898982,124737.45630805235,122185.22347711482,120602.9030581816,119015.30041649065,117428.59431159732,115839.50482201917,114250.41533244101,112661.32584286286,111072.17203758906,109483.01823231523,107893.86442704141,106304.71062176717
limestone,309.90835717270585,279.36602086522447,249.1240721926614,218.8821235200983,205.30238900619318,202.28710000803733,197.47873741449675,197.43714419059592,197.39555096669505,197.35395774279422,197.35395774279422,197.35395774279422,197.35395774279422,197.35395774279422
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,695327.9437120287,692976.3948625228,690753.4678916674,686171.3469541649,604553.8889978633,528971.9240092398,451601.5130093452,374882.4716373052,327493.3022320708,300704.86885218445,264753.9704033163,204047.06326162617,106398.00374169434,87.06792827488133
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,87697.49676970899,89799.99999999997,91899.99999999997,93999.99999999997,95429.99999999997,96859.99999999997,98289.99999999997,99719.99999999997,101149.99999999997,102579.99999999997,104009.99999999997,105439.99999999997,106869.99999999997,108299.99999999997
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,978.2097162773814,4360.294230873134,7556.792668340146,11559.037643892121,44624.11397222604,75636.62276515504,104771.1605121704,129204.43599278085,139983.33084200663,144652.38275419307,151885.03400433654,157547.36810114956,160768.77744187944,161781.89982312353
