technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801.8399678859736,20.44288605584374,218.67836703680982,727.2545352388955,794.0532607315942,796.9006712489659,796.9006712489659,799.4207653261551,797.4758096962839,2194.069763604438,67264.84228206496
SMR,natural_gas,245403.53583679107,245425.17062804167,236898.99126785263,227347.57855013898,219017.6038097395,205389.36577656382,170489.73466443218,157638.03347281448,144515.89608651772,131096.66687715915,107274.10333697285,103785.27489602049,90677.84588890614,77587.79961192906,64517.02372568151,52077.3304275202,38417.224606500684,33742.35048419165,29979.07143101919,26746.60726877617,23717.940447943412,20038.315280111652,16954.03910847395,14338.585785148613,11291.168466088999,2591.946513524155,631.8037406203168
SMR_CCS,natural_gas,0.0,0.0,0.0,5209.315125841048,9336.431741400316,18450.415967519904,47916.14170819695,47916.14170819695,47916.14170819695,47916.14170819695,47916.14170819695,47916.14170819695,47916.14170819695,47896.949765771235,47853.03030278692,47155.60998945748,45754.58542819695,44824.74113379655,43784.040237738474,42479.300132977296,41081.25749587964,39824.63703887051,37908.35873037447,36041.17831593938,34077.22420686853,37573.14846218368,35015.043326093466
anaerobic_digestion,wet_biomass,77.53914515627773,77.53914515627773,77.53914515627773,77.53914515627773,77.53914515627773,77.53914515627773,14881.017168907845,14881.017168907845,14881.017168907845,14881.017168907845,14881.017168907845,14881.017168907845,14881.017168907845,14881.017168907845,14881.017168907845,14881.017168907845,14881.017168907845,14881.017168907845,14881.017168907845,14881.017168907845,20986.407369592776,21007.685994688945,21236.02292110068,20759.74997453794,18907.581448200704,17089.13260350405,15351.409964518916
biomethane_SMR,biomethane,178.3411039060622,178.3411039060622,178.3411039060622,178.3411039060622,178.3411039060622,178.3411039060622,26185.78716095615,25094.907033934476,24337.83549492763,24406.357323001124,23800.08890138903,23765.484890850177,22424.51065476702,21125.793867345063,20419.076154900777,19136.343885536986,17020.274141838458,16326.76758978895,15403.023365942054,14216.517267275287,15725.05747560091,13622.753547855704,12355.896336606118,11706.533111766443,9410.474050182629,1732.0923573205541,293.41144302865814
biomethane_SMR_CCS,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,8040.75768680098,9131.637813822656,9888.709352829503,9820.187524756006,10426.455946368102,10461.059956906953,11802.034192990111,13100.75098041207,13807.468692856353,15090.200962220146,17206.270705918672,17899.77725796818,18823.521481815078,20010.027580481845,32543.969088621863,34695.214147735045,36487.249440800115,36041.17831593938,34077.22420686853,37573.14846218368,35015.043326093466
carbon_evaporation,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquefaction,carbon,0.0,0.0,0.0,722.0117984533676,1294.0307333888175,2557.230210328469,6867.6909614238375,6867.6909614238375,6867.6909614238375,6867.6909614238375,6867.6909614238375,6867.6909614238375,6867.6909614238375,6865.030955543628,6858.943711886759,6762.281159796746,6568.098961423837,6439.222413343394,6294.981124908456,6114.143965551398,6003.603842325039,5829.436072815804,5563.839633661814,5305.048169429647,5025.711709942701,5502.203799431224,5017.239476721326
carbon_liquefaction,electricity,0.0,0.0,0.0,54.844016210517815,98.29457450821457,194.2472067765505,521.6698054297547,521.6698054297547,521.6698054297547,521.6698054297547,521.6698054297547,521.6698054297547,521.6698054297547,521.467751383094,521.0053643549181,513.6628768981608,498.91279710975465,489.1233345175642,478.1667662480463,464.43037562328414,456.03374786301003,442.8039640910886,422.6292585729514,402.97145894987597,381.7530614872476,417.94740060479575,381.1095106517519
