carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,1136.7953647197378,1136.7953647197378,1136.7953647197378,1334.353655287283,1341.1272411015461,1696.8285380841673,3187.9676654715663,3187.9676654715668,3187.9676654715668,3187.9676654715663,3187.9676654715663,3187.9676654715668,3187.9676654715663,3187.9676654715668,3187.9676654715668,3187.9676654715663,3187.9676654715663,3181.0709341155666,3156.965528331794,3107.0790758305543,2451.898060308774,2370.704295408492,2355.4519167317494,1627.2735108564657,1589.8030185736125,1547.5445298337293,862.40039054154
electricity,0.0,0.0,0.0,0.0,0.0,1.0342878494193508,204.11268168921342,3.7905935866715685,0.0,93.77587423300142,11885.101444133332,0.06591790127368193,0.06591790127368193,0.0,0.6883709859847937,1.2371826818960203,18.551813356334684,0.0,0.9306753007543703,3.673586241072018,2.7365424346673497,7.083544911375458,6.486147603137209,0.0,0.0,0.0,0.0
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,245225.194732885,245246.8295241356,236720.65016394656,232378.55257207397,228175.69444723375,223661.44064017767,184179.331524872,171327.6303332543,158205.49294695753,144786.26373759896,120963.70019741268,117474.87175646031,104367.44274934597,91258.20452994316,78143.5091807113,65006.395569220556,49945.2651869405,44340.54677023108,39536.56682100053,34999.36255399634,16530.171379600277,11544.984623391416,6019.252061442184,2632.0526733821694,1880.6944159063703,859.854156203601,338.39229759165863
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,77.53914515627773,77.53914515627773,77.53914515627773,77.53914515627773,77.53914515627773,77.53914515627773,14881.017168907845,14881.017168907845,14881.017168907845,14881.017168907845,14881.017168907845,14881.017168907845,14881.017168907845,14881.017168907845,14881.017168907845,14881.017168907845,14881.017168907845,14881.017168907845,14881.017168907845,14881.017168907845,20986.407369592776,21007.685994688945,21236.02292110068,20759.74997453794,18907.581448200704,17089.13260350405,15351.409964518916
