technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,4068.777193582659,3997.967358178867,3927.1575227750727,3856.347687371278,3785.537851967483,3714.7280165636885,3643.918181159894,3573.1083457561,3502.298510352305,3433.1837846260537,3702.0966460802483,3914.8390498006906,3839.509903595423,6307.605522745414
BF_BOF,coal,93929.91980635107,88986.23981654312,84042.55982673517,79098.87983692723,74155.19984711928,69211.51985731132,64267.83986750337,59324.15987769542,54380.479887887464,49436.79989807952,44493.11990827156,39552.208829734045,34608.52883992609,13657.02510093096
BF_BOF,iron_ore,164979.47453166792,156296.34429315908,147613.21405465025,138930.0838161414,130246.95357763256,121563.82333912373,112880.6931006149,104197.56286210606,95514.43262359721,86831.30238508838,78148.17214657954,69469.90525222519,60786.775013716346,23987.338959327455
BF_BOF,limestone,32514.203009890756,30802.92916726493,29091.6553246391,27380.38148201327,25669.10763938744,23957.83379676161,22246.55995413578,20535.28611150995,18824.012268884122,17112.738426258293,15401.464583632463,13691.149210292553,11979.875367666724,4727.431765706871
BF_BOF,scrap,15052.871763838311,14260.615355215243,13468.358946592174,12676.102537969105,11883.846129346037,11091.589720722968,10299.333312099898,9507.07690347683,8714.82049485376,7922.564086230691,7130.307677607621,6338.495004765071,5546.238596142001,2188.6258174568848
BF_BOF_CCS,electricity,22.659101119552712,22.659101119552712,6539.616707050664,11901.111691797796,14876.491471407657,17904.414133791946,20543.260399413088,20570.449642792,20321.706869100715,19600.658208439505,18155.053916752786,16203.37367446116,14178.09375781603,5594.880476701002
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4917297390250372,23.44926153193851,39.57653850642877,21818.176089564688,23190.130244217875,25616.744964077785
DRI,iron_ore,32018.786101794314,30343.488251280454,43423.830559558766,40147.84353161611,35444.41992692636,32864.77369197445,35235.33577173519,81751.54966907192,108346.8635957436,107279.61028416305,106212.35697258251,105144.81134916906,104077.5580375885,104700.23836549863
DRI,natural_gas,60090.05062939481,56945.9984989784,81494.0381734185,75345.95292919737,66518.9798628618,61677.72596986986,66126.58905106469,153424.1411597651,203335.89469338185,201332.96724562108,199330.03979786034,197326.56376487893,195323.63631711816,196492.22816538787
EAF,direct_reduced_iron,56137.02552529348,62816.6152838165,69496.20504233957,76175.79480086261,82855.3845593856,89534.97431790868,96214.5640764317,102894.15383495473,109573.74359347777,116253.3333520008,122932.92311052384,129608.96298280272,136288.55274132575,163490.99346034488
EAF,electricity,47155.10144124652,52765.95695652212,58376.812235565245,63987.66763272459,69598.5230298839,75209.37842704328,80820.23382420263,86431.08922136198,92041.94461852133,97652.80001568067,103263.65541284003,108871.52890555428,114482.38430271363,137332.4345066897
SMR,natural_gas,465691.0987914571,467836.92070406594,473808.30270009313,466896.086282815,436790.58426450304,411807.8500914628,408441.81686128257,404849.5013310997,399086.8724199204,396451.72841554735,392364.65378772456,375732.3639618039,231560.18263948974,105795.27303776986
SMR_CCS,natural_gas,2701.94535,4748.4263433951455,5255.827063121105,11571.100758886201,24190.29026606504,35064.783267197075,35563.772378473055,38065.14231455388,38847.91218540859,45347.25944166783,47628.82694327231,49612.912784640735,77117.86051850842,77501.77077645085
anaerobic_digestion,wet_biomass,1015.1677464259316,1389.594056681244,1980.91773037626,4648.457275858034,18284.411456385853,41193.62330743494,58654.683502941036,76116.6646484922,98872.24696350445,121954.6552718226,133964.31701257077,151867.54386791316,160915.41841538312,161683.74833472804
biomass_to_coal_conversion,biomass_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185198,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane_DRI,biomethane,0.0,115.97151064054648,363.20851489062,2463.3828388882794,8947.278616209416,16987.761759928188,22058.356753423068,52372.00603967721,85808.65822497767,97297.42373974356,107286.78128855054,128940.65980411008,169450.2815523221,188246.88231893617
