technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,4068.777193582659,3997.967358178867,3927.1575227750727,3856.347687371278,3785.537851967483,3714.7280165636885,3643.918181159894,3573.1083457561,3871.9308151976957,4002.8993204185504,5007.815003205,6735.542647098991,8774.046387643526,11434.843122895798
BF_BOF,coal,93932.26843644655,88998.28138359451,84054.60139378656,79110.92140397862,74167.24141417065,69223.5614243627,64279.88143455475,59336.2014447468,54395.4371372051,49456.6036158751,44516.354603506574,39576.105591138046,34635.85657876952,46.71011773647591
BF_BOF,iron_ore,164983.59968965614,156317.49422503138,147634.36398652254,138951.2337480137,130268.10350950487,121584.97327099604,112901.8430324872,104218.71279397837,95540.7036897064,86866.08583813961,78188.98180359488,69511.87776905016,60834.77373450544,82.04212987047693
BF_BOF,limestone,32515.0159972315,30807.097402013485,29095.823559387656,27384.549716761827,25673.275874135998,23962.00203151017,22250.72818888434,20539.45434625851,18829.189778263302,17119.59355934138,15409.507362752276,13699.421166163169,11989.334969574065,16.168886908780124
BF_BOF,scrap,15053.248146866435,14262.54509352476,13470.288684901692,12678.032276278624,11885.775867655553,11093.519459032485,10301.263050409416,9509.006641786345,8717.217489936715,7925.737758954342,7134.031186459386,6342.32461396443,5550.618041469474,7.485595791101908
BF_BOF_CCS,electricity,96.15672783635299,98.99329698970004,12245.63630811878,15655.627543558096,19327.521335588466,20273.01301043883,20882.603584136796,21020.344193973116,21109.362368602688,20203.284767948684,18237.03781931833,16213.163472960287,14189.289126602242,19.13575788700862
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14692426305302894,1266.5701723538205,25416.52880338247,26308.341618272843,33051.64121713696,34903.2695573675,80997.62953748439
DRI,iron_ore,52562.54856756761,49594.3949508199,44871.11924121801,40147.84353161611,35424.567822014214,49186.26885260532,92784.36353165108,109364.74629481143,108345.28457043871,107277.51962090899,106209.9041036794,105142.28858644975,104074.67306922014,106137.06884880141
DRI,natural_gas,98644.78292817483,93074.4124419497,84210.18268557353,75345.95292919737,66481.7231728212,92308.47716173876,174129.55895666027,205246.1677039612,203332.93131712472,201329.0436721169,199325.436468549,197321.8292649811,195318.22206141317,199188.74564775062
EAF,direct_reduced_iron,56134.0144610685,62801.17737734036,69480.76713586344,76160.35689438647,82839.94665290946,89519.53641143253,96199.12616995556,102878.7159284786,109554.56763281414,116227.94397021158,122903.13503970973,129578.32610920785,136253.51717870598,180940.11523367115
EAF,electricity,47152.57214729754,52752.988996965905,58363.844394125284,63974.699791284635,69585.55518844395,75196.41058560333,80807.26598276268,86418.12137992203,92025.83681156387,97631.47293497773,103238.63343335617,108845.79393173459,114452.95443011302,151989.69679628377
SMR,natural_gas,467286.0980736108,471803.1552030292,477486.4027202109,474495.87582563586,449349.85278961546,429562.8251192533,426761.80869294755,422716.11999168835,415072.2658021952,336851.71003074414,204132.52098955392,77929.08636711496,0.0,0.0
SMR_CCS,natural_gas,2796.674891985637,3509.56054136491,6235.787899097843,18297.49821219187,34085.33068447928,44302.60220977494,44385.235209178114,44985.5458857848,43584.67803977597,43797.80473226543,43663.56153598969,42808.352271568416,37848.871862724955,0.0
anaerobic_digestion,wet_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_to_coal_conversion,biomass_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185196,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane_DRI,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_SMR,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_SMR_CCS,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_haber_bosch,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_conversion,carbon,674.9976742008976,782.2812169976064,342.35061720158376,676.0205936467437,1035.4663634435942,1576.3578007293993,2302.2315530739284,2992.076575430995,3514.141385508159,4595.402318931313,11521.512032903867,31647.839487570844,48975.15620288911,58796.266994384525
carbon_evaporation,carbon_liquid,0.0,0.0,28.494990754791633,82.78211254389376,82.6575790800884,171.29182953994535,728.144469754763,1272.135537834746,2024.5292038732805,2137.4445658241143,2502.608900279716,12085.666428647728,22314.704158058423,39688.54625573222
carbon_liquefication,carbon,0.0,0.0,37148.26258386137,48731.88141819502,61534.487134925956,65324.08242072453,66988.36294981396,67344.9035834602,71154.09686512624,71075.81379942899,70816.33562799435,76035.30774647326,85465.89663207112,70475.42792821687
carbon_liquefication,electricity,0.0,0.0,2821.7820258701095,3701.673712526094,4674.159642768976,4962.017300678235,5088.436049667869,5115.518876199637,5404.865197874989,5398.918816204626,5379.208854302451,5775.641976422109,6491.9895081721215,5353.313505427353
carbon_storage,carbon_liquid,0.0,0.0,35262.35446391351,46212.50523474137,58375.10519909956,61886.58647014836,62910.800332568506,62705.62363755193,66440.56663991284,82817.04000000001,82817.04000000001,82817.04000000001,82817.04000000001,82817.04000000001
carbon_storage,electricity,0.0,0.0,1329.7433868341784,1742.6735724020973,2201.325217058045,2333.743175789295,2372.3662805411586,2364.6290673720832,2505.4737679911136,3123.0305784000006,3123.0305784000006,3123.0305784000006,3123.0305784000006,3123.0305784000006
cement_plant,coal_for_cement,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837,115075.85678066837
cement_plant,electricity,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292,20050.44712336292
cement_plant_oxy_combustion,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3711723572677417,639.6417771390859,1289.102541211685,3508.862596403701,7500.015649785787,11734.225767635728,16293.724486134579
cement_plant_oxy_combustion,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86288733935023,1335.5157984222672,2691.532778354068,7326.196629853881,15659.373334717577,24500.031822536137,34019.86431170956
e_haber_bosch,electricity,503.05621888390925,1255.2794745864912,2031.8433670982663,2808.4072596100395,3584.9711521218137,4361.535044633589,5138.098937145363,5914.662829657137,6691.226722168912,7467.790614680685,8244.35450719246,9020.918399704235,9797.482292216007,11653.333333333332
e_haber_bosch,hydrogen,3380.9522079222916,8436.51216672889,13655.661256676449,18874.810346623995,24093.959436571546,29313.108526519107,34532.25761646666,39751.406706414215,44970.55579636177,50189.70488630932,55408.85397625687,60628.00306620442,65847.15215615198,78319.99999999999
e_haber_bosch,nitrogen,473.7016797957177,1182.0309011266388,1913.2804246245687,2644.529948122497,3375.779471620426,4107.028995118357,4838.2785186162855,5569.528042114215,6300.777565612144,7032.027089110074,7763.276612608002,8494.526136105931,9225.77565960386,10973.333333333332
electrolysis,electricity,2472.3532257165407,2534.811496984007,1982.9254567191665,1829.3750023578357,3085.714284394481,4157.824828517482,4233.061891118123,5257.895616302794,21187.68284952762,123305.99782005638,335550.90124310117,548362.5057868913,766257.919237566,865663.3408906128
gasification,dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2_to_ng,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28343.8039355822,61348.45469536909,131512.2233766689,159350.9965182005
haber_bosch,electricity,10893.243130673773,10134.23808021239,9357.019326692405,8579.80057317242,7802.581819652435,7025.36306613245,6248.144312612466,5470.925559092481,4693.706805572497,3916.488052052512,3139.269298532528,2362.0505450125434,1584.831791492559,0.0
haber_bosch,hydrogen,97839.31215531763,91022.1933993388,84041.48551221893,77060.77762509907,70080.06973797921,63099.361850859335,56118.653963739474,49137.94607661962,42157.23818949976,35176.5303023799,28195.82241526004,21215.11452814018,14234.406641020321,0.0
haber_bosch,natural_gas,4180.74010061027,3889.4399971457333,3591.149619265739,3292.859241385745,2994.568863505751,2696.2784856257567,2397.9881077457626,2099.6977298657685,1801.4073519857745,1503.1169741057806,1204.8265962257867,906.5362183457926,608.2458404657987,0.0
haber_bosch,nitrogen,13708.163756184273,12753.02437311131,11774.964687871328,10796.905002631347,9818.845317391366,8840.785632151385,7862.725946911405,6884.666261671425,5906.606576431444,4928.546891191464,3950.4872059514837,2972.4275207115033,1994.367835471523,0.0
hydrogen_compressor_low,electricity,363.13560284161497,390.7238951351295,392.6835058701867,421.05858528937983,451.0442721773339,498.1363295307162,510.74681896170995,573.7354615861863,652.5366814555373,918.6400356822761,1418.6306081317532,2613.6156592641114,4238.258010774907,8726.12954582939
hydrogen_compressor_low,hydrogen,19945.930069296657,21461.270742344805,21568.906177644003,23127.46266557068,24774.48490482994,27361.107850747896,28053.76353738932,31513.53738252149,35841.84782245069,50458.0926992352,77921.0484528042,143557.92921367195,232794.57380945334,479299.6564775014
hydrogen_decompressor,hydrogen_low,19846.200418950175,21353.964388633078,21461.061646755785,23011.825352242828,24650.612480305786,27224.30231149416,27913.49471970235,31355.969695608856,35662.638583338456,50205.80223573904,77531.44321054018,142840.1395676036,231630.60094040606,476903.1581951139
hydrogen_for_cement_conversion,hydrogen,5162.8544021546,1825.1528262802308,554.7345132796762,41.512458085601864,341.647685586198,356.2728567562707,5017.931104596818,9695.97830389808,19613.481992078414,18666.371563768862,17560.775591590344,16422.146175680322,15270.979017678577,14510.769537932074
methanol_synthesis,carbon_methanol,13995.886556777119,17442.440740378788,20887.86113354003,24333.281526701277,27778.701919862517,31224.122313023756,34669.542706185,38118.84173847836,41564.612743086574,45010.38374769478,48456.154752303,51903.237645226116,55350.331932442576,58796.266994384525
methanol_synthesis,electricity,999.7061826269372,1245.8886243127706,1491.9900809671453,1738.09153762152,1984.192994275894,2230.2944509302683,2476.3959075846433,2722.7744098913117,2968.90091022047,3215.027410549628,3461.153910878786,3707.3741175161517,3953.595138031613,4199.733356741753
methanol_synthesis,hydrogen,63981.19568812398,79736.87195601732,95487.3651818973,111237.85840777728,126988.35163365722,142738.84485953717,158489.33808541717,174257.56223304395,190009.65825411008,205761.75427517618,221513.8502962423,237271.9435210337,253030.08883402322,268782.9348314722
refinery,hydrogen,193082.3591082,186485.3997703334,179888.4405406667,173291.481311,152592.4197442106,131893.35817742124,111194.29661063188,90495.23504384249,69796.17347705315,61969.60658164251,54143.03968623189,46316.47279082125,38489.90589541062,30663.33899999999
scrap_conversion_BF_BOF,scrap,52514.482986289426,46705.04119407998,39682.58749513759,32660.133796195227,24967.680097252913,29936.169371045442,55340.544705423395,62239.637905633266,57087.31389809756,51904.0714358402,46719.34343388523,41534.61543193026,36349.88742997529,49.02166971676818
scrap_conversion_EAF,scrap,20132.26886684411,28832.413712395224,38747.12381996069,48661.83392752612,58576.5440350915,55830.311169922046,32648.192244167152,27971.35545258036,35345.468611965705,42750.19080520542,50156.62537965535,57563.05995410527,64969.4945285552,108243.49273449209
